num_qubits,layout_trials,heuristic,avg_runtime,avg_swap_count,avg_depth,num_pass_trials
10,1,decay,0.09270882606506348,22.8,31.2,5
10,2,decay,0.1370678424835205,18.4,27.4,5
10,3,decay,0.1385444164276123,24.4,33.4,5
10,4,decay,0.1541916847229004,26.8,35.2,5
10,5,decay,0.13312191963195802,20.4,28.2,5
10,6,decay,0.14338583946228028,19.4,28.0,5
10,7,decay,0.16430144309997557,14.0,23.0,5
10,8,decay,0.12546882629394532,12.8,21.4,5
10,9,decay,0.14710359573364257,18.8,27.8,5
10,10,decay,0.14299683570861815,13.8,22.6,5
10,11,decay,0.11326460838317871,17.6,26.2,5
10,12,decay,0.11210899353027344,18.6,27.2,5
10,13,decay,0.12483415603637696,22.6,31.2,5
10,14,decay,0.09821324348449707,20.0,28.8,5
10,15,decay,0.12072863578796386,10.2,18.6,5
10,16,decay,0.10362615585327148,18.6,26.4,5
10,17,decay,0.09963088035583496,8.2,17.0,5
10,18,decay,0.13033003807067872,27.0,35.2,5
10,19,decay,0.12927660942077637,17.0,25.4,5
10,20,decay,0.1231191635131836,15.8,24.6,5
10,21,decay,0.09200034141540528,16.4,25.2,5
10,22,decay,0.07283964157104492,21.2,30.0,5
10,23,decay,0.06704583168029785,20.8,29.0,5
10,24,decay,0.07075719833374024,20.8,29.4,5
10,25,decay,0.06607484817504883,20.2,29.0,5
10,27,decay,0.06839466094970703,19.0,27.4,5
10,28,decay,0.06943731307983399,14.4,23.0,5
10,29,decay,0.08008098602294922,12.8,20.8,5
10,31,decay,0.07878541946411133,15.6,24.2,5
10,32,decay,0.0705763816833496,17.8,26.4,5
10,34,decay,0.06788525581359864,10.4,18.8,5
10,36,decay,0.09388642311096192,21.4,30.0,5
10,38,decay,0.08694849014282227,13.8,22.2,5
10,39,decay,0.08655567169189453,19.2,27.8,5
10,41,decay,0.08901700973510743,19.0,27.6,5
10,43,decay,0.0870215892791748,17.2,25.0,5
10,46,decay,0.08023886680603028,11.2,20.2,5
10,48,decay,0.1025874137878418,19.2,28.0,5
10,50,decay,0.06317510604858398,11.6,20.0,5
10,53,decay,0.05152029991149902,13.4,21.6,5
10,56,decay,0.05912375450134277,18.8,26.0,5
10,58,decay,0.05693240165710449,19.2,27.6,5
10,61,decay,0.05049300193786621,10.0,19.0,5
10,64,decay,0.055414247512817386,16.4,24.6,5
10,68,decay,0.064056396484375,15.4,23.2,5
10,71,decay,0.06225008964538574,15.6,23.8,5
10,75,decay,0.060216856002807614,16.8,25.8,5
10,78,decay,0.07616152763366699,19.6,28.4,5
10,82,decay,0.06410374641418456,17.0,25.0,5
10,86,decay,0.0611515998840332,12.2,20.6,5
10,91,decay,0.06601347923278808,17.4,26.0,5
10,95,decay,0.08866801261901855,15.0,22.2,5
10,100,decay,0.06949377059936523,11.6,20.2,5
10,105,decay,0.0732264518737793,15.0,23.6,5
10,110,decay,0.07461471557617187,16.0,24.0,5
10,116,decay,0.08841819763183593,19.2,27.4,5
10,122,decay,0.07387175559997558,11.6,20.2,5
10,128,decay,0.07498359680175781,12.2,20.6,5
10,134,decay,0.07603144645690918,10.6,19.4,5
10,141,decay,0.09762110710144042,18.0,26.2,5
10,148,decay,0.08860392570495605,18.2,26.8,5
10,155,decay,0.0885000228881836,14.2,22.8,5
10,163,decay,0.09904475212097168,19.8,28.4,5
10,171,decay,0.10875501632690429,20.4,29.0,5
10,180,decay,0.09266762733459473,14.2,22.6,5
10,189,decay,0.09379739761352539,13.0,22.0,5
10,199,decay,0.10640945434570312,14.4,22.6,5
10,209,decay,0.11630420684814453,22.0,29.2,5
10,219,decay,0.10262346267700195,12.0,21.0,5
10,230,decay,0.11662397384643555,14.4,22.4,5
10,242,decay,0.14812879562377929,22.2,30.6,5
10,254,decay,0.13191304206848145,15.6,24.2,5
10,266,decay,0.12949032783508302,11.0,19.2,5
10,280,decay,0.14446759223937988,17.8,26.8,5
10,294,decay,0.14815731048583985,14.2,23.0,5
10,309,decay,0.15165019035339355,16.4,25.0,5
10,324,decay,0.1700563907623291,19.4,27.2,5
10,340,decay,0.17221970558166505,14.6,23.2,5
10,357,decay,0.16010208129882814,13.2,21.8,5
10,375,decay,0.1731081485748291,10.2,18.6,5
10,394,decay,0.1748481273651123,13.6,21.6,5
10,414,decay,0.21372594833374023,22.0,29.8,5
10,435,decay,0.20530905723571777,13.2,22.2,5
10,457,decay,0.23038978576660157,17.6,26.2,5
10,480,decay,0.20006132125854492,17.8,26.8,5
10,504,decay,0.2352128505706787,14.4,22.8,5
10,529,decay,0.2514185905456543,18.0,26.2,5
10,555,decay,0.2810159206390381,15.6,24.2,5
10,583,decay,0.29619855880737306,22.0,30.4,5
10,613,decay,0.31139259338378905,10.6,19.2,5
10,643,decay,0.32754058837890626,18.0,27.0,5
10,676,decay,0.3507252216339111,19.8,28.2,5
10,710,decay,0.3243356704711914,13.4,22.2,5
10,745,decay,0.4030740261077881,17.8,26.4,5
10,783,decay,0.45405287742614747,18.8,27.6,5
10,822,decay,0.4314481258392334,16.0,24.4,5
10,863,decay,0.4375641345977783,14.6,22.2,5
10,907,decay,0.38478679656982423,6.8,15.4,5
10,952,decay,0.4941101551055908,12.0,20.6,5
10,1000,decay,0.5596164226531982,15.8,24.2,5
29,1,decay,0.10328145027160644,70.2,95.2,5
29,2,decay,0.16435999870300294,57.2,80.4,5
29,3,decay,0.16599798202514648,53.4,78.8,5
29,4,decay,0.13320379257202147,61.8,85.4,5
29,5,decay,0.1571657657623291,52.4,77.4,5
29,6,decay,0.18346209526062013,56.2,81.2,5
29,7,decay,0.170563268661499,55.0,79.2,5
29,8,decay,0.16972365379333496,48.6,74.2,5
29,9,decay,0.20379195213317872,55.6,81.2,5
29,10,decay,0.19898414611816406,61.0,87.0,5
29,11,decay,0.185058069229126,56.4,83.0,5
29,12,decay,0.1956784725189209,52.8,78.6,5
29,13,decay,0.21464529037475585,51.4,78.6,5
29,14,decay,0.20142860412597657,57.4,82.0,5
29,15,decay,0.20204463005065917,63.4,90.0,5
29,16,decay,0.1944876194000244,66.0,92.0,5
29,17,decay,0.20998640060424806,55.4,82.6,5
29,18,decay,0.2300748348236084,58.4,84.0,5
29,19,decay,0.2280794620513916,58.6,84.6,5
29,20,decay,0.23531017303466797,51.2,78.2,5
29,21,decay,0.24552083015441895,53.6,80.6,5
29,22,decay,0.238824462890625,54.2,80.0,5
29,23,decay,0.23804669380187987,50.8,76.6,5
29,24,decay,0.2552670478820801,48.8,75.6,5
29,25,decay,0.2491677761077881,59.2,85.6,5
29,27,decay,0.22978544235229492,51.2,78.6,5
29,28,decay,0.23716864585876465,60.8,83.6,5
29,29,decay,0.30019474029541016,55.6,81.2,5
29,31,decay,0.2792829990386963,61.8,83.0,5
29,32,decay,0.2705065250396729,71.2,95.8,5
29,34,decay,0.29471559524536134,57.2,83.4,5
29,36,decay,0.3138895034790039,55.6,81.2,5
29,38,decay,0.2956651210784912,54.6,78.2,5
29,39,decay,0.2939699649810791,68.0,93.4,5
29,41,decay,0.29959468841552733,60.4,85.2,5
29,43,decay,0.32149410247802734,57.6,84.2,5
29,46,decay,0.314212703704834,59.6,86.4,5
29,48,decay,0.34464406967163086,58.0,84.2,5
29,50,decay,0.3182272434234619,68.2,91.4,5
29,53,decay,0.30694804191589353,58.6,82.6,5
29,56,decay,0.33606843948364257,59.8,85.8,5
29,58,decay,0.3195533752441406,57.6,83.4,5
29,61,decay,0.30185561180114745,68.6,93.4,5
29,64,decay,0.29682536125183107,60.6,88.4,5
29,68,decay,0.2982363224029541,65.0,91.4,5
29,71,decay,0.31957554817199707,63.8,89.0,5
29,75,decay,0.3194141864776611,56.2,82.6,5
29,78,decay,0.3366388320922852,63.0,84.2,5
29,82,decay,0.2694704532623291,63.8,88.0,5
29,86,decay,0.24137635231018068,51.0,78.0,5
29,91,decay,0.27057476043701173,56.2,82.2,5
29,95,decay,0.28027682304382323,56.6,83.6,5
29,100,decay,0.29981255531311035,56.2,83.6,5
29,105,decay,0.3083049297332764,45.2,69.8,5
29,110,decay,0.3249227523803711,60.8,86.8,5
29,116,decay,0.3566864013671875,63.0,90.4,5
29,122,decay,0.20069046020507814,62.6,87.4,5
29,128,decay,0.20713458061218262,60.4,86.0,5
29,134,decay,0.23162603378295898,54.4,81.0,5
29,141,decay,0.26001701354980467,55.6,81.8,5
29,148,decay,0.2663145065307617,55.4,82.6,5
29,155,decay,0.29349122047424314,67.8,91.8,5
29,163,decay,0.26036458015441893,55.2,81.4,5
29,171,decay,0.29989185333251955,60.6,84.4,5
29,180,decay,0.3394183158874512,62.8,89.0,5
29,189,decay,0.35083832740783694,67.6,92.8,5
29,199,decay,0.3640445232391357,65.2,89.2,5
29,209,decay,0.3691288948059082,57.4,83.6,5
29,219,decay,0.386789608001709,54.4,78.6,5
29,230,decay,0.5008689403533936,63.2,90.0,5
29,242,decay,0.5419192314147949,52.2,77.6,5
29,254,decay,0.5424888134002686,54.0,80.6,5
29,266,decay,0.5933438777923584,56.4,77.4,5
29,280,decay,0.5468832015991211,56.8,81.0,5
29,294,decay,0.6081933498382568,52.6,80.0,5
29,309,decay,0.6617406845092774,62.2,88.8,5
29,324,decay,0.7169389724731445,57.0,82.8,5
29,340,decay,0.9038436889648438,49.2,74.8,5
29,357,decay,1.0239534378051758,58.4,85.8,5
29,375,decay,1.1160587787628173,61.6,87.6,5
29,394,decay,0.992561674118042,46.8,72.6,5
29,414,decay,1.0591447830200196,52.0,72.8,5
29,435,decay,1.1252649784088136,52.2,78.6,5
29,457,decay,1.3216182708740234,63.6,91.2,5
29,480,decay,1.4705171585083008,66.2,93.6,5
29,504,decay,1.4655959129333496,57.6,82.8,5
29,529,decay,1.6691762447357177,49.2,76.4,5
29,555,decay,1.8823272705078125,55.0,80.0,5
29,583,decay,1.866253423690796,55.0,82.4,5
29,613,decay,2.2377804279327393,62.4,89.2,5
29,643,decay,2.0453049182891845,47.2,72.2,5
29,676,decay,2.2746450901031494,60.0,86.2,5
29,710,decay,2.2296082973480225,51.6,77.6,5
29,745,decay,2.295436143875122,53.0,79.2,5
29,783,decay,2.746177101135254,67.0,94.0,5
29,822,decay,2.8895754337310793,64.2,90.6,5
29,863,decay,2.7633009433746336,53.0,79.6,5
29,907,decay,2.5568252086639403,66.0,92.8,5
29,952,decay,2.842279386520386,70.6,95.8,5
29,1000,decay,2.623787593841553,53.8,78.6,5
49,1,decay,0.14419379234313964,102.6,141.6,5
49,2,decay,0.21013426780700684,102.6,147.2,5
49,3,decay,0.1901994228363037,109.2,153.0,5
49,4,decay,0.22076177597045898,100.6,142.6,5
49,5,decay,0.22444496154785157,102.2,142.8,5
49,6,decay,0.22232980728149415,115.8,155.0,5
49,7,decay,0.22963719367980956,102.8,145.8,5
49,8,decay,0.2113633155822754,100.4,144.0,5
49,9,decay,0.2296875,108.0,147.0,5
49,10,decay,0.24548330307006835,109.4,152.6,5
49,11,decay,0.2627402305603027,93.4,138.0,5
49,12,decay,0.2742586612701416,93.2,136.6,5
49,13,decay,0.273818302154541,94.8,139.2,5
49,14,decay,0.27566962242126464,106.0,146.8,5
49,15,decay,0.2587732791900635,105.0,147.8,5
49,16,decay,0.2810107707977295,88.2,133.0,5
49,17,decay,0.2877762794494629,104.2,148.2,5
49,18,decay,0.2698803424835205,82.8,126.0,5
49,19,decay,0.3109890937805176,97.4,138.6,5
