num_qubits,layout_trials,heuristic,avg_runtime,avg_swap_count,avg_depth,num_pass_trials
10,1,depth,0.04252490997314453,14.0,13.2,5
10,2,depth,0.046811819076538086,9.8,11.6,5
10,3,depth,0.05183730125427246,12.0,11.8,5
10,4,depth,0.046053600311279294,9.2,11.6,5
10,5,depth,0.051725912094116214,11.6,11.6,5
10,6,depth,0.0476564884185791,9.4,12.0,5
10,7,depth,0.06821045875549317,11.4,12.0,5
10,8,depth,0.05417389869689941,11.6,12.2,5
10,9,depth,0.05573825836181641,12.0,11.6,5
10,10,depth,0.06129555702209473,11.0,12.2,5
10,11,depth,0.06534276008605958,10.0,12.2,5
10,12,depth,0.07214112281799316,10.4,11.4,5
10,13,depth,0.0635486125946045,11.6,12.0,5
10,14,depth,0.07068924903869629,10.4,11.8,5
10,15,depth,0.062230587005615234,9.8,11.8,5
10,16,depth,0.06785478591918945,12.2,11.8,5
10,17,depth,0.06514663696289062,8.2,11.4,5
10,18,depth,0.07476644515991211,10.8,12.0,5
10,19,depth,0.06893391609191894,11.8,12.0,5
10,20,depth,0.06702194213867188,8.2,11.0,5
10,21,depth,0.07692861557006836,10.2,11.6,5
10,22,depth,0.0752720832824707,10.4,11.8,5
10,23,depth,0.06771397590637207,7.8,10.6,5
10,24,depth,0.07612924575805664,10.0,11.4,5
10,25,depth,0.08495655059814453,13.4,12.4,5
10,27,depth,0.09479913711547852,10.8,12.8,5
10,28,depth,0.08404903411865235,11.6,10.6,5
10,29,depth,0.07863283157348633,10.0,11.4,5
10,31,depth,0.08937358856201172,11.0,12.2,5
10,32,depth,0.08809852600097656,9.2,11.6,5
10,34,depth,0.08737730979919434,10.0,11.6,5
10,36,depth,0.07849445343017578,9.0,11.8,5
10,38,depth,0.10255002975463867,10.2,11.8,5
10,39,depth,0.10546269416809081,10.2,11.4,5
10,41,depth,0.10683250427246094,9.2,11.6,5
10,43,depth,0.08596863746643066,8.2,11.4,5
10,46,depth,0.11742129325866699,10.2,11.0,5
10,48,depth,0.10766258239746093,10.0,11.8,5
10,50,depth,0.10822319984436035,11.4,12.8,5
10,53,depth,0.11638846397399902,10.2,12.0,5
10,56,depth,0.1200284481048584,9.8,12.6,5
10,58,depth,0.1173886775970459,6.0,10.8,5
10,61,depth,0.14023928642272948,11.0,11.6,5
10,64,depth,0.1025721549987793,8.6,11.8,5
10,68,depth,0.14184293746948243,10.8,11.2,5
10,71,depth,0.14686932563781738,10.2,11.2,5
10,75,depth,0.15459680557250977,10.4,11.8,5
10,78,depth,0.1715616226196289,11.6,12.0,5
10,82,depth,0.14021658897399902,8.0,12.0,5
10,86,depth,0.1575068473815918,8.8,11.6,5
10,91,depth,0.15995984077453612,8.4,12.0,5
10,95,depth,0.18826370239257811,10.8,11.6,5
10,100,depth,0.17344980239868163,10.4,12.0,5
10,105,depth,0.18833203315734864,12.2,12.2,5
10,110,depth,0.16678662300109864,8.4,11.4,5
10,116,depth,0.19173092842102052,10.0,11.2,5
10,122,depth,0.19599905014038085,11.4,11.6,5
10,128,depth,0.1987849712371826,10.0,11.6,5
10,134,depth,0.19507203102111817,10.2,12.2,5
10,141,depth,0.21553544998168944,9.2,11.2,5
10,148,depth,0.210951566696167,6.6,11.4,5
10,155,depth,0.22910356521606445,8.4,11.0,5
10,163,depth,0.24943323135375978,9.0,12.4,5
10,171,depth,0.2457958221435547,9.8,11.6,5
10,180,depth,0.26067380905151366,11.0,11.8,5
10,189,depth,0.29600963592529295,11.4,12.0,5
10,199,depth,0.31027445793151853,11.6,11.8,5
10,209,depth,0.2836491107940674,6.8,10.8,5
10,219,depth,0.2682948112487793,7.2,11.0,5
10,230,depth,0.30831046104431153,9.6,11.6,5
10,242,depth,0.33702645301818845,11.6,12.6,5
10,254,depth,0.3481414794921875,11.2,11.4,5
10,266,depth,0.4189119815826416,11.2,12.4,5
10,280,depth,0.33249926567077637,13.2,11.6,5
10,294,depth,0.3100866794586182,11.0,12.2,5
10,309,depth,0.2687730312347412,8.8,11.0,5
10,324,depth,0.28260140419006347,7.8,11.8,5
10,340,depth,0.3485069751739502,10.8,12.2,5
10,357,depth,0.35410637855529786,10.6,11.4,5
10,375,depth,0.3811394214630127,9.8,11.8,5
10,394,depth,0.400989294052124,10.0,12.6,5
10,414,depth,0.42490425109863283,10.6,11.2,5
10,435,depth,0.41849398612976074,5.8,10.2,5
10,457,depth,0.43406982421875,11.4,11.6,5
10,480,depth,0.5107781410217285,9.6,11.0,5
10,504,depth,0.4606018543243408,8.4,11.4,5
10,529,depth,0.6056468963623047,9.4,11.6,5
10,555,depth,0.5305469512939454,6.6,10.6,5
10,583,depth,0.6121601581573486,8.6,11.0,5
10,613,depth,0.614352798461914,9.8,11.2,5
10,643,depth,0.709912919998169,11.0,12.2,5
10,676,depth,0.7761730194091797,10.2,11.8,5
10,710,depth,0.8356790542602539,11.6,12.2,5
10,745,depth,0.9089901447296143,11.2,12.0,5
10,783,depth,1.0590341567993165,9.0,11.6,5
10,822,depth,0.8235113620758057,9.8,11.6,5
10,863,depth,0.7118162631988525,8.4,11.4,5
10,907,depth,0.5843056678771973,7.0,11.8,5
10,952,depth,0.7642854213714599,9.6,11.0,5
10,1000,depth,0.7477270603179932,10.0,12.0,5
29,1,depth,0.08805766105651855,77.4,40.2,5
29,2,depth,0.11145558357238769,62.0,38.2,5
29,3,depth,0.11267023086547852,58.6,38.6,5
29,4,depth,0.11065487861633301,56.2,39.2,5
29,5,depth,0.13514389991760253,69.0,40.4,5
29,6,depth,0.12733244895935059,70.8,40.8,5
29,7,depth,0.1635263442993164,70.8,38.2,5
29,8,depth,0.14294896125793458,70.6,38.0,5
29,9,depth,0.15144619941711426,65.2,40.2,5
29,10,depth,0.1674349308013916,71.2,37.8,5
29,11,depth,0.16855759620666505,67.4,38.8,5
29,12,depth,0.1600956439971924,57.6,37.8,5
29,13,depth,0.17681994438171386,64.4,39.6,5
29,14,depth,0.17307591438293457,59.8,37.6,5
29,15,depth,0.17368011474609374,70.0,39.4,5
29,16,depth,0.17241687774658204,69.8,39.4,5
29,17,depth,0.19265904426574706,63.4,37.6,5
29,18,depth,0.1928013324737549,62.4,36.8,5
29,19,depth,0.20191044807434083,56.8,37.8,5
29,20,depth,0.21348447799682618,54.8,37.6,5
29,21,depth,0.21415395736694337,63.4,38.8,5
29,22,depth,0.2173764228820801,53.6,39.8,5
29,23,depth,0.2154594898223877,51.8,39.8,5
29,24,depth,0.20874199867248536,63.4,38.6,5
29,25,depth,0.23753013610839843,61.6,39.0,5
29,27,depth,0.2576304912567139,73.6,38.6,5
29,28,depth,0.24171805381774902,51.0,37.4,5
29,29,depth,0.2638273239135742,60.8,37.2,5
29,31,depth,0.25106244087219237,55.8,38.0,5
29,32,depth,0.23817334175109864,55.0,37.6,5
29,34,depth,0.257928466796875,53.4,38.8,5
29,36,depth,0.2876718044281006,65.2,38.6,5
29,38,depth,0.31530089378356935,66.6,40.4,5
29,39,depth,0.3019856452941895,59.4,37.6,5
29,41,depth,0.30563859939575194,70.4,40.8,5
29,43,depth,0.32443771362304685,65.0,38.6,5
29,46,depth,0.3502026557922363,68.4,40.0,5
29,48,depth,0.35722174644470217,64.8,38.0,5
29,50,depth,0.3643790245056152,57.8,37.4,5
29,53,depth,0.402433443069458,66.2,38.0,5
29,56,depth,0.4079559803009033,49.2,38.0,5
29,58,depth,0.4259654521942139,58.2,38.4,5
29,61,depth,0.43486499786376953,63.4,39.6,5
29,64,depth,0.43744349479675293,57.8,39.8,5
29,68,depth,0.45116367340087893,59.2,39.0,5
29,71,depth,0.49575653076171877,66.2,36.8,5
29,75,depth,0.480694055557251,55.0,38.0,5
29,78,depth,0.511564826965332,58.4,38.0,5
29,82,depth,0.5423136711120605,59.8,37.6,5
29,86,depth,0.5899968147277832,63.2,39.4,5
29,91,depth,0.5864350318908691,60.8,37.6,5
29,95,depth,0.5776569843292236,60.4,37.8,5
29,100,depth,0.6796279907226562,70.6,36.8,5
29,105,depth,0.684764289855957,65.6,37.8,5
29,110,depth,0.7245752334594726,63.0,37.8,5
29,116,depth,0.7243537425994873,63.4,36.2,5
29,122,depth,0.7436005115509033,50.0,37.2,5
29,128,depth,0.7008991241455078,53.8,36.6,5
29,134,depth,0.8916393756866455,59.2,38.0,5
29,141,depth,0.8780130386352539,55.4,39.2,5
29,148,depth,0.9247173309326172,58.4,37.2,5
29,155,depth,1.0303771495819092,59.4,38.2,5
29,163,depth,1.0679535865783691,53.6,36.2,5
29,171,depth,1.0784090518951417,52.2,36.8,5
29,180,depth,1.1489864826202392,61.2,39.4,5
29,189,depth,1.1751477718353271,65.4,37.4,5
29,199,depth,1.2712068557739258,59.4,38.0,5
29,209,depth,1.3021415710449218,60.4,38.2,5
