num_qubits,layout_trials,heuristic,avg_runtime,avg_swap_count,avg_depth,num_pass_trials
10,1,depth,0.13562393188476562,68.0,53.0,1
10,2,depth,0.13514089584350586,57.0,52.0,1
10,5,depth,0.08346986770629883,59.0,48.0,1
10,10,depth,0.16998291015625,51.0,53.0,1
10,22,depth,0.1996169090270996,62.0,42.0,1
10,46,depth,0.28031015396118164,55.0,56.0,1
10,100,depth,0.7842738628387451,51.0,47.0,1
10,215,depth,1.1727938652038574,55.0,48.0,1
10,464,depth,2.714744806289673,53.0,48.0,1
10,1000,depth,8.485780954360962,55.0,49.0,1
29,1,depth,1.4199700355529785,776.0,234.0,1
29,2,depth,2.0527427196502686,857.0,238.0,1
29,5,depth,2.3255531787872314,717.0,221.0,1
29,10,depth,3.407255172729492,664.0,218.0,1
29,22,depth,6.535757064819336,565.0,182.0,1
29,46,depth,12.351381063461304,648.0,219.0,1
29,100,depth,23.45652413368225,563.0,198.0,1
29,215,depth,53.559020042419434,523.0,181.0,1
29,464,depth,109.99308109283447,651.0,186.0,1
29,1000,depth,243.97714710235596,528.0,208.0,1
49,1,depth,9.94815993309021,2257.0,448.0,1
49,2,depth,10.942231178283691,2512.0,482.0,1
49,5,depth,14.010169982910156,2081.0,420.0,1
49,10,depth,15.562567234039307,2133.0,429.0,1
49,22,depth,26.00996494293213,2051.0,451.0,1
49,46,depth,54.761027812957764,2141.0,440.0,1
49,100,depth,128.6864619255066,2128.0,460.0,1
49,215,depth,287.8366310596466,1998.0,405.0,1
49,464,depth,541.2358968257904,1975.0,376.0,1
49,1000,depth,1198.3250818252563,1856.0,383.0,1
68,1,depth,35.72601389884949,4640.0,708.0,1
68,2,depth,36.622801780700684,4342.0,571.0,1
68,5,depth,38.60470795631409,4951.0,765.0,1
68,10,depth,44.160245180130005,4234.0,616.0,1
68,22,depth,86.76997089385986,4307.0,697.0,1
68,46,depth,176.775075674057,3690.0,550.0,1
68,100,depth,378.2716131210327,4161.0,665.0,1
68,215,depth,760.8740720748901,3983.0,673.0,1
68,464,depth,1118.7085690498352,3837.0,634.0,1
68,1000,depth,1651.4096088409424,3956.0,671.0,1
88,1,depth,20.4396550655365,8122.0,1028.0,1
88,2,depth,20.694398164749146,7700.0,1082.0,1
88,5,depth,22.966307878494263,7475.0,1045.0,1
88,10,depth,24.31427502632141,7679.0,962.0,1
88,22,depth,48.61216998100281,7226.0,869.0,1
88,46,depth,100.79167890548706,6931.0,850.0,1
88,100,depth,214.9315710067749,6960.0,907.0,1
88,215,depth,440.1331868171692,7229.0,851.0,1
88,464,depth,935.7015058994293,6875.0,841.0,1
88,1000,depth,2092.781044960022,7008.0,924.0,1
107,1,depth,36.84836196899414,12447.0,1402.0,1
107,2,depth,37.38892698287964,11993.0,1275.0,1
107,5,depth,37.991461992263794,11541.0,1157.0,1
107,10,depth,44.10131287574768,11688.0,1252.0,1
107,22,depth,88.33060097694397,11316.0,1195.0,1
107,46,depth,176.93662881851196,10903.0,1217.0,1
107,100,depth,389.08578610420227,10610.0,1168.0,1
107,215,depth,788.8232271671295,10782.0,1222.0,1
107,464,depth,1733.1102328300476,10527.0,1113.0,1
107,1000,depth,3906.4992411136627,10366.0,1052.0,1
127,1,depth,58.888837814331055,16668.0,1464.0,1
127,2,depth,60.24838089942932,16486.0,1594.0,1
127,5,depth,63.58584713935852,16754.0,1550.0,1
127,10,depth,75.54631495475769,16022.0,1474.0,1
127,22,depth,147.65147495269775,16207.0,1558.0,1
127,46,depth,302.0873019695282,15360.0,1437.0,1
127,100,depth,658.6693639755249,15342.0,1453.0,1
127,215,depth,1351.1421313285828,15066.0,1437.0,1
127,464,depth,2833.5610752105713,14441.0,1382.0,1
127,1000,depth,6211.700726032257,14628.0,1377.0,1
