swap_count,depth,runtime,num_qubits,heuristic,cmap,trials,seed
19,22,0.04015088081359863,10,basic,Ring 127,20,83810
99,87,0.07198405265808105,29,basic,Ring 127,20,14592
294,212,0.08799886703491211,49,basic,Ring 127,20,3278
594,380,0.10328388214111328,68,basic,Ring 127,20,97196
658,460,0.11690402030944824,88,basic,Ring 127,20,36048
660,460,0.12312984466552734,107,basic,Ring 127,20,32098
1355,841,0.16850781440734863,127,basic,Ring 127,20,29256
5,13,0.03545713424682617,10,basic,Heavy Hex 127,20,83810
56,65,0.04693794250488281,29,basic,Heavy Hex 127,20,14592
105,112,0.0580439567565918,49,basic,Heavy Hex 127,20,3278
176,167,0.09365391731262207,68,basic,Heavy Hex 127,20,97196
300,242,0.08866596221923828,88,basic,Heavy Hex 127,20,36048
306,285,0.09821105003356934,107,basic,Heavy Hex 127,20,32098
445,355,0.11657094955444336,127,basic,Heavy Hex 127,20,29256
1,10,0.03882598876953125,10,basic,Square 144,20,83810
17,41,0.049040794372558594,29,basic,Square 144,20,14592
61,88,0.06014299392700195,49,basic,Square 144,20,3278
103,133,0.07286405563354492,68,basic,Square 144,20,97196
143,158,0.08599185943603516,88,basic,Square 144,20,36048
153,180,0.09356188774108887,107,basic,Square 144,20,32098
248,261,0.10932612419128418,127,basic,Square 144,20,29256
48,57,0.07143330574035645,10,lookahead,Ring 127,20,83810
166,194,0.0824728012084961,29,lookahead,Ring 127,20,14592
310,347,0.1398482322692871,49,lookahead,Ring 127,20,3278
356,419,0.18871283531188965,68,lookahead,Ring 127,20,97196
670,745,0.2471637725830078,88,lookahead,Ring 127,20,36048
742,828,0.3357508182525635,107,lookahead,Ring 127,20,32098
1080,1113,0.3615720272064209,127,lookahead,Ring 127,20,29256
28,37,0.04116010665893555,10,lookahead,Heavy Hex 127,20,83810
55,83,0.06148195266723633,29,lookahead,Heavy Hex 127,20,14592
129,164,0.09060978889465332,49,lookahead,Heavy Hex 127,20,3278
113,174,0.11334609985351562,68,lookahead,Heavy Hex 127,20,97196
247,313,0.15408730506896973,88,lookahead,Heavy Hex 127,20,36048
285,353,0.17483115196228027,107,lookahead,Heavy Hex 127,20,32098
330,432,0.19546198844909668,127,lookahead,Heavy Hex 127,20,29256
7,16,0.04211688041687012,10,lookahead,Square 144,20,83810
24,52,0.056279897689819336,29,lookahead,Square 144,20,14592
47,87,0.07764720916748047,49,lookahead,Square 144,20,3278
55,120,0.09646105766296387,68,lookahead,Square 144,20,97196
103,180,0.1278367042541504,88,lookahead,Square 144,20,36048
95,189,0.13440394401550293,107,lookahead,Square 144,20,32098
188,291,0.17074990272521973,127,lookahead,Square 144,20,29256
48,57,0.0720970630645752,10,decay,Ring 127,20,83810
196,223,0.09097003936767578,29,decay,Ring 127,20,14592
275,315,0.1524059772491455,49,decay,Ring 127,20,3278
722,747,0.2588481903076172,68,decay,Ring 127,20,97196
832,851,0.3102071285247803,88,decay,Ring 127,20,36048
926,986,0.3393683433532715,107,decay,Ring 127,20,32098
1189,1216,0.42838406562805176,127,decay,Ring 127,20,29256
30,39,0.046097755432128906,10,decay,Heavy Hex 127,20,83810
55,83,0.06644988059997559,29,decay,Heavy Hex 127,20,14592
132,160,0.10213899612426758,49,decay,Heavy Hex 127,20,3278
169,223,0.1271359920501709,68,decay,Heavy Hex 127,20,97196
247,326,0.1590280532836914,88,decay,Heavy Hex 127,20,36048
229,322,0.20406794548034668,107,decay,Heavy Hex 127,20,32098
279,384,0.1990981101989746,127,decay,Heavy Hex 127,20,29256
7,16,0.0424191951751709,10,decay,Square 144,20,83810
30,54,0.058380842208862305,29,decay,Square 144,20,14592
44,87,0.07954716682434082,49,decay,Square 144,20,3278
66,124,0.12636995315551758,68,decay,Square 144,20,97196
124,184,0.13483619689941406,88,decay,Square 144,20,36048
102,201,0.14236187934875488,107,decay,Square 144,20,32098
173,263,0.17900395393371582,127,decay,Square 144,20,29256
0,9,0.049784183502197266,10,depth,Ring 127,20,83810
146,34,0.12294793128967285,29,depth,Ring 127,20,14592
562,60,0.2769300937652588,49,depth,Ring 127,20,3278
1107,101,0.4481198787689209,68,depth,Ring 127,20,97196
1798,119,0.6729710102081299,88,depth,Ring 127,20,36048
2747,152,1.1847927570343018,107,depth,Ring 127,20,32098
2621,159,1.1853599548339844,127,depth,Ring 127,20,29256
6,11,0.049178123474121094,10,depth,Heavy Hex 127,20,83810
82,38,0.1163330078125,29,depth,Heavy Hex 127,20,14592
122,65,0.13691496849060059,49,depth,Heavy Hex 127,20,3278
166,89,0.19991087913513184,68,depth,Heavy Hex 127,20,97196
366,115,0.28992676734924316,88,depth,Heavy Hex 127,20,36048
352,138,0.31261205673217773,107,depth,Heavy Hex 127,20,32098
356,162,0.3973731994628906,127,depth,Heavy Hex 127,20,29256
7,11,0.05071115493774414,10,depth,Square 144,20,83810
23,29,0.0837869644165039,29,depth,Square 144,20,14592
49,53,0.12795376777648926,49,depth,Square 144,20,3278
70,72,0.1632080078125,68,depth,Square 144,20,97196
149,99,0.32817506790161133,88,depth,Square 144,20,36048
143,109,0.30999135971069336,107,depth,Square 144,20,32098
165,133,0.3836660385131836,127,depth,Square 144,20,29256
19,22,0.0601201057434082,10,critical,Ring 127,20,83810
99,87,0.09740400314331055,29,critical,Ring 127,20,14592
294,212,0.16173315048217773,49,critical,Ring 127,20,3278
594,380,0.2623589038848877,68,critical,Ring 127,20,97196
658,460,0.2787058353424072,88,critical,Ring 127,20,36048
660,460,0.2828381061553955,107,critical,Ring 127,20,32098
1355,841,0.44057488441467285,127,critical,Ring 127,20,29256
5,13,0.04574108123779297,10,critical,Heavy Hex 127,20,83810
56,65,0.06763792037963867,29,critical,Heavy Hex 127,20,14592
105,112,0.09973287582397461,49,critical,Heavy Hex 127,20,3278
176,167,0.12686491012573242,68,critical,Heavy Hex 127,20,97196
300,242,0.16865110397338867,88,critical,Heavy Hex 127,20,36048
306,285,0.1837759017944336,107,critical,Heavy Hex 127,20,32098
445,355,0.24414300918579102,127,critical,Heavy Hex 127,20,29256
1,10,0.047640085220336914,10,critical,Square 144,20,83810
17,41,0.06770586967468262,29,critical,Square 144,20,14592
61,88,0.10538983345031738,49,critical,Square 144,20,3278
103,133,0.1541118621826172,68,critical,Square 144,20,97196
143,158,0.18606996536254883,88,critical,Square 144,20,36048
153,180,0.18789076805114746,107,critical,Square 144,20,32098
248,261,0.22070813179016113,127,critical,Square 144,20,29256
