swap_count,depth,runtime,num_qubits,heuristic,cmap,trials,seed
19,22,0.03912711143493652,10,basic,ring_127.txt,20,83810
59,53,0.04129672050476074,16,basic,ring_127.txt,20,14592
167,119,0.05069994926452637,22,basic,ring_127.txt,20,3278
105,90,0.05373096466064453,28,basic,ring_127.txt,20,97196
218,159,0.06494522094726562,34,basic,ring_127.txt,20,36048
260,189,0.07529711723327637,40,basic,ring_127.txt,20,32098
290,204,0.07217097282409668,46,basic,ring_127.txt,20,29256
447,299,0.08320307731628418,52,basic,ring_127.txt,20,18289
662,412,0.10401391983032227,58,basic,ring_127.txt,20,96530
405,290,0.09050893783569336,64,basic,ring_127.txt,20,13434
606,388,0.12305212020874023,70,basic,ring_127.txt,20,88696
861,529,0.11129498481750488,76,basic,ring_127.txt,20,97080
836,530,0.1186668872833252,82,basic,ring_127.txt,20,71482
655,433,0.11824512481689453,88,basic,ring_127.txt,20,11395
760,537,0.1257171630859375,94,basic,ring_127.txt,20,77397
776,507,0.12781596183776855,100,basic,ring_127.txt,20,55302
851,559,0.14760208129882812,106,basic,ring_127.txt,20,4165
906,595,0.14226269721984863,112,basic,ring_127.txt,20,3905
807,545,0.20134806632995605,118,basic,ring_127.txt,20,12280
1301,827,0.17718791961669922,127,basic,ring_127.txt,20,28657
5,13,0.038381099700927734,10,basic,heavy_hex_127.txt,20,83810
15,25,0.04035305976867676,16,basic,heavy_hex_127.txt,20,14592
30,44,0.04678606986999512,22,basic,heavy_hex_127.txt,20,3278
46,56,0.0960698127746582,28,basic,heavy_hex_127.txt,20,97196
46,60,0.06795597076416016,34,basic,heavy_hex_127.txt,20,36048
41,65,0.05748701095581055,40,basic,heavy_hex_127.txt,20,32098
91,98,0.061944007873535156,46,basic,heavy_hex_127.txt,20,29256
135,130,0.08742499351501465,52,basic,heavy_hex_127.txt,20,18289
126,133,0.06770610809326172,58,basic,heavy_hex_127.txt,20,96530
190,155,0.07418107986450195,64,basic,heavy_hex_127.txt,20,13434
179,170,0.07840704917907715,70,basic,heavy_hex_127.txt,20,88696
214,203,0.08293604850769043,76,basic,heavy_hex_127.txt,20,97080
212,204,0.08408284187316895,82,basic,heavy_hex_127.txt,20,71482
250,218,0.09333181381225586,88,basic,heavy_hex_127.txt,20,11395
253,234,0.10212302207946777,94,basic,heavy_hex_127.txt,20,77397
317,268,0.10005497932434082,100,basic,heavy_hex_127.txt,20,55302
335,279,0.10195803642272949,106,basic,heavy_hex_127.txt,20,4165
323,285,0.10109806060791016,112,basic,heavy_hex_127.txt,20,3905
408,333,0.1175081729888916,118,basic,heavy_hex_127.txt,20,12280
348,312,0.11446499824523926,127,basic,heavy_hex_127.txt,20,28657
1,10,0.03956198692321777,10,basic,Square 144,20,83810
8,21,0.041690826416015625,16,basic,Square 144,20,14592
9,25,0.04351210594177246,22,basic,Square 144,20,3278
12,35,0.06996607780456543,28,basic,Square 144,20,97196
22,46,0.051207780838012695,34,basic,Square 144,20,36048
33,61,0.05562305450439453,40,basic,Square 144,20,32098
62,85,0.06111907958984375,46,basic,Square 144,20,29256
84,100,0.06264114379882812,52,basic,Square 144,20,18289
94,107,0.06526064872741699,58,basic,Square 144,20,96530
74,115,0.06797385215759277,64,basic,Square 144,20,13434
128,144,0.07363724708557129,70,basic,Square 144,20,88696
128,149,0.07915925979614258,76,basic,Square 144,20,97080
136,162,0.08139586448669434,82,basic,Square 144,20,71482
115,156,0.08196520805358887,88,basic,Square 144,20,11395
153,181,0.09683823585510254,94,basic,Square 144,20,77397
200,204,0.09467601776123047,100,basic,Square 144,20,55302
185,203,0.12129426002502441,106,basic,Square 144,20,4165
215,220,0.10210800170898438,112,basic,Square 144,20,3905
280,262,0.10987329483032227,118,basic,Square 144,20,12280
305,295,0.1389460563659668,127,basic,Square 144,20,28657
48,57,0.04882097244262695,10,lookahead,ring_127.txt,20,83810
103,118,0.06165599822998047,16,lookahead,ring_127.txt,20,14592
230,251,0.08696198463439941,22,lookahead,ring_127.txt,20,3278
145,169,0.09137797355651855,28,lookahead,ring_127.txt,20,97196
173,204,0.09749197959899902,34,lookahead,ring_127.txt,20,36048
393,426,0.14792394638061523,40,lookahead,ring_127.txt,20,32098
343,382,0.1714458465576172,46,lookahead,ring_127.txt,20,29256
402,446,0.19405412673950195,52,lookahead,ring_127.txt,20,18289
470,524,0.18982696533203125,58,lookahead,ring_127.txt,20,96530
398,446,0.20566391944885254,64,lookahead,ring_127.txt,20,13434
566,600,0.25420284271240234,70,lookahead,ring_127.txt,20,88696
353,423,0.25197839736938477,76,lookahead,ring_127.txt,20,97080
543,618,0.2855541706085205,82,lookahead,ring_127.txt,20,71482
474,530,0.23975801467895508,88,lookahead,ring_127.txt,20,11395
738,820,0.2861809730529785,94,lookahead,ring_127.txt,20,77397
635,715,0.31497788429260254,100,lookahead,ring_127.txt,20,55302
804,886,0.3889200687408447,106,lookahead,ring_127.txt,20,4165
741,821,0.37354588508605957,112,lookahead,ring_127.txt,20,3905
1004,1061,0.43255019187927246,118,lookahead,ring_127.txt,20,12280
828,940,0.455913782119751,127,lookahead,ring_127.txt,20,28657
28,37,0.04486823081970215,10,lookahead,heavy_hex_127.txt,20,83810
55,68,0.05274200439453125,16,lookahead,heavy_hex_127.txt,20,14592
47,67,0.05796504020690918,22,lookahead,heavy_hex_127.txt,20,3278
30,57,0.05799293518066406,28,lookahead,heavy_hex_127.txt,20,97196
62,95,0.1271202564239502,34,lookahead,heavy_hex_127.txt,20,36048
67,106,0.16435480117797852,40,lookahead,heavy_hex_127.txt,20,32098
88,131,0.14099907875061035,46,lookahead,heavy_hex_127.txt,20,29256
130,165,0.14052510261535645,52,lookahead,heavy_hex_127.txt,20,18289
173,210,0.15841031074523926,58,lookahead,heavy_hex_127.txt,20,96530
131,183,0.11562705039978027,64,lookahead,heavy_hex_127.txt,20,13434
205,270,0.13907599449157715,70,lookahead,heavy_hex_127.txt,20,88696
148,220,0.13280224800109863,76,lookahead,heavy_hex_127.txt,20,97080
191,268,0.24669694900512695,82,lookahead,heavy_hex_127.txt,20,71482
235,309,0.23444914817810059,88,lookahead,heavy_hex_127.txt,20,11395
215,291,0.265700101852417,94,lookahead,heavy_hex_127.txt,20,77397
247,326,0.26807284355163574,100,lookahead,heavy_hex_127.txt,20,55302
221,322,0.17540717124938965,106,lookahead,heavy_hex_127.txt,20,4165
251,347,0.18543577194213867,112,lookahead,heavy_hex_127.txt,20,3905
321,386,0.22051000595092773,118,lookahead,heavy_hex_127.txt,20,12280
386,474,0.32079172134399414,127,lookahead,heavy_hex_127.txt,20,28657
7,16,0.09757590293884277,10,lookahead,Square 144,20,83810
4,19,0.05124998092651367,16,lookahead,Square 144,20,14592
17,37,0.07464790344238281,22,lookahead,Square 144,20,3278
20,44,0.0739741325378418,28,lookahead,Square 144,20,97196
45,75,0.17241883277893066,34,lookahead,Square 144,20,36048
35,72,0.1314401626586914,40,lookahead,Square 144,20,32098
44,78,0.0801548957824707,46,lookahead,Square 144,20,29256
51,100,0.1342027187347412,52,lookahead,Square 144,20,18289
61,118,0.11699128150939941,58,lookahead,Square 144,20,96530
60,119,0.11748099327087402,64,lookahead,Square 144,20,13434
98,158,0.21042299270629883,70,lookahead,Square 144,20,88696
71,135,0.36251091957092285,76,lookahead,Square 144,20,97080
97,163,0.13837194442749023,82,lookahead,Square 144,20,71482
