qc_label,swap_count,depth,runtime,num_qubits,heuristic,cmap,trials,seed
qft_10.qasm,20,44,0.04926109313964844,10,lookahead,toyko_20.txt,20,42
qft_13.qasm,41,71,0.07844305038452148,13,lookahead,toyko_20.txt,20,42
qft_16.qasm,61,101,0.116455078125,16,lookahead,toyko_20.txt,20,42
qft_20.qasm,113,131,0.18312287330627441,20,lookahead,toyko_20.txt,20,42
rd84_142.qasm,15,101,0.13555407524108887,15,lookahead,toyko_20.txt,20,42
ising_model_10.qasm,0,20,0.15352606773376465,16,lookahead,toyko_20.txt,20,42
ising_model_13.qasm,3,41,0.20154285430908203,16,lookahead,toyko_20.txt,20,42
ising_model_16.qasm,0,20,0.2781069278717041,16,lookahead,toyko_20.txt,20,42
z4_268.qasm,192,1118,1.027587890625,11,lookahead,toyko_20.txt,20,42
radd_250.qasm,227,1156,1.1608939170837402,13,lookahead,toyko_20.txt,20,42
adr4_197.qasm,217,1212,1.2068920135498047,13,lookahead,toyko_20.txt,20,42
sym6_145.qasm,248,1212,1.1377131938934326,7,lookahead,toyko_20.txt,20,42
misex1_241.qasm,309,1753,1.6399500370025635,15,lookahead,toyko_20.txt,20,42
rd73_252.qasm,410,2026,1.8872697353363037,10,lookahead,toyko_20.txt,20,42
cycle10_2_110.qasm,567,3023,2.7686519622802734,12,lookahead,toyko_20.txt,20,42
sqn_258.qasm,716,3669,3.355030059814453,10,lookahead,toyko_20.txt,20,42
rd84_253.qasm,1403,6015,5.634883880615234,12,lookahead,toyko_20.txt,20,42
square_root_7.qasm,1785,8744,7.737200021743774,13,lookahead,toyko_20.txt,20,42
co14_215.qasm,3298,15640,12.764038324356079,15,lookahead,toyko_20.txt,20,42
9symml_195.qasm,4022,16843,14.962302923202515,10,lookahead,toyko_20.txt,20,42
sym9_193.qasm,4022,16843,15.02048397064209,10,lookahead,toyko_20.txt,20,42
