swap_count,depth,runtime,num_qubits,heuristic,cmap,trials,seed
76,55,0.10480284690856934,10,basic,ring_127.txt,20,83810
209,100,0.22054791450500488,16,basic,ring_127.txt,20,14592
584,224,0.33323216438293457,22,basic,ring_127.txt,20,3278
914,248,0.560168981552124,28,basic,ring_127.txt,20,97196
1447,399,0.7784247398376465,34,basic,ring_127.txt,20,36048
2172,405,1.0175340175628662,40,basic,ring_127.txt,20,32098
2527,437,1.4455862045288086,46,basic,ring_127.txt,20,29256
3327,589,1.7823381423950195,52,basic,ring_127.txt,20,18289
4471,648,3.3380608558654785,58,basic,ring_127.txt,20,96530
5208,724,4.3915510177612305,64,basic,ring_127.txt,20,13434
10805,1022,6.434009313583374,70,basic,ring_127.txt,20,88696
9744,965,6.954890012741089,76,basic,ring_127.txt,20,97080
9439,969,10.220142126083374,82,basic,ring_127.txt,20,71482
10192,1046,10.953278064727783,88,basic,ring_127.txt,20,11395
11044,1061,10.451707124710083,94,basic,ring_127.txt,20,77397
14669,1396,12.584019899368286,100,basic,ring_127.txt,20,55302
14386,1189,11.158282995223999,106,basic,ring_127.txt,20,4165
18160,1261,13.677202939987183,112,basic,ring_127.txt,20,3905
18209,1409,11.834158182144165,118,basic,ring_127.txt,20,12280
22445,1724,15.880977153778076,127,basic,ring_127.txt,20,28657
65,54,0.06709694862365723,10,basic,heavy_hex_127.txt,20,83810
190,121,0.2709519863128662,16,basic,heavy_hex_127.txt,20,14592
372,174,0.2084059715270996,22,basic,heavy_hex_127.txt,20,3278
739,247,0.43872809410095215,28,basic,heavy_hex_127.txt,20,97196
927,290,0.8368301391601562,34,basic,heavy_hex_127.txt,20,36048
1311,345,0.7742471694946289,40,basic,heavy_hex_127.txt,20,32098
1918,501,1.1387650966644287,46,basic,heavy_hex_127.txt,20,29256
2338,534,1.635455846786499,52,basic,heavy_hex_127.txt,20,18289
2971,643,2.0224339962005615,58,basic,heavy_hex_127.txt,20,96530
3642,788,2.421160936355591,64,basic,heavy_hex_127.txt,20,13434
4399,795,3.4638588428497314,70,basic,heavy_hex_127.txt,20,88696
5219,953,3.7950870990753174,76,basic,heavy_hex_127.txt,20,97080
5568,806,4.698590993881226,82,basic,heavy_hex_127.txt,20,71482
7102,1123,5.299048900604248,88,basic,heavy_hex_127.txt,20,11395
8239,1147,6.513041019439697,94,basic,heavy_hex_127.txt,20,77397
9534,1302,7.574221849441528,100,basic,heavy_hex_127.txt,20,55302
10824,1334,8.305424213409424,106,basic,heavy_hex_127.txt,20,4165
12492,1543,10.353361129760742,112,basic,heavy_hex_127.txt,20,3905
13042,1527,10.801541090011597,118,basic,heavy_hex_127.txt,20,12280
15586,1681,13.049754858016968,127,basic,heavy_hex_127.txt,20,28657
39,48,0.17351174354553223,10,basic,square_144.txt,20,83810
118,107,0.2553529739379883,16,basic,square_144.txt,20,14592
240,160,0.3143489360809326,22,basic,square_144.txt,20,3278
447,232,0.5413880348205566,28,basic,square_144.txt,20,97196
667,321,0.5513079166412354,34,basic,square_144.txt,20,36048
893,394,0.622514009475708,40,basic,square_144.txt,20,32098
1186,415,1.3631601333618164,46,basic,square_144.txt,20,29256
1597,521,1.3930628299713135,52,basic,square_144.txt,20,18289
1970,646,1.894704818725586,58,basic,square_144.txt,20,96530
2470,625,2.017482042312622,64,basic,square_144.txt,20,13434
3155,789,2.533594846725464,70,basic,square_144.txt,20,88696
3551,900,3.626619815826416,76,basic,square_144.txt,20,97080
4020,989,4.085294008255005,82,basic,square_144.txt,20,71482
4863,1237,4.798617839813232,88,basic,square_144.txt,20,11395
5582,1173,5.975218057632446,94,basic,square_144.txt,20,77397
6536,1266,6.784955024719238,100,basic,square_144.txt,20,55302
7470,1337,7.588201999664307,106,basic,square_144.txt,20,4165
8231,1424,9.413683891296387,112,basic,square_144.txt,20,3905
8985,1554,10.650609016418457,118,basic,square_144.txt,20,12280
10194,1659,12.128313064575195,127,basic,square_144.txt,20,28657
69,59,0.25030016899108887,10,lookahead,ring_127.txt,20,83810
173,84,0.3327980041503906,16,lookahead,ring_127.txt,20,14592
337,124,0.6297779083251953,22,lookahead,ring_127.txt,20,3278
563,160,0.9883227348327637,28,lookahead,ring_127.txt,20,97196
1025,402,1.048218011856079,34,lookahead,ring_127.txt,20,36048
1503,367,1.871077060699463,40,lookahead,ring_127.txt,20,32098
2114,954,2.842924118041992,46,lookahead,ring_127.txt,20,29256
2385,1113,3.344214916229248,52,lookahead,ring_127.txt,20,18289
2753,921,3.696420192718506,58,lookahead,ring_127.txt,20,96530
4091,1564,5.27428412437439,64,lookahead,ring_127.txt,20,13434
3802,503,6.705322980880737,70,lookahead,ring_127.txt,20,88696
4521,549,7.4200990200042725,76,lookahead,ring_127.txt,20,97080
6058,616,9.619472980499268,82,lookahead,ring_127.txt,20,71482
5731,629,9.929617166519165,88,lookahead,ring_127.txt,20,11395
6915,624,10.537728071212769,94,lookahead,ring_127.txt,20,77397
7583,796,13.210116147994995,100,lookahead,ring_127.txt,20,55302
