swap_count,depth,runtime,num_qubits,heuristic,cmap,trials,seed
65,40,0.15021777153015137,10,basic,ring_127.txt,20,83810
626,124,0.520665168762207,29,basic,ring_127.txt,20,14592
2053,230,1.1793012619018555,49,basic,ring_127.txt,20,3278
3917,308,2.763720989227295,68,basic,ring_127.txt,20,97196
7750,392,5.33148980140686,88,basic,ring_127.txt,20,36048
9072,344,7.062504291534424,107,basic,ring_127.txt,20,32098
10624,392,8.713348865509033,127,basic,ring_127.txt,20,29256
60,40,0.15336918830871582,10,basic,heavy_hex_127.txt,20,83810
327,114,0.28865671157836914,29,basic,heavy_hex_127.txt,20,14592
800,145,0.7680628299713135,49,basic,heavy_hex_127.txt,20,3278
1448,208,1.1432888507843018,68,basic,heavy_hex_127.txt,20,97196
2150,236,1.8516199588775635,88,basic,heavy_hex_127.txt,20,36048
2813,222,2.5040791034698486,107,basic,heavy_hex_127.txt,20,32098
3924,324,3.113055944442749,127,basic,heavy_hex_127.txt,20,29256
27,31,0.09609603881835938,10,basic,square_144.txt,20,83810
185,71,0.29856395721435547,29,basic,square_144.txt,20,14592
549,128,0.7301759719848633,49,basic,square_144.txt,20,3278
967,188,0.9099359512329102,68,basic,square_144.txt,20,97196
1409,208,1.8075811862945557,88,basic,square_144.txt,20,36048
1963,261,2.3163483142852783,107,basic,square_144.txt,20,32098
2610,299,3.7527480125427246,127,basic,square_144.txt,20,29256
58,40,0.14656996726989746,10,lookahead,ring_127.txt,20,83810
537,115,0.5599429607391357,29,lookahead,ring_127.txt,20,14592
1791,279,1.6281962394714355,49,lookahead,ring_127.txt,20,3278
3891,553,3.527401924133301,68,lookahead,ring_127.txt,20,97196
7030,705,5.7749621868133545,88,lookahead,ring_127.txt,20,36048
9146,934,9.432090997695923,107,lookahead,ring_127.txt,20,32098
11219,906,10.5421621799469,127,lookahead,ring_127.txt,20,29256
51,41,0.22078299522399902,10,lookahead,heavy_hex_127.txt,20,83810
284,92,0.596811056137085,29,lookahead,heavy_hex_127.txt,20,14592
724,147,1.0697300434112549,49,lookahead,heavy_hex_127.txt,20,3278
1325,253,1.7210979461669922,68,lookahead,heavy_hex_127.txt,20,97196
2021,361,1.926421880722046,88,lookahead,heavy_hex_127.txt,20,36048
2726,402,3.5793559551239014,107,lookahead,heavy_hex_127.txt,20,32098
3878,491,4.398828983306885,127,lookahead,heavy_hex_127.txt,20,29256
21,33,0.1133270263671875,10,lookahead,square_144.txt,20,83810
170,93,0.33490705490112305,29,lookahead,square_144.txt,20,14592
427,145,0.7800002098083496,49,lookahead,square_144.txt,20,3278
782,225,1.5574438571929932,68,lookahead,square_144.txt,20,97196
1216,235,2.270569324493408,88,lookahead,square_144.txt,20,36048
1663,347,3.1642918586730957,107,lookahead,square_144.txt,20,32098
2186,359,4.3073577880859375,127,lookahead,square_144.txt,20,29256
61,38,0.33864665031433105,10,decay,ring_127.txt,20,83810
589,120,0.7563760280609131,29,decay,ring_127.txt,20,14592
1779,256,2.0485990047454834,49,decay,ring_127.txt,20,3278
3729,435,4.063672065734863,68,decay,ring_127.txt,20,97196
6657,714,6.676135063171387,88,decay,ring_127.txt,20,36048
8549,758,8.893589973449707,107,decay,ring_127.txt,20,32098
10927,1082,12.730281114578247,127,decay,ring_127.txt,20,29256
46,46,0.12279200553894043,10,decay,heavy_hex_127.txt,20,83810
280,92,0.3695340156555176,29,decay,heavy_hex_127.txt,20,14592
698,154,0.8831090927124023,49,decay,heavy_hex_127.txt,20,3278
1262,244,1.7216382026672363,68,decay,heavy_hex_127.txt,20,97196
1923,291,2.3933968544006348,88,decay,heavy_hex_127.txt,20,36048
2724,380,4.029807090759277,107,decay,heavy_hex_127.txt,20,32098
3575,441,5.655066728591919,127,decay,heavy_hex_127.txt,20,29256
26,30,0.17225027084350586,10,decay,square_144.txt,20,83810
149,75,0.45551109313964844,29,decay,square_144.txt,20,14592
416,129,0.7722489833831787,49,decay,square_144.txt,20,3278
756,202,1.6096739768981934,68,decay,square_144.txt,20,97196
1223,233,2.4281959533691406,88,decay,square_144.txt,20,36048
1645,317,2.8289499282836914,107,decay,square_144.txt,20,32098
2248,340,4.9390668869018555,127,decay,square_144.txt,20,29256
70,39,0.573089599609375,10,depth,ring_127.txt,20,83810
653,109,3.314377784729004,29,depth,ring_127.txt,20,14592
2246,236,17.922028064727783,49,depth,ring_127.txt,20,3278
4126,315,39.923420906066895,68,depth,ring_127.txt,20,97196
7204,309,102.53287887573242,88,depth,ring_127.txt,20,36048
8952,325,156.95601296424866,107,depth,ring_127.txt,20,32098
10702,356,227.62786722183228,127,depth,ring_127.txt,20,29256
49,26,0.41491103172302246,10,depth,heavy_hex_127.txt,20,83810
342,91,2.2710928916931152,29,depth,heavy_hex_127.txt,20,14592
816,127,8.431551933288574,49,depth,heavy_hex_127.txt,20,3278
1484,197,16.796921968460083,68,depth,heavy_hex_127.txt,20,97196
2163,210,34.95519709587097,88,depth,heavy_hex_127.txt,20,36048
2814,234,52.08220028877258,107,depth,heavy_hex_127.txt,20,32098
3736,268,87.05499386787415,127,depth,heavy_hex_127.txt,20,29256
28,27,0.23573899269104004,10,depth,square_144.txt,20,83810
218,67,1.7927939891815186,29,depth,square_144.txt,20,14592
514,91,6.264194965362549,49,depth,square_144.txt,20,3278
926,141,21.863415956497192,68,depth,square_144.txt,20,97196
1490,195,40.30587387084961,88,depth,square_144.txt,20,36048
1912,218,55.652493953704834,107,depth,square_144.txt,20,32098
2678,215,89.99674606323242,127,depth,square_144.txt,20,29256
64,46,0.31926488876342773,10,critical,ring_127.txt,20,83810
655,135,2.5610830783843994,29,critical,ring_127.txt,20,14592
2121,232,13.872941017150879,49,critical,ring_127.txt,20,3278
4333,382,32.59163975715637,68,critical,ring_127.txt,20,97196
7706,340,86.11197805404663,88,critical,ring_127.txt,20,36048
9107,360,114.08983588218689,107,critical,ring_127.txt,20,32098
9967,369,155.09658980369568,127,critical,ring_127.txt,20,29256
51,27,0.4329090118408203,10,critical,heavy_hex_127.txt,20,83810
324,105,1.269515037536621,29,critical,heavy_hex_127.txt,20,14592
821,163,4.703855037689209,49,critical,heavy_hex_127.txt,20,3278
1400,203,11.398045063018799,68,critical,heavy_hex_127.txt,20,97196
2123,242,18.544535160064697,88,critical,heavy_hex_127.txt,20,36048
2770,261,34.00380325317383,107,critical,heavy_hex_127.txt,20,32098
3841,302,60.80848288536072,127,critical,heavy_hex_127.txt,20,29256
27,38,0.20981192588806152,10,critical,square_144.txt,20,83810
195,88,1.228166103363037,29,critical,square_144.txt,20,14592
496,116,3.8809432983398438,49,critical,square_144.txt,20,3278
956,180,9.350068092346191,68,critical,square_144.txt,20,97196
1376,223,21.741063833236694,88,critical,square_144.txt,20,36048
1854,248,33.163559913635254,107,critical,square_144.txt,20,32098
2576,354,52.07726788520813,127,critical,square_144.txt,20,29256
