swap_count,depth,runtime,num_qubits,heuristic,cmap,trials,seed
65,40,0.24811983108520508,10,basic,ring_127.txt,20,83810
164,61,0.25020599365234375,16,basic,ring_127.txt,20,14592
353,90,0.5289437770843506,22,basic,ring_127.txt,20,3278
580,111,0.42359399795532227,28,basic,ring_127.txt,20,97196
971,163,0.812053918838501,34,basic,ring_127.txt,20,36048
1361,207,1.228060245513916,40,basic,ring_127.txt,20,32098
1901,224,1.3599610328674316,46,basic,ring_127.txt,20,29256
2356,272,1.7285819053649902,52,basic,ring_127.txt,20,18289
2927,304,2.7261271476745605,58,basic,ring_127.txt,20,96530
3521,290,2.9632530212402344,64,basic,ring_127.txt,20,13434
5220,356,3.7691361904144287,70,basic,ring_127.txt,20,88696
6369,353,4.822829961776733,76,basic,ring_127.txt,20,97080
6931,377,5.208974123001099,82,basic,ring_127.txt,20,71482
7862,361,8.983033180236816,88,basic,ring_127.txt,20,11395
8232,351,8.100028991699219,94,basic,ring_127.txt,20,77397
9182,374,9.414950847625732,100,basic,ring_127.txt,20,55302
9108,352,10.017754077911377,106,basic,ring_127.txt,20,4165
9552,349,9.602853059768677,112,basic,ring_127.txt,20,3905
9692,356,8.48453402519226,118,basic,ring_127.txt,20,12280
10558,385,9.140772104263306,127,basic,ring_127.txt,20,28657
60,40,0.15781116485595703,10,basic,heavy_hex_127.txt,20,83810
119,65,0.4674851894378662,16,basic,heavy_hex_127.txt,20,14592
244,95,0.37795090675354004,22,basic,heavy_hex_127.txt,20,3278
317,94,0.25515294075012207,28,basic,heavy_hex_127.txt,20,97196
446,121,0.3200550079345703,34,basic,heavy_hex_127.txt,20,36048
625,149,0.4060249328613281,40,basic,heavy_hex_127.txt,20,32098
779,144,0.4805161952972412,46,basic,heavy_hex_127.txt,20,29256
933,158,0.8074729442596436,52,basic,heavy_hex_127.txt,20,18289
1080,174,0.6707780361175537,58,basic,heavy_hex_127.txt,20,96530
1281,172,0.7666468620300293,64,basic,heavy_hex_127.txt,20,13434
1506,210,1.2457950115203857,70,basic,heavy_hex_127.txt,20,88696
1649,202,1.433708906173706,76,basic,heavy_hex_127.txt,20,97080
2003,237,1.3327841758728027,82,basic,heavy_hex_127.txt,20,71482
2113,247,1.9802517890930176,88,basic,heavy_hex_127.txt,20,11395
2338,230,1.9721190929412842,94,basic,heavy_hex_127.txt,20,77397
2613,252,2.9533638954162598,100,basic,heavy_hex_127.txt,20,55302
2961,273,1.9819602966308594,106,basic,heavy_hex_127.txt,20,4165
3037,268,2.3555920124053955,112,basic,heavy_hex_127.txt,20,3905
3358,252,3.39113712310791,118,basic,heavy_hex_127.txt,20,12280
3871,309,3.992738723754883,127,basic,heavy_hex_127.txt,20,28657
27,31,0.18539118766784668,10,basic,square_144.txt,20,83810
75,54,0.2151470184326172,16,basic,square_144.txt,20,14592
127,79,0.1959233283996582,22,basic,square_144.txt,20,3278
190,82,0.32079315185546875,28,basic,square_144.txt,20,97196
286,93,0.5021989345550537,34,basic,square_144.txt,20,36048
362,109,0.408735990524292,40,basic,square_144.txt,20,32098
468,123,0.9897868633270264,46,basic,square_144.txt,20,29256
583,136,0.5354928970336914,52,basic,square_144.txt,20,18289
701,146,0.6173088550567627,58,basic,square_144.txt,20,96530
840,171,0.7291851043701172,64,basic,square_144.txt,20,13434
960,171,1.0979762077331543,70,basic,square_144.txt,20,88696
1104,199,0.9626271724700928,76,basic,square_144.txt,20,97080
1204,173,1.0697040557861328,82,basic,square_144.txt,20,71482
1418,202,1.8258838653564453,88,basic,square_144.txt,20,11395
1583,207,1.726701021194458,94,basic,square_144.txt,20,77397
1708,242,2.264868974685669,100,basic,square_144.txt,20,55302
1956,234,2.140385150909424,106,basic,square_144.txt,20,4165
2076,284,2.7534241676330566,112,basic,square_144.txt,20,3905
2293,280,2.5731139183044434,118,basic,square_144.txt,20,12280
2607,331,3.0113987922668457,127,basic,square_144.txt,20,28657
58,40,0.17812514305114746,10,lookahead,ring_127.txt,20,83810
158,73,0.21779203414916992,16,lookahead,ring_127.txt,20,14592
333,91,0.4601297378540039,22,lookahead,ring_127.txt,20,3278
476,101,0.60772705078125,28,lookahead,ring_127.txt,20,97196
854,198,0.7915201187133789,34,lookahead,ring_127.txt,20,36048
1176,220,1.1940250396728516,40,lookahead,ring_127.txt,20,32098
1752,257,1.8225908279418945,46,lookahead,ring_127.txt,20,29256
2028,301,1.853315830230713,52,lookahead,ring_127.txt,20,18289
2556,337,2.14732027053833,58,lookahead,ring_127.txt,20,96530
2991,354,3.4242401123046875,64,lookahead,ring_127.txt,20,13434
3781,490,3.488090991973877,70,lookahead,ring_127.txt,20,88696
4972,597,4.207546234130859,76,lookahead,ring_127.txt,20,97080
5225,495,4.822399854660034,82,lookahead,ring_127.txt,20,71482
6559,708,5.785717010498047,88,lookahead,ring_127.txt,20,11395
7189,710,7.0144641399383545,94,lookahead,ring_127.txt,20,77397
8320,955,7.595232009887695,100,lookahead,ring_127.txt,20,55302
9106,920,8.113721132278442,106,lookahead,ring_127.txt,20,4165
9414,900,8.06590485572815,112,lookahead,ring_127.txt,20,3905
10519,1148,10.419622898101807,118,lookahead,ring_127.txt,20,12280
11084,1096,10.868195056915283,127,lookahead,ring_127.txt,20,28657
51,41,0.3595871925354004,10,lookahead,heavy_hex_127.txt,20,83810
102,65,0.24929499626159668,16,lookahead,heavy_hex_127.txt,20,14592
194,81,0.49663305282592773,22,lookahead,heavy_hex_127.txt,20,3278
281,94,0.644585132598877,28,lookahead,heavy_hex_127.txt,20,97196
409,125,0.45976877212524414,34,lookahead,heavy_hex_127.txt,20,36048
515,139,0.5637576580047607,40,lookahead,heavy_hex_127.txt,20,32098
653,162,0.6796998977661133,46,lookahead,heavy_hex_127.txt,20,29256
805,190,0.807056188583374,52,lookahead,heavy_hex_127.txt,20,18289
944,183,1.2681350708007812,58,lookahead,heavy_hex_127.txt,20,96530
1132,197,1.194521188735962,64,lookahead,heavy_hex_127.txt,20,13434
1275,223,1.5743589401245117,70,lookahead,heavy_hex_127.txt,20,88696
1494,264,2.2272000312805176,76,lookahead,heavy_hex_127.txt,20,97080
1650,253,1.9893848896026611,82,lookahead,heavy_hex_127.txt,20,71482
1951,272,2.6619489192962646,88,lookahead,heavy_hex_127.txt,20,11395
2132,368,3.1610941886901855,94,lookahead,heavy_hex_127.txt,20,77397
2401,337,2.517970323562622,100,lookahead,heavy_hex_127.txt,20,55302
2800,384,3.680081844329834,106,lookahead,heavy_hex_127.txt,20,4165
2845,377,3.472609758377075,112,lookahead,heavy_hex_127.txt,20,3905
3263,522,4.298541069030762,118,lookahead,heavy_hex_127.txt,20,12280
3833,536,4.866601943969727,127,lookahead,heavy_hex_127.txt,20,28657
21,33,0.4217357635498047,10,lookahead,square_144.txt,20,83810
55,58,0.18105435371398926,16,lookahead,square_144.txt,20,14592
103,60,0.25240206718444824,22,lookahead,square_144.txt,20,3278
153,72,0.3302009105682373,28,lookahead,square_144.txt,20,97196
217,107,0.5626330375671387,34,lookahead,square_144.txt,20,36048
278,119,0.6528940200805664,40,lookahead,square_144.txt,20,32098
378,135,0.8237700462341309,46,lookahead,square_144.txt,20,29256
464,169,1.3499269485473633,52,lookahead,square_144.txt,20,18289
