swap_count,depth,runtime,num_qubits,heuristic,cmap,trials,seed
57,54,0.04242300987243652,10,decay,heavy_hex_127.txt,1,42
57,54,0.04108691215515137,10,decay,heavy_hex_127.txt,2,42
57,54,0.044603824615478516,10,decay,heavy_hex_127.txt,4,42
54,49,0.07099294662475586,10,decay,heavy_hex_127.txt,10,42
54,49,0.16066288948059082,10,decay,heavy_hex_127.txt,21,42
45,54,0.5298759937286377,10,decay,heavy_hex_127.txt,46,42
45,54,2.1651382446289062,10,decay,heavy_hex_127.txt,100,42
45,54,9.352107048034668,10,decay,heavy_hex_127.txt,215,42
45,54,43.357731103897095,10,decay,heavy_hex_127.txt,464,42
45,54,192.14918398857117,10,decay,heavy_hex_127.txt,1000,42
670,314,0.23488712310791016,29,decay,heavy_hex_127.txt,1,42
570,297,0.2313690185546875,29,decay,heavy_hex_127.txt,2,42
570,297,0.25133800506591797,29,decay,heavy_hex_127.txt,4,42
531,229,0.48729395866394043,29,decay,heavy_hex_127.txt,10,42
498,301,1.413898229598999,29,decay,heavy_hex_127.txt,21,42
498,301,5.455058813095093,29,decay,heavy_hex_127.txt,46,42
497,261,23.764641761779785,29,decay,heavy_hex_127.txt,100,42
476,247,104.92831110954285,29,decay,heavy_hex_127.txt,215,42
464,238,471.46922183036804,29,decay,heavy_hex_127.txt,464,42
456,236,2176.3783209323883,29,decay,heavy_hex_127.txt,1000,42
1869,673,0.6619400978088379,49,decay,heavy_hex_127.txt,1,42
1764,660,0.6676678657531738,49,decay,heavy_hex_127.txt,2,42
1716,616,0.7323439121246338,49,decay,heavy_hex_127.txt,4,42
1695,522,1.485537052154541,49,decay,heavy_hex_127.txt,10,42
1580,619,4.456063985824585,49,decay,heavy_hex_127.txt,21,42
1514,469,17.220317840576172,49,decay,heavy_hex_127.txt,46,42
1514,469,73.61890912055969,49,decay,heavy_hex_127.txt,100,42
1399,336,326.3371741771698,49,decay,heavy_hex_127.txt,215,42
1354,524,1486.7939882278442,49,decay,heavy_hex_127.txt,464,42
1354,524,8142.991993665695,49,decay,heavy_hex_127.txt,1000,42
3945,1451,1.8758080005645752,68,decay,heavy_hex_127.txt,1,42
3585,1166,2.014281988143921,68,decay,heavy_hex_127.txt,2,42
3244,1127,2.5240461826324463,68,decay,heavy_hex_127.txt,4,42
3185,1078,5.8165507316589355,68,decay,heavy_hex_127.txt,10,42
3142,1045,18.004242181777954,68,decay,heavy_hex_127.txt,21,42
3075,870,70.40136694908142,68,decay,heavy_hex_127.txt,46,42
2917,868,300.21716499328613,68,decay,heavy_hex_127.txt,100,42
2718,781,1307.3299050331116,68,decay,heavy_hex_127.txt,215,42
2718,781,5986.223114013672,68,decay,heavy_hex_127.txt,464,42
2666,583,32127.421293258667,68,decay,heavy_hex_127.txt,1000,42
5766,1403,3.5022897720336914,88,decay,heavy_hex_127.txt,1,42
6224,1751,3.835041046142578,88,decay,heavy_hex_127.txt,2,42
6224,1751,4.563015937805176,88,decay,heavy_hex_127.txt,4,42
6008,1566,10.534815311431885,88,decay,heavy_hex_127.txt,10,42
5505,1740,32.05731511116028,88,decay,heavy_hex_127.txt,21,42
5264,1416,124.69703507423401,88,decay,heavy_hex_127.txt,46,42
5000,1277,531.1263749599457,88,decay,heavy_hex_127.txt,100,42
5000,1277,2311.7222220897675,88,decay,heavy_hex_127.txt,215,42
