,depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
0,156,366,0.0837697982788086,8.348,30.55,0.01459,0,1,basic
1,215,684,0.10319304466247559,37.25,62.3,0.01413,0,1,basic
2,105,168,0.06377124786376953,18.95,31.7,0.01275,0,1,basic
3,328,1191,0.0906369686126709,51.12,112.2,0.0004863,0,1,basic
4,299,1209,0.13363409042358398,49.21,130.3,0.0135,0,1,basic
5,224,753,0.10059118270874023,26.77,43.34,0.0118,0,1,basic
6,363,1071,0.14853692054748535,28.76,66.99,0.01412,0,1,basic
7,342,1140,0.12363886833190918,17.08,37.01,0.01311,0,1,basic
8,128,333,0.049906253814697266,12.52,24.46,0.0005493,0,1,basic
9,153,537,0.06522488594055176,21.46,41.19,0.0008201,0,1,basic
10,178,348,0.12905526161193848,38.26,32.66,0.01614,0,1,basic
11,180,471,0.10018682479858398,21.41,33.5,0.01297,0,1,basic
12,141,411,0.11154794692993164,47.77,99.19,0.01677,0,1,basic
13,110,165,0.07493305206298828,12.18,11.22,0.01389,0,1,basic
14,199,438,0.16181111335754395,38.04,47.67,0.01851,0,1,basic
15,247,558,0.13934612274169922,14.61,55.7,0.01962,0,1,basic
16,414,1566,0.12699007987976074,19.68,60.72,0.004737,0,1,basic
17,103,141,0.12277460098266602,7.98,12.79,0.01361,0,1,basic
18,117,144,0.018736839294433594,7.794,17.41,0.0003495,0,1,basic
19,148,315,0.03292489051818848,18.61,33.03,0.000599,0,1,basic
20,149,483,0.0447690486907959,11.58,34.88,0.0004384,0,1,basic
21,367,1233,0.14399480819702148,31.92,66.89,0.01346,0,1,basic
22,389,1431,0.12581181526184082,9.192,23.76,0.01499,0,1,basic
23,253,885,0.08562898635864258,16.48,29.19,0.0009899,0,1,basic
24,273,975,0.09395599365234375,25.1,39.59,0.01315,0,1,basic
25,187,456,0.07180905342102051,12.68,24.05,0.0007468,0,1,basic
26,193,555,0.08625912666320801,19.37,56.62,0.01417,0,1,basic
27,267,969,0.07727575302124023,35.88,30.67,0.01268,0,1,basic
28,262,846,0.08396387100219727,16.52,28.06,0.006264,0,1,basic
29,188,558,0.1567397117614746,19.2,19.14,0.01956,0,1,basic
30,134,378,0.1293201446533203,33.22,52.45,0.0131,0,1,basic
