depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
167,396,0.1860642433166504,19.46,50.78,0.009436,0,1,basic
276,753,0.27958226203918457,24.0,40.64,0.01454,0,1,basic
140,252,0.13357210159301758,14.34,25.5,0.01368,0,1,basic
338,1296,0.37304091453552246,70.91,150.4,0.01898,0,1,basic
416,1524,0.4678840637207031,54.08,108.0,0.01779,0,1,basic
296,900,0.3460421562194824,24.83,64.57,0.008423,0,1,basic
387,1182,0.39495301246643066,22.12,88.0,0.01621,0,1,basic
348,1206,0.42510294914245605,40.5,96.81,0.025,0,1,basic
133,333,0.14391303062438965,20.5,64.85,0.006554,0,1,basic
180,612,0.20401382446289062,57.64,79.38,0.009497,0,1,basic
189,360,0.29352593421936035,33.73,81.65,0.01906,0,1,basic
179,420,0.2216031551361084,28.79,51.15,0.01825,0,1,basic
233,555,0.29140496253967285,13.52,52.26,0.01343,0,1,basic
115,186,0.1363520622253418,20.99,23.94,0.01025,0,1,basic
184,387,0.25491809844970703,32.0,84.2,0.02194,0,1,basic
280,696,0.35836291313171387,31.48,75.52,0.01753,0,1,basic
392,1527,0.5116181373596191,93.86,232.0,0.03213,0,1,basic
130,174,0.20252299308776855,6.745,12.97,0.002325,0,1,basic
128,192,0.036334991455078125,22.07,28.81,0.002897,0,1,basic
158,384,0.10861492156982422,16.36,48.67,0.004955,0,1,basic
194,579,0.1754930019378662,21.25,53.69,0.003457,0,1,basic
424,1299,0.4133288860321045,40.64,89.33,0.01746,0,1,basic
409,1470,0.49543237686157227,63.25,126.9,0.01208,0,1,basic
325,936,0.310546875,11.32,104.2,0.00456,0,1,basic
294,1023,0.3416411876678467,51.23,115.5,0.007737,0,1,basic
172,498,0.20270586013793945,30.63,60.98,0.006834,0,1,basic
234,762,0.27229809761047363,22.64,20.93,0.009686,0,1,basic
268,1035,0.3339371681213379,39.32,42.39,0.01099,0,1,basic
264,762,0.2458808422088623,20.09,88.93,0.01196,0,1,basic
183,585,0.2849910259246826,49.55,72.23,0.0141,0,1,basic
188,552,0.23622798919677734,13.83,39.93,0.01639,0,1,basic
82,117,0.05885910987854004,19.79,39.71,0.00559,0,1,basic
433,1545,0.5074610710144043,22.24,52.86,0.02194,0,1,basic
146,237,0.19216299057006836,24.92,17.02,0.02104,0,1,basic
242,609,0.27466297149658203,6.098,38.01,0.01097,0,1,basic
195,417,0.20939993858337402,39.49,65.36,0.01737,0,1,basic
141,171,0.16220378875732422,14.95,26.01,0.01237,0,1,basic
353,1029,0.38949084281921387,35.76,35.07,0.0109,0,1,basic
483,1734,0.4861729145050049,16.99,88.29,0.02015,0,1,basic
372,1230,0.4617030620574951,29.29,67.7,0.0203,0,1,basic
247,783,0.3089621067047119,33.78,89.43,0.006295,0,1,basic
261,735,0.19746828079223633,16.54,35.2,0.0116,0,1,basic
191,459,0.14362502098083496,17.36,44.31,0.006339,0,1,basic
128,204,0.09989309310913086,5.22,10.61,0.005824,0,1,basic
376,1314,0.4613220691680908,61.28,154.9,0.02027,0,1,basic
400,1338,0.4233827590942383,17.85,97.47,0.01476,0,1,basic
342,1251,0.4501039981842041,61.01,181.2,0.03019,0,1,basic
348,1266,0.46910595893859863,29.92,79.51,0.01351,0,1,basic
112,177,0.09784078598022461,16.8,21.46,0.003712,0,1,basic
216,765,0.22017717361450195,16.56,25.98,0.008674,0,1,basic
194,480,0.11623692512512207,13.16,15.35,0.006938,0,1,basic
394,1095,0.41509294509887695,16.54,56.02,0.01326,0,1,basic
275,975,0.3749990463256836,40.82,75.13,0.02034,0,1,basic
294,843,0.3452153205871582,44.17,97.14,0.02085,0,1,basic
425,1476,0.5188021659851074,39.76,104.9,0.009302,0,1,basic
146,171,0.15061497688293457,18.54,16.21,0.009155,0,1,basic
225,708,0.35063791275024414,40.97,84.44,0.01783,0,1,basic
192,450,0.24094676971435547,15.91,14.15,0.0177,0,1,basic
130,213,0.17558717727661133,15.73,11.69,0.005522,0,1,basic
372,1242,0.4553978443145752,55.2,160.6,0.01777,0,1,basic
