depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
211,468,0.294863224029541,31.93,21.46,0.009524,0,1,basic
305,816,0.490678071975708,36.43,37.02,0.02345,0,1,basic
183,297,0.16101503372192383,22.63,23.33,0.009617,0,1,basic
567,1605,0.6230440139770508,53.71,79.22,0.01708,0,1,basic
525,1665,0.7725231647491455,79.73,128.6,0.02246,0,1,basic
368,1047,0.5154728889465332,46.15,106.5,0.02115,0,1,basic
475,1335,0.5963418483734131,11.5,81.58,0.03582,0,1,basic
523,1593,0.712554931640625,46.85,132.8,0.02019,0,1,basic
176,477,0.19563794136047363,28.99,24.46,0.008591,0,1,basic
217,678,0.335813045501709,28.5,26.7,0.01709,0,1,basic
302,459,0.34602808952331543,33.21,72.01,0.0106,0,1,basic
261,576,0.3472301959991455,39.85,40.66,0.08355,0,1,basic
321,705,0.3659179210662842,33.6,57.94,0.02812,0,1,basic
153,195,0.16378307342529297,14.85,27.03,0.01568,0,1,basic
266,489,0.31382179260253906,28.44,48.26,0.01986,0,1,basic
338,756,0.5608289241790771,36.96,77.35,0.04404,0,1,basic
636,1890,0.7911190986633301,36.03,31.78,0.02559,0,1,basic
119,168,0.2651560306549072,29.16,21.84,0.01398,0,1,basic
128,192,0.04013800621032715,22.07,28.81,0.002305,0,1,basic
161,417,0.15226292610168457,33.97,29.95,0.007447,0,1,basic
228,585,0.23326516151428223,10.61,45.81,0.02623,0,1,basic
432,1476,0.6762537956237793,70.72,96.82,0.02944,0,1,basic
572,1638,0.7804880142211914,71.46,171.9,0.04044,0,1,basic
334,1044,0.5577890872955322,25.54,36.4,0.03345,0,1,basic
416,1122,0.5944929122924805,33.25,76.81,0.01729,0,1,basic
242,570,0.26073598861694336,57.32,60.43,0.003456,0,1,basic
327,735,0.3859119415283203,23.25,71.38,0.01378,0,1,basic
434,1227,0.4930458068847656,41.32,43.8,0.01964,0,1,basic
343,897,0.392794132232666,55.81,109.3,0.02815,0,1,basic
277,735,0.4067530632019043,37.43,70.08,0.03045,0,1,basic
141,396,0.2805511951446533,46.37,67.92,0.03339,0,1,basic
114,219,0.09880709648132324,4.969,30.67,0.01008,0,1,basic
551,1590,0.7800271511077881,46.83,90.21,0.04055,0,1,basic
132,183,0.23361706733703613,15.66,37.8,0.02092,0,1,basic
301,693,0.42903709411621094,32.81,94.23,0.02043,0,1,basic
227,492,0.2890961170196533,63.77,83.72,0.01204,0,1,basic
167,201,0.21808314323425293,18.56,37.37,0.03958,0,1,basic
391,1038,0.5584971904754639,46.55,73.32,0.02732,0,1,basic
629,1872,0.857151985168457,63.06,158.9,0.04393,0,1,basic
431,1092,0.6798951625823975,80.62,115.2,0.02438,0,1,basic
355,813,0.541452169418335,20.94,114.0,0.02241,0,1,basic
272,651,0.25168371200561523,44.54,81.97,0.008121,0,1,basic
211,456,0.1339418888092041,19.89,83.18,0.01322,0,1,basic
114,168,0.09884500503540039,8.258,19.25,0.003456,0,1,basic
627,1719,0.7583041191101074,27.25,49.72,0.03255,0,1,basic
426,1359,0.695274829864502,53.02,93.76,0.0292,0,1,basic
549,1611,0.8639769554138184,54.58,123.6,0.08171,0,1,basic
476,1431,0.7389252185821533,34.12,69.76,0.0206,0,1,basic
97,159,0.10377788543701172,24.86,33.63,0.00705,0,1,basic
353,915,0.3218691349029541,6.727,20.07,0.02196,0,1,basic
225,504,0.15033698081970215,32.61,98.25,0.00872,0,1,basic
435,1149,0.6502237319946289,35.59,71.1,0.01401,0,1,basic
456,1128,0.5241842269897461,54.27,109.5,0.03166,0,1,basic
330,963,0.5544829368591309,42.51,99.7,0.05056,0,1,basic
490,1671,0.8969752788543701,39.16,121.4,0.0334,0,1,basic
146,198,0.19518494606018066,15.26,10.61,0.01355,0,1,basic
235,537,0.4180867671966553,55.46,127.0,0.02537,0,1,basic
178,426,0.30222415924072266,49.51,74.23,0.0329,0,1,basic
140,153,0.21698784828186035,24.39,37.29,0.01592,0,1,basic
549,1440,0.7543799877166748,81.26,162.4,0.009448,0,1,basic
80,141,0.0822141170501709,23.72,34.04,0.003076,0,1,basic
291,720,0.35424208641052246,35.75,76.53,0.02109,0,1,basic
221,543,0.27034687995910645,58.08,43.55,0.01769,0,1,basic
427,1146,0.5181608200073242,24.38,68.39,0.08917,0,1,basic
387,1083,0.7122788429260254,16.84,11.02,0.1332,0,1,basic
195,519,0.27135276794433594,16.78,23.91,0.02218,0,1,basic
262,621,0.30951595306396484,28.15,52.48,0.03001,0,1,basic
486,1452,0.729651927947998,46.3,80.53,0.03098,0,1,basic
629,1770,0.8455700874328613,22.77,86.59,0.03185,0,1,basic
304,705,0.4579451084136963,61.19,159.4,0.02382,0,1,basic
412,1206,0.7107689380645752,36.1,70.18,0.02573,0,1,basic
135,231,0.04778599739074707,16.03,22.49,0.001939,0,1,basic
190,510,0.15590882301330566,43.16,25.81,0.001717,0,1,basic
287,711,0.2597661018371582,20.62,34.37,0.01102,0,1,basic
167,174,0.24310302734375,40.82,75.69,0.006066,0,1,basic
571,1944,0.9655270576477051,59.76,23.62,0.02041,0,1,basic
246,498,0.34706807136535645,44.82,58.38,0.02538,0,1,basic
350,891,0.44826173782348633,21.6,69.73,0.02459,0,1,basic
229,450,0.28746986389160156,28.89,44.67,0.01879,0,1,basic
284,696,0.4787158966064453,62.57,61.28,0.02301,0,1,basic
150,219,0.16925501823425293,29.56,46.78,0.01828,0,1,basic
214,420,0.3655219078063965,50.87,60.09,0.022,0,1,basic
163,366,0.1958150863647461,30.2,59.26,0.01146,0,1,basic
