depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
185,516,0.321699857711792,31.59,56.06,0.03853,0,1,basic
239,741,0.5371601581573486,32.67,53.01,0.09356,0,1,basic
126,186,0.20337486267089844,15.32,20.12,0.01174,0,1,basic
375,1317,0.8928670883178711,33.07,84.92,0.03855,0,1,basic
387,1428,0.9136109352111816,40.36,92.28,0.05408,0,1,basic
310,975,0.721674919128418,32.56,15.52,11.25,0,1,basic
340,1074,0.8688449859619141,54.0,93.83,0.03555,0,1,basic
366,1068,0.8239169120788574,40.34,166.5,115.6,0,1,basic
149,414,0.26327991485595703,38.53,65.06,0.02283,0,1,basic
209,576,0.41310882568359375,30.17,76.41,0.01747,0,1,basic
257,552,0.41897130012512207,29.42,37.8,0.01347,0,1,basic
220,495,0.43526673316955566,10.64,73.55,28.94,0,1,basic
270,699,0.48887109756469727,26.29,19.56,0.0143,0,1,basic
107,168,0.19388914108276367,19.27,28.54,0.01321,0,1,basic
198,453,0.48301196098327637,19.73,12.07,0.04154,0,1,basic
293,789,0.5967609882354736,27.69,76.06,0.0377,0,1,basic
479,1662,1.0676329135894775,15.76,79.13,0.06597,0,1,basic
99,135,0.23236894607543945,41.74,30.7,0.01281,0,1,basic
128,192,0.04029488563537598,22.07,28.81,0.002766,0,1,basic
163,408,0.2182161808013916,26.7,31.36,0.01833,0,1,basic
200,573,0.3300142288208008,12.52,53.62,0.02509,0,1,basic
386,1311,0.9009609222412109,55.52,168.6,0.04306,0,1,basic
454,1467,1.0994129180908203,46.52,190.5,0.04989,0,1,basic
290,981,0.5699479579925537,35.42,82.3,0.03704,0,1,basic
321,1119,0.6403710842132568,36.32,115.5,0.03512,0,1,basic
199,507,0.42339205741882324,18.87,24.46,0.03639,0,1,basic
232,657,0.49244213104248047,21.12,53.79,0.03103,0,1,basic
313,1044,134.6864550113678,54.09,92.88,58.01,0,1,basic
285,942,0.4786341190338135,37.58,73.68,0.03362,0,1,basic
248,702,0.4573707580566406,33.29,50.13,0.03475,0,1,basic
173,489,0.36123013496398926,24.22,18.31,0.03377,0,1,basic
82,123,0.09280109405517578,21.42,26.95,0.01002,0,1,basic
388,1323,0.8614320755004883,46.33,152.2,0.05799,0,1,basic
142,186,0.28540802001953125,35.84,36.06,0.0181,0,1,basic
242,612,0.4687230587005615,37.45,59.36,0.03355,0,1,basic
202,459,0.3708219528198242,31.33,17.41,0.03274,0,1,basic
111,153,0.21216511726379395,22.21,31.1,0.00636,0,1,basic
292,930,0.7107110023498535,18.03,19.79,0.01682,0,1,basic
514,1956,1.0855801105499268,7.822,78.13,429.4,0,1,basic
347,1266,0.8258869647979736,76.42,105.8,0.03228,0,1,basic
281,846,0.5966968536376953,24.37,89.53,0.0213,0,1,basic
251,654,0.36937904357910156,50.69,99.65,0.03221,0,1,basic
195,519,0.24040675163269043,19.65,23.53,0.008971,0,1,basic
132,189,0.13054513931274414,7.28,24.04,0.008998,0,1,basic
371,1347,0.9160809516906738,72.37,172.2,0.08728,0,1,basic
363,1308,0.8094062805175781,53.78,84.23,0.02853,0,1,basic
447,1578,1.1886820793151855,34.27,91.03,440.9,0,1,basic
380,1299,1025.7613809108734,45.3,113.2,443.8,0,1,basic
102,132,0.13195371627807617,7.79,23.14,0.02373,0,1,basic
265,744,0.46360111236572266,10.21,61.09,0.01547,0,1,basic
192,471,0.22501826286315918,11.61,17.81,0.01728,0,1,basic
384,1227,1065.674304008484,39.93,72.16,461.1,0,1,basic
301,792,0.6917476654052734,43.67,109.8,0.03133,0,1,basic
315,882,0.6842823028564453,38.0,67.23,448.6,0,1,basic
431,1641,967.0341489315033,58.55,94.9,418.2,0,1,basic
131,165,0.1961507797241211,10.76,7.649,0.01017,0,1,basic
227,666,0.5614001750946045,36.36,77.67,0.0349,0,1,basic
193,510,0.3697547912597656,23.56,19.83,0.003044,0,1,basic
129,180,0.2606348991394043,21.46,26.71,0.01428,0,1,basic
459,1326,0.9541540145874023,46.38,100.7,0.0105,0,1,basic
75,108,0.09785890579223633,20.4,45.37,0.009664,0,1,basic
234,624,0.4820709228515625,21.05,25.84,0.05429,0,1,basic
218,459,0.41263580322265625,19.14,50.27,0.01145,0,1,basic
324,1047,0.6947479248046875,19.65,79.04,0.03419,0,1,basic
354,978,0.5292890071868896,26.55,76.17,0.02468,0,1,basic
126,360,0.30872488021850586,32.08,63.69,0.0171,0,1,basic
209,636,0.4015500545501709,25.95,54.76,0.02913,0,1,basic
388,1314,0.8670458793640137,68.85,119.0,74.34,0,1,basic
531,1755,1.1898188591003418,29.62,74.32,0.02118,0,1,basic
261,768,0.5448782444000244,37.22,65.57,0.02615,0,1,basic
384,1239,186.24270725250244,23.24,33.07,80.29,0,1,basic
135,231,0.04710888862609863,16.03,22.49,0.001519,0,1,basic
227,528,0.2645707130432129,14.82,42.92,0.01923,0,1,basic
158,522,0.3348209857940674,50.48,102.4,0.01574,0,1,basic
147,219,0.3094668388366699,26.32,35.39,0.01689,0,1,basic
394,1380,1.141308307647705,31.68,159.1,439.0,0,1,basic
165,447,0.40993785858154297,36.79,19.79,0.02243,0,1,basic
301,741,0.5190508365631104,17.71,23.53,0.01198,0,1,basic
213,468,0.3546450138092041,23.18,53.08,402.7,0,1,basic
228,702,0.5256130695343018,28.79,62.32,0.04279,0,1,basic
109,174,0.1938459873199463,37.1,65.04,0.02831,0,1,basic
213,399,0.46071600914001465,26.16,35.02,0.01922,0,1,basic
152,393,0.2529768943786621,7.595,19.14,0.0157,0,1,basic
227,612,0.37951207160949707,42.32,120.9,0.02432,0,1,basic
285,972,0.646787166595459,18.5,49.25,253.6,0,1,basic
370,1095,0.7522101402282715,45.02,97.59,0.0294,0,1,basic
385,1194,0.9213812351226807,42.5,104.0,0.03792,0,1,basic
361,1149,0.8367061614990234,33.48,83.88,56.37,0,1,basic
453,1596,1.0273411273956299,10.83,14.6,0.03944,0,1,basic
161,453,0.35884785652160645,24.35,44.87,409.1,0,1,basic
289,762,0.4945816993713379,13.55,25.4,0.01625,0,1,basic
153,270,0.19507789611816406,11.29,9.836,0.002384,0,1,basic
287,1005,0.6090188026428223,23.21,26.1,455.9,0,1,basic
340,1167,0.6787910461425781,16.42,46.91,0.04972,0,1,basic
161,435,0.32068705558776855,35.25,44.82,419.1,0,1,basic
245,708,0.46634960174560547,17.74,31.07,0.02612,0,1,basic
100,168,0.10545897483825684,17.37,21.89,0.009515,0,1,basic
451,1449,552.907998085022,46.72,38.91,239.0,0,1,basic
163,189,0.20961594581604004,8.786,35.9,0.02294,0,1,basic
218,441,0.35921692848205566,17.14,36.27,0.02983,0,1,basic
349,873,0.5380752086639404,13.5,41.38,0.01735,0,1,basic
167,231,0.2303638458251953,7.949,15.37,0.00885,0,1,basic
304,1062,0.7788679599761963,42.99,61.2,0.0416,0,1,basic
300,894,0.6519160270690918,42.05,117.9,0.02708,0,1,basic
315,1056,0.7085709571838379,48.99,71.38,398.7,0,1,basic
