depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
178,459,0.24539613723754883,9.206,77.03,0.01933,0,1,basic
269,825,0.36930370330810547,12.3,25.13,0.01061,0,1,basic
115,231,0.13317608833312988,14.87,20.84,0.004792,0,1,basic
346,1551,0.5541801452636719,22.05,75.19,0.01188,0,1,basic
347,1623,0.6177990436553955,28.73,82.44,0.03078,0,1,basic
264,948,0.39227819442749023,42.55,111.1,0.01919,0,1,basic
319,1251,0.5064640045166016,23.73,87.83,0.01459,0,1,basic
355,1281,0.5600929260253906,14.79,139.4,0.02198,0,1,basic
136,501,0.16610002517700195,11.48,53.5,0.009174,0,1,basic
198,681,0.2663726806640625,14.37,29.42,0.0118,0,1,basic
208,465,0.3394286632537842,20.24,42.45,0.005774,0,1,basic
196,516,0.29744625091552734,13.5,56.46,0.01392,0,1,basic
189,585,0.3575592041015625,27.18,78.87,0.02119,0,1,basic
126,246,0.1371171474456787,9.937,16.48,0.01702,0,1,basic
182,459,0.30933618545532227,25.86,56.42,0.009272,0,1,basic
226,753,0.42268800735473633,33.02,77.98,0.03276,0,1,basic
310,1377,0.7065978050231934,66.93,283.9,0.03248,0,1,basic
103,156,0.21408390998840332,30.89,25.72,0.004875,0,1,basic
115,198,0.0382080078125,4.528,9.093,0.001181,0,1,basic
150,447,0.12745404243469238,9.311,33.03,0.00687,0,1,basic
142,561,0.19115686416625977,22.94,81.78,0.008387,0,1,basic
324,1302,0.5648858547210693,38.11,156.9,0.01812,0,1,basic
375,1644,0.678231954574585,39.15,102.7,0.02688,0,1,basic
252,981,0.37777113914489746,17.08,94.71,0.01029,0,1,basic
313,1110,0.4532642364501953,10.06,40.64,0.01645,0,1,basic
163,507,0.21287298202514648,9.121,57.1,0.01767,0,1,basic
234,786,0.3425579071044922,16.8,77.45,0.01032,0,1,basic
312,1248,0.4350008964538574,12.5,56.46,0.01889,0,1,basic
221,912,0.32164931297302246,36.27,103.1,0.008587,0,1,basic
164,621,0.3258628845214844,36.07,68.71,0.01191,0,1,basic
186,510,0.2608609199523926,13.87,32.27,0.007281,0,1,basic
83,132,0.06982898712158203,10.99,30.78,0.003608,0,1,basic
358,1533,0.6068339347839355,26.41,35.01,0.02061,0,1,basic
153,255,0.2054119110107422,24.29,31.2,0.01791,0,1,basic
264,738,0.34877824783325195,19.46,55.9,0.01983,0,1,basic
211,573,0.24985718727111816,19.33,48.12,0.01151,0,1,basic
