depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
164,543,0.26212596893310547,23.59,39.25,0.01439,0,1,basic
243,780,0.386962890625,25.12,63.62,0.01258,0,1,basic
128,306,0.13199996948242188,10.3,32.45,0.004228,0,1,basic
324,1518,0.5554599761962891,6.942,38.26,0.02459,0,1,basic
356,1683,0.6111087799072266,10.89,43.21,0.02608,0,1,basic
254,1095,0.47766613960266113,18.41,48.77,0.02348,0,1,basic
334,1293,0.5607748031616211,19.78,57.8,0.01176,0,1,basic
324,1227,0.592728853225708,25.17,123.2,0.01288,0,1,basic
145,462,0.19327878952026367,7.533,33.34,0.01515,0,1,basic
180,669,0.2590057849884033,18.74,62.8,0.01214,0,1,basic
224,426,0.3060910701751709,10.99,48.97,0.02078,0,1,basic
194,606,0.2695448398590088,6.495,42.16,0.01502,0,1,basic
236,654,0.3833291530609131,28.07,88.93,0.01658,0,1,basic
128,204,0.14411115646362305,13.68,18.42,0.004878,0,1,basic
188,474,0.2797739505767822,31.29,64.1,0.01318,0,1,basic
246,738,0.40778279304504395,21.43,79.71,0.01685,0,1,basic
444,1818,0.654735803604126,26.53,93.25,0.02031,0,1,basic
138,225,0.2104167938232422,11.32,6.364,0.0174,0,1,basic
113,204,0.03526711463928223,8.396,7.758,0.0005498,0,1,basic
117,381,0.12368988990783691,30.56,82.28,0.007598,0,1,basic
166,747,0.24902009963989258,4.975,58.61,0.01232,0,1,basic
329,1524,0.6149148941040039,21.04,9.337,0.03487,0,1,basic
381,1734,0.6830511093139648,23.01,102.0,0.03746,0,1,basic
223,978,0.41645288467407227,30.91,134.5,0.003968,0,1,basic
313,1221,0.4360971450805664,8.983,79.33,0.02058,0,1,basic
165,576,0.2188568115234375,14.97,29.47,0.02025,0,1,basic
229,861,0.31005001068115234,6.782,65.57,0.0261,0,1,basic
262,1215,0.46215391159057617,32.0,56.6,0.009096,0,1,basic
246,1071,0.3490159511566162,21.29,46.28,0.0135,0,1,basic
213,798,0.33490800857543945,26.67,47.97,0.02599,0,1,basic
160,480,0.25823426246643066,17.8,39.65,0.01044,0,1,basic
