depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
154,342,0.18686389923095703,16.42,24.92,0.006769,0,1,lookahead
178,489,0.25985074043273926,30.85,49.36,0.0273,0,1,lookahead
109,159,0.12444114685058594,12.34,17.8,0.01446,0,1,lookahead
247,906,0.3605480194091797,42.88,77.05,0.01501,0,1,lookahead
255,1062,0.3536360263824463,58.32,54.68,0.02511,0,1,lookahead
187,609,0.30076003074645996,40.51,62.83,0.01311,0,1,lookahead
309,909,0.3630399703979492,17.17,52.93,0.008814,0,1,lookahead
305,912,0.35452699661254883,19.07,53.79,0.02652,0,1,lookahead
132,294,0.13510894775390625,11.3,24.83,0.004602,0,1,lookahead
180,507,0.20680594444274902,14.32,38.24,0.006066,0,1,lookahead
167,312,0.26714372634887695,22.19,27.7,0.01776,0,1,lookahead
151,354,0.22809600830078125,17.46,24.77,0.02258,0,1,lookahead
197,474,0.27361273765563965,8.559,27.44,0.01189,0,1,lookahead
83,141,0.13258910179138184,16.07,11.69,0.0145,0,1,lookahead
148,282,0.2564969062805176,22.5,46.69,0.01376,0,1,lookahead
247,528,0.30022192001342773,22.92,25.81,0.02636,0,1,lookahead
387,1257,0.4431121349334717,29.92,44.24,0.02236,0,1,lookahead
94,117,0.17774724960327148,9.909,9.808,0.004286,0,1,lookahead
96,120,0.03153681755065918,14.57,12.97,0.001661,0,1,lookahead
110,261,0.10794687271118164,24.36,31.36,0.004939,0,1,lookahead
125,405,0.14511990547180176,28.72,28.33,0.007715,0,1,lookahead
318,1011,0.3956458568572998,55.44,117.0,0.01686,0,1,lookahead
334,1074,0.43370890617370605,63.39,134.7,0.01127,0,1,lookahead
262,687,0.28069519996643066,7.628,49.91,0.009837,0,1,lookahead
315,939,0.3383290767669678,6.083,11.22,0.008878,0,1,lookahead
154,348,0.16597914695739746,30.68,30.84,0.01076,0,1,lookahead
172,495,0.22260022163391113,25.17,32.76,0.02233,0,1,lookahead
285,837,0.30249500274658203,29.22,48.79,0.01965,0,1,lookahead
225,693,0.2313401699066162,20.93,41.86,0.01365,0,1,lookahead
