,depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
0,23,80,0.04278087615966797,8.136,16.07,0.01197,0,1,basic
1,86,242,0.08496618270874023,34.66,46.2,0.01616,0,1,basic
2,59,126,0.057054996490478516,13.57,28.7,0.003137,0,1,basic
3,83,262,0.08668303489685059,32.78,42.92,0.01705,0,1,basic
4,84,263,0.08267784118652344,13.53,33.17,0.00453,0,1,basic
5,8,21,0.0312349796295166,1.09,3.0,0.01289,0,1,basic
6,37,116,0.05078387260437012,6.265,4.243,0.001306,0,1,basic
7,75,243,0.1037898063659668,14.1,14.45,0.01235,0,1,basic
8,57,147,0.06363177299499512,11.84,28.49,0.01444,0,1,basic
9,96,241,0.0884251594543457,24.83,40.38,0.01592,0,1,basic
10,122,287,0.08185768127441406,15.73,27.08,0.0006254,0,1,basic
11,64,181,0.05940413475036621,10.42,34.69,0.01488,0,1,basic
12,111,254,0.08248186111450195,9.808,15.73,0.01483,0,1,basic
13,61,142,0.07654809951782227,6.098,18.79,0.007536,0,1,basic
14,103,337,0.09129881858825684,13.98,20.84,0.002922,0,1,basic
15,84,210,0.11036086082458496,16.17,21.37,0.01441,0,1,basic
16,60,138,0.06817984580993652,9.67,18.05,0.0007163,0,1,basic
17,30,83,0.04706311225891113,13.97,20.17,0.001437,0,1,basic
18,10,27,0.03260922431945801,0.5,3.897,0.0009308,0,1,basic
19,82,230,0.07734799385070801,14.38,33.74,0.01454,0,1,basic
20,120,286,0.12401723861694336,13.21,15.95,0.01261,0,1,basic
21,63,162,0.0619509220123291,4.023,13.81,0.01307,0,1,basic
22,94,233,0.12097787857055664,15.96,33.57,0.0148,0,1,basic
23,23,62,0.040609121322631836,4.815,7.155,0.0006863,0,1,basic
24,11,30,0.031040668487548828,2.165,6.495,0.01392,0,1,basic
25,33,110,0.0479280948638916,5.847,9.0,0.001255,0,1,basic
26,74,222,0.06999778747558594,22.34,41.1,0.01447,0,1,basic
27,100,328,0.10721921920776367,19.41,14.31,0.01581,0,1,basic
28,55,157,0.05963706970214844,1.581,14.85,0.01402,0,1,basic
29,23,68,0.04191994667053223,2.278,2.121,0.005116,0,1,basic
30,7,24,0.0327301025390625,6.819,4.975,0.0006179,0,1,basic
31,36,80,0.051531076431274414,11.2,26.61,0.01569,0,1,basic
32,122,308,0.09569406509399414,22.51,36.52,0.01391,0,1,basic
33,77,192,0.06536602973937988,6.647,18.49,0.01329,0,1,basic
34,83,224,0.08179688453674316,32.62,27.85,0.01203,0,1,basic
35,94,212,0.11638498306274414,6.964,15.07,0.01632,0,1,basic
36,49,117,0.05941009521484375,12.85,22.49,0.002685,0,1,basic
37,93,287,0.08963990211486816,13.77,26.24,0.01375,0,1,basic
38,33,122,0.04737210273742676,9.028,20.61,0.002471,0,1,basic
39,23,80,0.043248891830444336,4.969,7.036,0.002044,0,1,basic
40,12,30,0.033612728118896484,1.92,3.354,0.01377,0,1,basic
41,32,109,0.056535959243774414,11.1,19.02,0.001658,0,1,basic
42,104,307,0.1259777545928955,10.08,20.35,0.01325,0,1,basic
43,48,126,0.06406593322753906,27.61,34.62,0.002379,0,1,basic
44,17,53,0.04639911651611328,10.13,18.67,0.001437,0,1,basic
45,5,15,0.031440019607543945,1.5,4.5,0.0008413,0,1,basic
