,depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
0,23,77,0.07338809967041016,3.674,6.833,0.01093,0,1,basic
1,86,233,0.18833208084106445,36.24,76.29,0.01303,0,1,basic
2,84,180,0.12300300598144531,4.969,16.29,0.01744,0,1,basic
3,129,325,0.23141217231750488,19.23,44.7,0.02786,0,1,basic
4,109,296,0.18751096725463867,19.21,35.01,0.01087,0,1,basic
5,5,15,0.04164600372314453,2.278,8.584,0.005004,0,1,basic
6,35,104,0.13558602333068848,11.32,17.04,0.0126,0,1,basic
7,88,264,0.17353200912475586,19.19,18.54,0.02378,0,1,basic
8,67,195,0.1811380386352539,21.04,27.9,0.05552,0,1,basic
9,131,331,0.19018006324768066,27.52,57.71,0.02156,0,1,basic
10,108,296,0.1920771598815918,45.6,91.37,0.02907,0,1,basic
11,47,115,0.13127613067626953,18.95,13.81,0.009316,0,1,basic
12,124,338,0.21069097518920898,26.52,48.48,0.00843,0,1,basic
13,63,184,0.1440718173980713,26.95,34.3,0.02138,0,1,basic
14,148,403,0.21483588218688965,15.8,38.73,0.01329,0,1,basic
15,99,291,0.20453310012817383,8.555,11.52,0.01596,0,1,basic
16,84,207,0.14927315711975098,9.233,25.04,0.02461,0,1,basic
17,55,137,0.1184239387512207,0.8292,14.15,0.008634,0,1,basic
18,8,21,0.050804853439331055,4.743,8.043,0.01862,0,1,basic
19,106,245,0.1760389804840088,31.92,47.27,0.02302,0,1,basic
20,129,328,0.2343769073486328,18.78,26.87,0.00426,0,1,basic
21,58,192,0.14005517959594727,19.21,36.25,0.01264,0,1,basic
22,90,245,0.20517873764038086,15.84,34.23,0.01262,0,1,basic
23,17,53,0.06355500221252441,5.025,9.093,0.01416,0,1,basic
24,8,18,0.04170489311218262,5.244,8.617,0.01794,0,1,basic
25,51,155,0.12143301963806152,3.808,36.89,0.005308,0,1,basic
26,81,261,0.18505501747131348,17.8,20.83,0.01433,0,1,basic
27,118,400,0.24736309051513672,23.38,47.4,0.02011,0,1,basic
28,43,130,0.15617609024047852,11.78,18.19,0.01191,0,1,basic
29,26,77,0.07997369766235352,8.047,8.842,0.0009168,0,1,basic
30,10,39,0.052387237548828125,3.24,8.318,0.006389,0,1,basic
31,28,80,0.09934306144714355,13.22,34.3,0.024,0,1,basic
32,117,305,0.2238328456878662,16.6,41.52,0.01064,0,1,basic
33,81,273,0.16318011283874512,10.02,34.37,0.01427,0,1,basic
34,90,236,0.23876500129699707,25.71,62.19,0.01367,0,1,basic
35,100,245,0.1543560028076172,25.46,24.77,0.02561,0,1,basic
36,56,144,0.13324403762817383,15.17,44.36,0.01298,0,1,basic
37,143,344,0.22115087509155273,24.09,48.79,0.01405,0,1,basic
38,44,143,0.1046910285949707,7.762,22.39,0.005207,0,1,basic
39,24,83,0.08819794654846191,10.43,17.41,0.01134,0,1,basic
40,11,39,0.05845499038696289,5.761,10.61,0.01763,0,1,basic
41,43,148,0.12517094612121582,9.756,18.67,0.008686,0,1,basic
42,97,337,0.21891283988952637,23.5,21.25,0.02504,0,1,basic
43,52,147,0.13965201377868652,10.66,23.85,0.02227,0,1,basic
44,37,107,0.10573887825012207,10.32,33.57,0.02739,0,1,basic
45,5,15,0.049797773361206055,1.299,1.5,0.003757,0,1,basic
46,43,115,0.10577797889709473,5.408,26.86,0.006635,0,1,basic
47,103,310,0.19402718544006348,67.23,85.18,0.02123,0,1,basic
48,79,276,0.2504451274871826,30.24,44.62,0.01955,0,1,basic
49,42,131,0.11054682731628418,4.717,7.649,0.01996,0,1,basic
50,12,30,0.04846906661987305,4.206,9.337,0.003445,0,1,basic
51,14,35,0.07892513275146484,7.661,9.337,0.00564,0,1,basic
52,137,254,0.16922688484191895,6.103,22.35,0.01499,0,1,basic
53,74,210,0.13599205017089844,22.79,33.36,0.02216,0,1,basic
54,138,269,0.2042558193206787,23.93,37.97,0.01199,0,1,basic
55,37,80,0.09102392196655273,7.697,18.9,0.002214,0,1,basic
56,28,74,0.07750606536865234,7.714,16.09,0.01128,0,1,basic
57,117,320,0.23290777206420898,29.44,40.21,0.02131,0,1,basic
58,58,162,0.12425613403320312,13.15,24.77,0.02345,0,1,basic
59,116,353,0.25200414657592773,8.382,41.81,0.02988,0,1,basic
60,15,42,0.05267691612243652,1.803,12.62,0.007175,0,1,basic
61,20,50,0.07318592071533203,6.364,19.44,0.01448,0,1,basic
62,41,98,0.10450100898742676,4.493,34.6,0.01258,0,1,basic
63,75,228,0.20106196403503418,18.73,39.12,0.02356,0,1,basic
64,116,289,0.24712228775024414,27.48,52.69,0.01534,0,1,basic
65,52,151,0.11775588989257812,9.523,17.92,0.008132,0,1,basic
66,40,148,0.11950397491455078,18.61,21.05,0.02925,0,1,basic
67,93,314,0.20025300979614258,19.65,10.69,0.03232,0,1,basic
68,80,210,0.16115403175354004,16.99,16.62,0.007275,0,1,basic
69,87,249,0.20374608039855957,21.5,31.99,0.02361,0,1,basic
70,108,356,0.22334504127502441,22.06,42.98,0.008068,0,1,basic
71,21,65,0.07892179489135742,1.92,9.808,0.006268,0,1,basic
72,60,187,0.1344623565673828,3.354,8.584,0.01548,0,1,basic
73,155,472,0.25632786750793457,16.84,49.99,0.02153,0,1,basic
74,83,240,0.1724231243133545,22.02,41.75,0.0166,0,1,basic
75,111,287,0.221757173538208,24.46,45.89,0.008208,0,1,basic
76,38,98,0.09909796714782715,17.05,21.79,0.002595,0,1,basic
77,7,18,0.041055917739868164,3.041,3.897,0.01381,0,1,basic
78,10,36,0.056307077407836914,5.974,15.07,0.001678,0,1,basic
79,31,104,0.09146499633789062,16.62,17.23,0.006919,0,1,basic
80,111,260,0.2064063549041748,14.95,63.96,0.01707,0,1,basic
81,97,240,0.1914072036743164,21.7,56.46,0.01969,0,1,basic
82,119,301,0.1848907470703125,38.71,67.56,0.03307,0,1,basic
83,54,175,0.15395402908325195,6.18,7.649,0.01392,0,1,basic
84,22,50,0.06537604331970215,7.5,14.47,0.01616,0,1,basic
85,127,377,0.20025396347045898,8.7,13.25,0.02303,0,1,basic
86,72,207,0.1633598804473877,17.83,27.21,0.004878,0,1,basic
87,107,279,0.18588900566101074,16.35,17.28,0.01445,0,1,basic
88,64,160,0.15398502349853516,4.206,9.721,0.01373,0,1,basic
89,116,257,0.20494890213012695,47.44,110.6,0.008884,0,1,basic
90,81,567,0.9395079612731934,12.64,58.57,0.02875,0,1,basic
91,38,246,0.32382893562316895,8.631,24.09,0.02852,0,1,basic
92,132,774,1.1330831050872803,22.74,175.1,0.03306,0,1,basic
93,252,1560,1.777055025100708,43.01,142.6,0.05626,0,1,basic
94,447,2733,2.9982712268829346,20.69,55.62,0.1192,0,1,basic
95,380,2157,2.245244026184082,40.6,184.4,0.1422,0,1,basic
96,31,180,0.34720516204833984,4.548,26.75,0.01713,0,1,basic
97,159,996,1.196901798248291,29.99,85.18,0.06298,0,1,basic
98,274,1827,2.010612964630127,67.61,119.1,0.01556,0,1,basic
99,182,1242,1.462454080581665,37.16,106.5,0.0732,0,1,basic
100,527,3211,3.045344114303589,46.42,220.7,0.1229,0,1,basic
101,513,3007,2.8774499893188477,22.09,120.7,0.175,0,1,basic
102,240,1350,1.4391579627990723,36.76,98.42,0.1166,0,1,basic
103,308,1845,2.192639112472534,39.56,104.5,0.07561,0,1,basic
104,153,876,1.190962314605713,27.41,83.18,0.03795,0,1,basic
105,42,174,0.3244941234588623,6.538,28.49,0.05259,0,1,basic
106,355,2346,2.632714033126831,28.61,231.1,0.1522,0,1,basic
107,413,2568,2.6064209938049316,30.05,206.6,0.07429,0,1,basic
108,247,1770,1.6912870407104492,46.58,159.3,0.1204,0,1,basic
109,126,795,1.1232481002807617,26.12,164.9,0.1395,0,1,basic
110,76,459,0.7043659687042236,12.4,76.18,0.04036,0,1,basic
111,35,267,0.4346771240234375,8.201,28.25,0.04431,0,1,basic
112,31,204,0.3877136707305908,9.028,5.196,0.02566,0,1,basic
113,143,984,1.3576970100402832,9.23,56.0,0.09598,0,1,basic
114,305,1857,2.220923900604248,17.9,174.1,0.1627,0,1,basic
115,228,1524,1.8154869079589844,49.55,208.0,0.1325,0,1,basic
116,329,2076,2.410392999649048,31.3,88.01,0.02833,0,1,basic
117,194,1320,1.6477651596069336,12.85,77.16,0.06982,0,1,basic
118,442,2821,3.0832438468933105,34.3,86.23,0.09026,0,1,basic
119,113,645,0.8484609127044678,14.71,94.88,0.07236,0,1,basic
120,248,1572,1.7490198612213135,31.71,106.2,0.1645,0,1,basic
121,443,2574,2.62066388130188,28.45,129.0,0.07772,0,1,basic
122,315,2004,2.275048017501831,44.67,208.1,0.1635,0,1,basic
123,418,2596,3.0330708026885986,35.57,122.3,0.0188,0,1,basic
124,406,2683,2.886979103088379,47.77,104.1,0.04124,0,1,basic
125,357,2424,2.5906198024749756,31.06,114.1,0.1411,0,1,basic
126,388,2436,2.645340919494629,67.24,264.2,0.1265,0,1,basic
127,254,1518,1.6670410633087158,18.67,64.52,0.09715,0,1,basic
128,61,432,0.7220268249511719,14.44,67.06,0.02808,0,1,basic
129,531,3091,2.963366985321045,26.24,160.5,0.04413,0,1,basic
130,315,2028,2.4118638038635254,44.14,201.9,0.02784,0,1,basic
131,210,1371,1.5933589935302734,18.38,125.9,0.1062,0,1,basic
132,322,1998,1.9982268810272217,14.13,135.4,0.06944,0,1,basic
133,214,1605,1.6475248336791992,43.4,52.69,0.08751,0,1,basic
134,166,1038,1.1402411460876465,13.75,43.21,0.07098,0,1,basic
135,32,183,0.35654497146606445,5.477,15.06,0.0324,0,1,basic
136,393,2539,2.9508349895477295,65.33,289.5,0.07684,0,1,basic
137,199,1377,1.588897943496704,36.98,97.65,0.0503,0,1,basic
138,389,2328,2.6353631019592285,34.05,108.6,0.1059,0,1,basic
139,346,2205,2.4342551231384277,14.13,10.71,0.09872,0,1,basic
140,153,987,1.1919581890106201,13.59,56.0,0.07238,0,1,basic
141,25,147,0.2901570796966553,11.84,37.8,0.03862,0,1,basic
142,187,1038,1.374842882156372,28.64,189.2,0.0941,0,1,basic
143,319,2025,2.4864659309387207,41.05,193.2,0.1056,0,1,basic
144,441,2349,2.5013320446014404,74.74,375.7,0.2873,0,1,basic
145,287,1809,1.9161279201507568,22.51,61.68,0.05536,0,1,basic
146,334,2064,2.2394461631774902,12.62,111.7,0.06918,0,1,basic
147,89,567,0.7810280323028564,15.27,56.38,0.06895,0,1,basic
148,85,528,0.6735591888427734,17.27,34.4,0.04922,0,1,basic
149,273,1773,1.8055500984191895,24.44,86.16,0.09364,0,1,basic
150,319,1845,2.0912089347839355,26.12,83.17,0.05674,0,1,basic
151,465,2670,2.7679359912872314,43.77,202.7,0.04294,0,1,basic
152,208,1419,1.6846411228179932,34.51,86.7,0.05946,0,1,basic
153,298,1782,2.2445809841156006,60.11,372.9,0.1307,0,1,basic
154,32,216,0.39018893241882324,7.176,21.57,0.02637,0,1,basic
155,153,792,0.9284842014312744,15.14,102.0,0.1145,0,1,basic
156,273,1641,1.9248230457305908,24.83,135.5,0.1497,0,1,basic
157,404,2232,2.8750298023223877,27.88,243.7,0.09185,0,1,basic
158,186,1155,1.5001871585845947,17.29,146.9,0.07174,0,1,basic
159,476,2854,2.9180920124053955,53.94,289.1,0.07424,0,1,basic
160,424,2559,2.6762311458587646,20.43,228.2,0.132,0,1,basic
161,381,2331,2.4853010177612305,50.36,160.1,0.1152,0,1,basic
162,238,1746,1.8581137657165527,63.68,87.53,0.05481,0,1,basic
163,99,609,0.8611500263214111,5.403,19.49,0.05333,0,1,basic
164,555,3316,3.378239393234253,52.57,151.5,0.2033,0,1,basic
165,176,1053,903.7542669773102,27.35,143.1,390.7,0,1,basic
166,296,1764,1.8658671379089355,27.29,50.66,0.09935,0,1,basic
167,152,900,1.1430702209472656,11.22,43.44,0.04312,0,1,basic
168,37,246,0.4161829948425293,11.97,22.35,0.01669,0,1,basic
169,90,555,0.8699121475219727,9.959,74.35,0.03275,0,1,basic
