depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
38,246,0.32749009132385254,8.631,24.09,0.04291,0,1,basic
31,180,0.34670400619506836,4.548,26.75,0.02239,0,1,basic
5,15,0.04053902626037598,2.278,8.584,0.004736,0,1,basic
8,21,0.04958057403564453,4.743,8.043,0.006072,0,1,basic
42,174,0.33034491539001465,6.538,28.49,0.04001,0,1,basic
35,267,0.4429929256439209,8.201,28.25,0.04649,0,1,basic
31,204,0.3576979637145996,9.028,5.196,0.02909,0,1,basic
8,18,0.04341006278991699,5.244,8.617,0.02135,0,1,basic
10,39,0.05059480667114258,3.24,8.318,0.002389,0,1,basic
11,39,0.057908058166503906,5.761,10.61,0.006304,0,1,basic
5,15,0.049652099609375,1.299,1.5,0.004203,0,1,basic
32,183,0.35881590843200684,5.477,15.06,0.03341,0,1,basic
12,30,0.04750990867614746,4.206,9.337,0.003405,0,1,basic
25,147,0.2944200038909912,11.84,37.8,0.02352,0,1,basic
32,216,0.39261317253112793,7.176,21.57,0.0248,0,1,basic
15,42,0.05247211456298828,1.803,12.62,0.007564,0,1,basic
7,18,0.03810405731201172,3.041,3.897,0.004248,0,1,basic
37,246,0.4332542419433594,11.97,22.35,0.03505,0,1,basic
36,237,0.4030637741088867,10.06,23.85,0.01715,0,1,basic
10,36,0.05561685562133789,5.974,15.07,0.001749,0,1,basic
81,567,0.9413268566131592,12.64,58.57,0.0551,0,1,basic
23,77,0.06747627258300781,3.674,6.833,0.004617,0,1,basic
17,53,0.0635521411895752,5.025,9.093,0.01318,0,1,basic
76,459,0.7174289226531982,12.4,76.18,0.04169,0,1,basic
113,645,0.9135019779205322,14.71,94.88,0.0693,0,1,basic
26,77,0.12513279914855957,8.047,8.842,0.02004,0,1,basic
24,83,0.08509707450866699,10.43,17.41,0.01037,0,1,basic
61,432,0.7307777404785156,14.44,67.06,0.02615,0,1,basic
14,35,0.0782771110534668,7.661,9.337,0.00712,0,1,basic
37,80,0.13376212120056152,7.697,18.9,0.01934,0,1,basic
89,567,0.7825679779052734,15.27,56.38,0.06194,0,1,basic
85,528,0.6594769954681396,17.27,34.4,0.1386,0,1,basic
28,74,0.07598614692687988,7.714,16.09,0.01144,0,1,basic
20,50,0.07531094551086426,6.364,19.44,0.003404,0,1,basic
21,65,0.08039093017578125,1.92,9.808,0.02485,0,1,basic
99,609,0.8873951435089111,5.403,19.49,0.06373,0,1,basic
90,555,0.9101998805999756,9.959,74.35,0.04757,0,1,basic
84,603,0.7577967643737793,19.92,69.24,0.0859,0,1,basic
92,567,0.8932738304138184,14.57,59.49,0.05426,0,1,basic
22,50,0.06363797187805176,7.5,14.47,0.006387,0,1,basic
132,774,1.0920798778533936,22.74,175.1,0.05672,0,1,basic
159,996,1.1782331466674805,29.99,85.18,0.05135,0,1,basic
35,104,0.10281515121459961,11.32,17.04,0.004265,0,1,basic
55,137,0.11582803726196289,0.8292,14.15,0.02522,0,1,basic
153,876,1.205894947052002,27.41,83.18,0.01764,0,1,basic
126,795,1.104038953781128,26.12,164.9,0.1134,0,1,basic
143,984,1.3888976573944092,9.23,56.0,0.1082,0,1,basic
51,155,0.12162995338439941,3.808,36.89,0.00472,0,1,basic
28,80,0.14125394821166992,13.22,34.3,0.02024,0,1,basic
44,143,0.10365080833435059,7.762,22.39,0.005163,0,1,basic
37,107,0.10678815841674805,10.32,33.57,0.01587,0,1,basic
166,1038,1.1498541831970215,13.75,43.21,0.07319,0,1,basic
42,131,0.1099550724029541,4.717,7.649,0.006452,0,1,basic
153,987,1.2521209716796875,13.59,56.0,0.07672,0,1,basic
153,792,0.9853918552398682,15.14,102.0,0.0825,0,1,basic
41,98,0.10356688499450684,4.493,34.6,0.01221,0,1,basic
38,98,0.09662818908691406,17.05,21.79,0.003406,0,1,basic
152,900,1.200347900390625,11.22,43.44,0.06559,0,1,basic
111,804,1.1194770336151123,26.42,103.0,0.04375,0,1,basic
31,104,0.09276509284973145,16.62,17.23,0.00686,0,1,basic
182,1242,1.4875247478485107,37.16,106.5,0.08882,0,1,basic
47,115,0.1296091079711914,18.95,13.81,0.009386,0,1,basic
63,184,0.14757990837097168,26.95,34.3,0.01028,0,1,basic
240,1350,1.460475206375122,36.76,98.42,0.1076,0,1,basic
