depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
37,180,0.48085784912109375,5.788,19.09,0.06207,0,1,basic
30,183,0.5052299499511719,9.552,26.58,0.05526,0,1,basic
10,30,0.05060100555419922,2.681,4.243,0.01754,0,1,basic
10,33,0.06237506866455078,1.299,3.354,0.008178,0,1,basic
30,195,0.5128359794616699,4.657,12.97,0.03161,0,1,basic
29,153,0.4813246726989746,8.031,36.31,0.05106,0,1,basic
32,159,0.4730219841003418,8.197,33.67,0.04052,0,1,basic
7,24,0.05398392677307129,3.841,6.833,0.0117,0,1,basic
10,21,0.044159889221191406,6.098,11.1,0.002748,0,1,basic
17,27,0.04226398468017578,5.545,15.15,0.008414,0,1,basic
5,15,0.039859771728515625,2.165,3.269,0.004705,0,1,basic
25,195,0.532555103302002,9.364,12.09,0.07741,0,1,basic
11,30,0.04949498176574707,2.291,4.918,0.005746,0,1,basic
31,150,0.42626380920410156,6.442,17.56,0.06885,0,1,basic
27,150,0.6103482246398926,6.339,45.05,0.09275,0,1,basic
17,63,0.06745696067810059,2.947,9.605,0.0081,0,1,basic
7,18,0.03907608985900879,2.693,3.897,0.005233,0,1,basic
37,264,0.5852999687194824,7.842,8.842,0.0462,0,1,basic
28,183,0.5666790008544922,11.98,47.12,0.02588,0,1,basic
10,33,0.0619359016418457,8.074,12.9,0.002226,0,1,basic
119,747,1.7501840591430664,22.17,72.03,0.1751,0,1,basic
30,86,0.08376097679138184,3.031,16.5,0.007642,0,1,basic
28,83,0.09960293769836426,19.52,29.62,0.01361,0,1,basic
121,600,1.158073902130127,18.27,25.93,0.07825,0,1,basic
121,741,1.2777609825134277,16.99,32.89,0.2259,0,1,basic
23,86,0.12296128273010254,22.09,31.06,0.007729,0,1,basic
27,80,0.11524081230163574,1.871,4.918,0.01707,0,1,basic
109,444,1.1702847480773926,9.549,80.34,0.05207,0,1,basic
15,35,0.10779023170471191,3.631,9.721,0.01045,0,1,basic
26,62,0.07938194274902344,3.345,30.18,0.008589,0,1,basic
90,585,1.058969259262085,17.34,64.98,0.1592,0,1,basic
89,564,1.0949459075927734,16.63,14.75,0.04522,0,1,basic
34,83,0.11884903907775879,1.479,4.437,0.01199,0,1,basic
22,62,0.07695293426513672,4.123,14.75,0.01423,0,1,basic
20,65,0.08825993537902832,7.327,6.495,0.01203,0,1,basic
103,636,1.3723702430725098,27.59,65.81,0.1378,0,1,basic
106,678,1.3147380352020264,26.95,44.26,0.1165,0,1,basic
87,579,1.4142580032348633,12.81,94.43,0.09444,0,1,basic
95,687,1.343925952911377,20.1,50.75,0.06065,0,1,basic
16,59,0.0832068920135498,6.418,12.44,0.009733,0,1,basic
112,822,1.7117619514465332,43.33,67.66,0.1156,0,1,basic
176,879,1.989375114440918,18.02,118.6,0.2373,0,1,basic
42,125,0.11992335319519043,15.11,30.48,0.004369,0,1,basic
63,173,0.1197969913482666,12.17,22.49,0.01225,0,1,basic
158,1119,2.1592190265655518,18.4,63.62,0.08331,0,1,basic
119,942,2.4555749893188477,32.4,57.02,0.1671,0,1,basic
203,879,1.9915578365325928,31.55,160.1,0.2302,0,1,basic
54,125,0.12633228302001953,10.06,21.74,0.006573,0,1,basic
32,62,0.10873794555664062,7.246,20.5,0.004104,0,1,basic
36,131,0.13306498527526855,12.75,21.53,0.007929,0,1,basic
46,140,0.1622772216796875,18.67,34.3,0.02345,0,1,basic
133,855,1.9653887748718262,51.45,173.1,0.1379,0,1,basic
36,119,0.1363227367401123,6.685,13.16,0.01043,0,1,basic
177,924,1.743190050125122,53.1,123.3,0.3201,0,1,basic
155,1035,1.9996531009674072,54.69,38.91,0.1439,0,1,basic
54,134,0.11600518226623535,8.216,19.73,0.01589,0,1,basic
48,143,0.12417197227478027,11.34,17.92,0.01292,0,1,basic
153,972,2.2409098148345947,25.2,131.7,0.2304,0,1,basic
192,951,1.7644662857055664,17.2,27.36,0.062,0,1,basic
45,104,0.11272597312927246,4.153,17.41,0.01363,0,1,basic
283,1329,2.4379031658172607,7.921,86.29,0.2384,0,1,basic
60,148,0.16171479225158691,7.211,21.98,0.009046,0,1,basic
65,181,0.15178799629211426,21.37,36.03,0.008948,0,1,basic
281,1521,3.062269926071167,33.02,124.1,0.3618,0,1,basic
268,1494,3.3359532356262207,42.7,124.6,0.2762,0,1,basic
49,172,0.16032981872558594,18.36,28.49,0.0218,0,1,basic
59,121,0.14371705055236816,5.196,19.27,0.01042,0,1,basic
218,1167,2.8713951110839844,42.8,150.2,0.1205,0,1,basic
45,139,0.16232895851135254,3.345,14.31,0.01662,0,1,basic
270,1437,2.40573787689209,35.32,83.61,0.2422,0,1,basic
200,1107,2.6383860111236572,69.89,196.3,0.05764,0,1,basic
217,1113,2.7091290950775146,39.84,128.6,0.2582,0,1,basic
191,1173,2.587354898452759,40.92,97.75,0.0591,0,1,basic
49,115,0.13954401016235352,21.08,30.99,0.01535,0,1,basic
48,184,0.15242600440979004,11.64,21.57,0.02061,0,1,basic
65,211,0.15988588333129883,10.62,10.92,0.008364,0,1,basic
200,990,2.6511952877044678,18.55,111.1,0.1497,0,1,basic
233,1344,3.285374164581299,42.95,188.8,0.2729,0,1,basic
56,169,0.1697840690612793,4.548,27.58,0.01978,0,1,basic
51,142,0.1391429901123047,17.95,53.1,0.02622,0,1,basic
303,1770,3.4758999347686768,69.9,132.7,0.1973,0,1,basic
86,237,0.18583226203918457,5.449,10.47,0.009934,0,1,basic
63,204,0.20225119590759277,16.17,19.83,0.01742,0,1,basic
76,216,0.17054200172424316,12.76,12.19,0.01215,0,1,basic
78,204,0.1752481460571289,19.54,21.78,0.03044,0,1,basic
288,1659,3.5538549423217773,40.34,68.77,0.1567,0,1,basic
403,2118,3.688800811767578,72.7,124.9,0.2918,0,1,basic
293,1626,3.4308340549468994,47.52,38.71,0.2671,0,1,basic
56,186,0.1954188346862793,17.06,32.27,0.004644,0,1,basic
