depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
44,258,0.5753600597381592,4.717,21.04,0.07147,0,1,basic
34,198,0.44635581970214844,7.483,13.91,0.04579,0,1,basic
7,24,0.05191183090209961,9.247,14.13,0.003909,0,1,basic
8,27,0.060791015625,1.225,4.5,0.005292,0,1,basic
31,192,0.48486804962158203,14.71,31.28,0.06611,0,1,basic
36,276,0.5571620464324951,17.58,18.29,0.02944,0,1,basic
33,246,0.5169360637664795,7.794,12.19,0.03695,0,1,basic
9,24,0.08117985725402832,5.54,5.761,0.01483,0,1,basic
10,36,0.05251502990722656,4.848,10.69,0.007303,0,1,basic
16,45,0.05842924118041992,1.5,3.897,0.005405,0,1,basic
5,15,0.05081605911254883,3.674,4.918,0.003311,0,1,basic
23,165,0.69150710105896,12.69,33.3,0.07443,0,1,basic
11,33,0.04888606071472168,2.739,6.874,0.005256,0,1,basic
20,156,0.4358789920806885,14.27,36.83,0.04227,0,1,basic
28,177,0.5655539035797119,15.73,31.49,0.04858,0,1,basic
12,33,0.0583949089050293,6.124,13.31,0.006537,0,1,basic
8,18,0.04395914077758789,5.766,5.356,0.003167,0,1,basic
38,183,0.5335729122161865,15.64,49.18,0.05092,0,1,basic
46,234,0.5625889301300049,2.693,26.53,0.03812,0,1,basic
12,18,0.05164003372192383,1.479,12.9,0.005251,0,1,basic
100,576,1.427412986755371,19.95,85.79,0.09989,0,1,basic
29,71,0.08136701583862305,1.92,12.09,0.003809,0,1,basic
25,65,0.09349703788757324,3.031,12.28,0.0176,0,1,basic
69,414,1.1074597835540771,24.46,95.88,0.1175,0,1,basic
116,645,1.425266981124878,12.25,80.31,0.185,0,1,basic
27,80,0.09573578834533691,5.523,9.0,0.008992,0,1,basic
32,98,0.12025284767150879,5.262,9.337,0.01846,0,1,basic
80,483,1.2650678157806396,24.25,62.11,0.0567,0,1,basic
16,47,0.07537984848022461,1.09,7.649,0.01143,0,1,basic
29,89,0.10427188873291016,14.65,25.13,0.004893,0,1,basic
93,540,1.3677270412445068,19.29,43.85,0.1041,0,1,basic
97,618,1.139876127243042,17.46,37.86,0.07743,0,1,basic
21,56,0.08996772766113281,7.228,20.07,0.01479,0,1,basic
18,77,0.11752510070800781,5.723,9.605,0.0172,0,1,basic
20,74,0.09701395034790039,4.123,8.043,0.01074,0,1,basic
111,657,1.2741620540618896,3.961,41.37,0.07792,0,1,basic
113,657,1.4916369915008545,25.91,28.57,0.09366,0,1,basic
68,480,1.2485733032226562,20.24,74.52,0.1133,0,1,basic
92,594,1.4506628513336182,18.61,99.98,0.124,0,1,basic
29,56,0.11559915542602539,8.899,17.92,0.008544,0,1,basic
149,771,1.8253569602966309,17.65,86.67,0.1512,0,1,basic
154,1062,2.4866011142730713,32.34,58.19,0.09586,0,1,basic
43,104,0.13535594940185547,7.049,9.808,0.01561,0,1,basic
61,158,0.1454298496246338,2.947,15.44,0.004986,0,1,basic
151,933,2.636526107788086,17.02,57.61,0.2568,0,1,basic
147,963,2.2575790882110596,20.29,32.35,0.1869,0,1,basic
168,1071,2.7240707874298096,18.57,61.08,0.1935,0,1,basic
39,137,0.17052698135375977,13.65,20.28,0.01883,0,1,basic
28,71,0.11469864845275879,10.92,16.02,0.01083,0,1,basic
48,149,0.16008996963500977,9.038,9.247,0.01133,0,1,basic
39,140,0.14710712432861328,8.573,13.48,0.02438,0,1,basic
163,1104,2.5763132572174072,26.86,54.42,0.1295,0,1,basic
28,98,0.1220099925994873,19.2,22.79,0.01477,0,1,basic
163,1038,2.2850780487060547,21.53,33.77,0.1908,0,1,basic
134,756,1.8811900615692139,52.47,176.3,0.2058,0,1,basic
42,116,0.19156312942504883,6.403,23.47,0.02097,0,1,basic
55,170,0.13736796379089355,10.45,14.75,0.01186,0,1,basic
139,831,2.1118099689483643,24.39,113.8,0.4022,0,1,basic
145,861,2.3613362312316895,11.64,68.78,0.1528,0,1,basic
41,134,0.10922503471374512,11.48,18.12,0.01554,0,1,basic
