depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
25,165,0.32915592193603516,11.19,27.7,0.04075,0,1,lookahead
24,135,0.2991659641265869,6.26,24.95,0.05633,0,1,lookahead
7,18,0.04516792297363281,8.573,11.1,0.002994,0,1,lookahead
8,24,0.04274797439575195,4.031,7.036,0.005956,0,1,lookahead
32,129,0.3576958179473877,8.155,20.93,0.01743,0,1,lookahead
37,180,0.369426965713501,3.354,15.0,0.01806,0,1,lookahead
22,150,0.30940723419189453,11.1,28.22,0.02997,0,1,lookahead
5,15,0.04497885704040527,3.64,7.155,0.003987,0,1,lookahead
11,30,0.04501509666442871,1.92,8.842,0.002281,0,1,lookahead
17,33,0.04288506507873535,7.361,5.761,0.01515,0,1,lookahead
5,15,0.03963780403137207,0.866,1.299,0.003236,0,1,lookahead
27,180,0.3708789348602295,1.09,10.69,0.03897,0,1,lookahead
7,21,0.042691946029663086,6.042,14.75,0.004169,0,1,lookahead
18,108,0.2904319763183594,11.19,33.31,0.03152,0,1,lookahead
28,147,0.35672497749328613,8.7,30.7,0.01486,0,1,lookahead
15,39,0.0696718692779541,11.68,16.62,0.007983,0,1,lookahead
5,15,0.038393259048461914,4.603,5.612,0.001572,0,1,lookahead
27,165,0.37244510650634766,14.31,37.32,0.02014,0,1,lookahead
34,207,0.35546326637268066,11.09,15.35,0.03415,0,1,lookahead
13,57,0.057157278060913086,5.356,10.26,0.002619,0,1,lookahead
76,480,0.8324260711669922,18.24,45.32,0.01785,0,1,lookahead
24,68,0.06125688552856445,4.583,15.35,0.01988,0,1,lookahead
22,62,0.07034111022949219,4.085,10.92,0.006977,0,1,lookahead
64,363,0.5829768180847168,11.3,45.17,0.0551,0,1,lookahead
91,516,0.7384390830993652,16.23,26.61,0.04394,0,1,lookahead
21,68,0.07956790924072266,8.074,9.0,0.001994,0,1,lookahead
30,95,0.08422183990478516,2.915,10.69,0.00766,0,1,lookahead
72,402,0.5993180274963379,13.5,23.94,0.04538,0,1,lookahead
10,38,0.07392311096191406,4.387,4.243,0.003742,0,1,lookahead
35,113,0.09602785110473633,5.59,9.808,0.006929,0,1,lookahead
57,393,0.6293721199035645,22.96,65.31,0.07585,0,1,lookahead
85,444,0.608227014541626,15.55,21.88,0.05545,0,1,lookahead
30,77,0.08576703071594238,8.288,7.462,0.002921,0,1,lookahead
15,47,0.09700489044189453,5.612,8.746,0.01537,0,1,lookahead
20,56,0.06975507736206055,6.495,23.67,0.006706,0,1,lookahead
77,372,0.5961449146270752,9.657,63.41,0.05182,0,1,lookahead
85,441,0.7564499378204346,28.21,48.02,0.06268,0,1,lookahead
68,396,0.7132329940795898,17.28,60.09,0.04307,0,1,lookahead
56,393,0.794503927230835,17.93,57.33,0.05451,0,1,lookahead
19,59,0.06755495071411133,4.969,9.337,0.02436,0,1,lookahead
113,666,0.93296217918396,18.2,67.4,0.05729,0,1,lookahead
118,636,0.9145028591156006,34.06,87.18,0.1508,0,1,lookahead
37,104,0.12337279319763184,17.2,33.36,0.01514,0,1,lookahead
37,116,0.099456787109375,10.78,10.47,0.01925,0,1,lookahead
146,687,1.0522868633270264,21.94,50.75,0.07553,0,1,lookahead
141,825,1.1580190658569336,5.629,58.19,0.07199,0,1,lookahead
101,666,1.0220558643341064,53.24,93.13,0.09907,0,1,lookahead
46,116,0.15186595916748047,13.66,30.96,0.01601,0,1,lookahead
31,92,0.08283209800720215,11.97,17.87,0.00583,0,1,lookahead
42,116,0.10727119445800781,4.5,30.47,0.01003,0,1,lookahead
31,86,0.1058650016784668,8.814,24.23,0.01702,0,1,lookahead
136,807,1.0675220489501953,24.55,41.52,0.05162,0,1,lookahead
26,95,0.09786605834960938,14.02,28.01,0.01589,0,1,lookahead
152,852,1.1331467628479004,34.66,128.7,0.07344,0,1,lookahead
128,648,0.97062087059021,8.408,28.18,0.01781,0,1,lookahead
46,101,0.12569713592529297,9.417,21.98,0.009517,0,1,lookahead
34,107,0.09664297103881836,9.756,19.83,0.004265,0,1,lookahead
153,750,1.0166547298431396,14.36,61.86,0.092,0,1,lookahead
130,642,0.9016098976135254,10.92,87.44,0.0505,0,1,lookahead
40,110,0.09173369407653809,16.39,28.09,0.01056,0,1,lookahead
203,1083,1.2948253154754639,9.093,77.17,0.08451,0,1,lookahead
48,130,0.10968279838562012,9.0,28.33,0.008576,0,1,lookahead
56,199,0.13071393966674805,10.43,16.43,0.01413,0,1,lookahead
183,936,1.3501927852630615,45.62,86.93,0.03232,0,1,lookahead
178,1032,1.5308191776275635,46.99,99.35,0.0234,0,1,lookahead
50,160,0.12690377235412598,12.44,19.25,0.01095,0,1,lookahead
53,121,0.14443707466125488,2.861,1.5,0.01834,0,1,lookahead
178,741,1.1161160469055176,32.26,188.1,0.1591,0,1,lookahead
33,115,0.1106879711151123,6.796,6.708,0.00798,0,1,lookahead
196,1008,1.2661519050598145,28.85,61.53,0.03069,0,1,lookahead
168,834,1.3186790943145752,39.81,145.1,0.1262,0,1,lookahead
188,978,1.334932804107666,32.71,85.18,0.04475,0,1,lookahead
182,897,1.1036019325256348,16.48,109.5,0.1158,0,1,lookahead
53,115,0.08696484565734863,8.318,12.44,0.02147,0,1,lookahead
46,109,0.09920167922973633,5.449,18.9,0.009609,0,1,lookahead
43,133,0.1139838695526123,15.84,23.67,0.01608,0,1,lookahead
198,1191,1.334510087966919,16.04,106.0,0.08498,0,1,lookahead
192,909,1.2863738536834717,23.55,95.39,0.04015,0,1,lookahead
52,178,0.13138198852539062,6.61,18.54,0.01061,0,1,lookahead
49,100,0.10566282272338867,7.395,21.11,0.01543,0,1,lookahead
275,1293,1.4988319873809814,23.06,57.49,0.067,0,1,lookahead
70,186,0.1456449031829834,3.345,8.584,0.01136,0,1,lookahead
53,195,0.15662097930908203,14.25,9.093,0.0108,0,1,lookahead
66,165,0.1146090030670166,10.82,21.69,0.008976,0,1,lookahead
65,204,0.1389780044555664,22.6,26.86,0.01089,0,1,lookahead
228,1224,1.624413251876831,33.35,65.6,0.06004,0,1,lookahead
258,1293,1.7054860591888428,27.7,116.7,0.1401,0,1,lookahead
221,1152,1.341252088546753,33.72,29.89,0.07245,0,1,lookahead
49,165,0.15060186386108398,34.91,37.01,0.01318,0,1,lookahead
53,147,0.12972807884216309,14.74,21.78,0.006741,0,1,lookahead
231,1257,1.4894778728485107,22.3,75.51,0.08245,0,1,lookahead
216,1182,1.5046651363372803,57.72,108.3,0.05277,0,1,lookahead
49,156,0.13106894493103027,4.867,23.18,0.02055,0,1,lookahead
250,1398,1.563441276550293,45.51,47.88,0.1269,0,1,lookahead
208,1197,1.5565059185028076,40.59,148.2,0.0675,0,1,lookahead
50,159,0.1388721466064453,5.356,11.22,0.009304,0,1,lookahead
59,165,0.1589348316192627,18.15,29.81,0.007293,0,1,lookahead
225,1176,1.5239760875701904,33.57,104.4,0.08563,0,1,lookahead
289,1218,1.4012811183929443,28.49,133.8,0.09721,0,1,lookahead
50,156,0.1500239372253418,15.72,34.95,0.007613,0,1,lookahead
312,1410,1.3339107036590576,58.35,130.7,0.1802,0,1,lookahead
82,228,0.15906405448913574,23.12,24.5,0.02136,0,1,lookahead
76,189,0.1416490077972412,11.24,30.19,0.02448,0,1,lookahead
304,1539,1.6872801780700684,40.72,80.79,0.09217,0,1,lookahead
320,1608,1.7702672481536865,38.44,25.66,0.1789,0,1,lookahead
70,219,0.15506982803344727,2.278,13.65,0.01129,0,1,lookahead
62,150,0.1645512580871582,13.99,38.5,0.01634,0,1,lookahead
278,1302,1.5622599124908447,64.35,194.6,0.1168,0,1,lookahead
86,180,0.14345073699951172,14.52,50.66,0.01498,0,1,lookahead
317,1776,2.035382032394409,33.75,46.93,0.1445,0,1,lookahead
266,1608,1.85465407371521,52.56,109.1,0.09066,0,1,lookahead
284,1311,1.5524890422821045,56.58,147.4,0.1355,0,1,lookahead
280,1482,1.8520448207855225,46.16,96.06,0.1039,0,1,lookahead
79,246,0.19319820404052734,33.73,82.58,0.0418,0,1,lookahead
79,174,0.1392812728881836,7.55,9.124,0.004269,0,1,lookahead
