,depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
0,24,68,0.06223273277282715,4.583,15.35,0.01173,0,1,lookahead
1,121,287,0.1711409091949463,9.01,11.3,0.01149,0,1,lookahead
2,70,186,0.17969393730163574,3.345,8.584,0.02436,0,1,lookahead
3,142,328,0.24404311180114746,16.99,12.79,0.02108,0,1,lookahead
4,77,239,0.2295231819152832,36.68,45.61,0.02054,0,1,lookahead
5,7,18,0.04575204849243164,8.573,11.1,0.002722,0,1,lookahead
6,37,104,0.12587690353393555,17.2,33.36,0.03132,0,1,lookahead
7,82,228,0.16195178031921387,23.12,24.5,0.007223,0,1,lookahead
8,53,195,0.19126176834106445,14.25,9.093,0.02532,0,1,lookahead
9,120,268,0.1943659782409668,8.646,24.23,0.01928,0,1,lookahead
10,90,227,0.18726396560668945,17.77,21.78,0.01702,0,1,lookahead
11,48,130,0.11424088478088379,9.0,28.33,0.007213,0,1,lookahead
12,102,260,0.19512128829956055,6.964,7.758,0.007613,0,1,lookahead
13,56,199,0.1315321922302246,10.43,16.43,0.01225,0,1,lookahead
14,118,265,0.2407679557800293,28.66,22.79,0.01689,0,1,lookahead
15,76,189,0.14095306396484375,11.24,30.19,0.01434,0,1,lookahead
16,66,165,0.11454510688781738,10.82,21.69,0.008237,0,1,lookahead
17,37,116,0.09661507606506348,10.78,10.47,0.02163,0,1,lookahead
18,8,24,0.04332995414733887,4.031,7.036,0.005498,0,1,lookahead
19,82,230,0.17754220962524414,10.62,9.247,0.03091,0,1,lookahead
20,105,307,0.19342422485351562,19.5,28.25,0.01845,0,1,lookahead
21,65,204,0.1399238109588623,22.6,26.86,0.01007,0,1,lookahead
22,72,236,0.1792769432067871,28.16,24.77,0.01772,0,1,lookahead
23,22,62,0.0721888542175293,4.085,10.92,0.0196,0,1,lookahead
24,5,15,0.04505300521850586,3.64,7.155,0.003887,0,1,lookahead
25,46,116,0.11960101127624512,13.66,30.96,0.005787,0,1,lookahead
26,70,219,0.1869029998779297,2.278,13.65,0.02008,0,1,lookahead
27,109,295,0.19197916984558105,20.45,11.72,0.02262,0,1,lookahead
28,50,160,0.12435197830200195,12.44,19.25,0.008398,0,1,lookahead
29,21,68,0.07924199104309082,8.074,9.0,0.001762,0,1,lookahead
30,11,30,0.04674124717712402,1.92,8.842,0.002411,0,1,lookahead
31,31,92,0.08345818519592285,11.97,17.87,0.006266,0,1,lookahead
32,124,317,0.20116305351257324,20.92,21.46,0.01754,0,1,lookahead
33,49,165,0.14954400062561035,34.91,37.01,0.006829,0,1,lookahead
34,79,224,0.18058300018310547,17.93,39.57,0.01841,0,1,lookahead
35,89,194,0.1448650360107422,19.92,37.01,0.01499,0,1,lookahead
36,53,147,0.13133788108825684,14.74,21.78,0.007692,0,1,lookahead
37,92,254,0.19875383377075195,21.34,61.09,0.03528,0,1,lookahead
38,42,116,0.10703587532043457,4.5,30.47,0.02146,0,1,lookahead
39,30,95,0.08550691604614258,2.915,10.69,0.008141,0,1,lookahead
40,17,33,0.04303598403930664,7.361,5.761,0.01788,0,1,lookahead
41,53,121,0.10668802261352539,2.861,1.5,0.006775,0,1,lookahead
42,109,265,0.23188185691833496,16.72,12.37,0.01295,0,1,lookahead
43,62,150,0.12634801864624023,13.99,38.5,0.02514,0,1,lookahead
44,31,86,0.10366010665893555,8.814,24.23,0.01717,0,1,lookahead
45,5,15,0.039891958236694336,0.866,1.299,0.003658,0,1,lookahead
46,33,115,0.14098310470581055,6.796,6.708,0.01598,0,1,lookahead
47,101,289,0.18229198455810547,18.63,23.04,0.008543,0,1,lookahead
48,86,180,0.14139413833618164,14.52,50.66,0.02485,0,1,lookahead
49,26,95,0.09762310981750488,14.02,28.01,0.01055,0,1,lookahead
50,7,21,0.042654991149902344,6.042,14.75,0.01314,0,1,lookahead
51,10,38,0.07297897338867188,4.387,4.243,0.004358,0,1,lookahead
52,86,197,0.17232036590576172,12.03,12.97,0.01579,0,1,lookahead
53,49,156,0.12728309631347656,4.867,23.18,0.01043,0,1,lookahead
54,103,254,0.17193388938903809,9.394,12.09,0.0145,0,1,lookahead
55,35,113,0.12642502784729004,5.59,9.808,0.01914,0,1,lookahead
56,30,77,0.08514904975891113,8.288,7.462,0.003315,0,1,lookahead
57,104,245,0.1612410545349121,8.408,23.85,0.01754,0,1,lookahead
58,50,159,0.1400609016418457,5.356,11.22,0.009801,0,1,lookahead
59,94,323,0.23069500923156738,9.311,25.46,0.02555,0,1,lookahead
60,15,39,0.05130910873413086,11.68,16.62,0.005187,0,1,lookahead
61,15,47,0.06482887268066406,5.612,8.746,0.006721,0,1,lookahead
62,46,101,0.12334227561950684,9.417,21.98,0.01006,0,1,lookahead
63,79,246,0.19349908828735352,33.73,82.58,0.01271,0,1,lookahead
64,84,223,0.17151689529418945,31.65,52.67,0.01849,0,1,lookahead
65,53,115,0.08443689346313477,8.318,12.44,0.0107,0,1,lookahead
66,46,109,0.0970301628112793,5.449,18.9,0.01983,0,1,lookahead
67,89,233,0.19762301445007324,8.105,12.97,0.01162,0,1,lookahead
68,59,165,0.15910005569458008,18.15,29.81,0.00819,0,1,lookahead
69,79,174,0.17069697380065918,7.55,9.124,0.01287,0,1,lookahead
70,114,233,0.20578789710998535,13.14,28.3,0.01477,0,1,lookahead
71,20,56,0.06932783126831055,6.495,23.67,0.006707,0,1,lookahead
72,43,133,0.1152961254119873,15.84,23.67,0.02191,0,1,lookahead
73,115,325,0.22502899169921875,15.16,2.121,0.01258,0,1,lookahead
74,85,258,0.17328929901123047,16.87,17.36,0.01158,0,1,lookahead
75,115,323,0.20279502868652344,19.32,35.69,0.02826,0,1,lookahead
