depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
2903,6800,4.11476993560791,270.0,332.5,0.1223,0,1,basic
683,1747,1.2979199886322021,116.6,314.0,0.04876,0,1,basic
1726,4144,2.9311842918395996,275.0,93.02,0.02262,0,1,basic
2583,6313,4.425976991653442,537.3,688.6,0.06523,0,1,basic
367,839,0.5412890911102295,24.67,38.71,0.07062,0,1,basic
2067,5229,3.4758598804473877,364.6,360.4,0.03102,0,1,basic
1298,3251,2.4586422443389893,121.5,146.7,0.04956,0,1,basic
960,2379,1.724998950958252,220.4,216.1,0.04722,0,1,basic
2768,7068,5.18039083480835,738.1,415.2,0.06449,0,1,basic
2393,5954,3.9189341068267822,107.8,245.8,0.1578,0,1,basic
3050,6997,4.714375972747803,207.9,300.4,0.1598,0,1,basic
2949,6955,4.603622198104858,385.1,481.2,0.1976,0,1,basic
2523,6056,4.189974069595337,404.7,579.3,0.1923,0,1,basic
2905,7497,5.188798904418945,262.6,237.1,0.1122,0,1,basic
1464,3359,2.2616000175476074,230.7,478.2,0.1048,0,1,basic
998,2562,1.9103190898895264,48.87,80.51,0.07313,0,1,basic
280,731,0.6831398010253906,75.94,63.65,0.07222,0,1,basic
2031,4962,3.455160140991211,207.0,305.1,0.08318,0,1,basic
2631,6442,4.5823469161987305,245.9,510.2,0.0702,0,1,basic
579,1522,1.1774401664733887,120.8,259.0,0.06537,0,1,basic
1828,4405,2.975224256515503,311.0,344.7,0.1319,0,1,basic
2485,5792,4.053922176361084,254.7,745.9,0.08774,0,1,basic
3122,7485,5.134226083755493,385.8,855.7,0.07964,0,1,basic
331,830,0.5688328742980957,55.01,107.8,0.1041,0,1,basic
2344,5352,3.7336320877075195,338.6,519.7,0.03645,0,1,basic
2514,6220,4.507040023803711,321.4,398.0,0.1053,0,1,basic
2310,5738,4.191903114318848,407.6,503.9,0.1447,0,1,basic
3806,8484,5.554585218429565,316.6,484.5,0.2207,0,1,basic
727,1798,1.3531577587127686,109.1,159.2,0.1023,0,1,basic
2029,4657,2.982012987136841,259.7,288.6,0.1351,0,1,basic
391,851,0.7006111145019531,50.93,186.4,0.0924,0,1,basic
2151,5196,3.6018288135528564,460.7,924.5,0.1263,0,1,basic
1173,3116,2.5602786540985107,224.8,216.8,0.08035,0,1,basic
934,2379,1.9272129535675049,199.5,265.1,0.07964,0,1,basic
1453,3602,2.4456920623779297,258.5,404.6,0.0767,0,1,basic
942,2364,1.902777910232544,178.8,344.7,0.09496,0,1,basic
354,914,0.5955197811126709,42.77,43.8,0.08758,0,1,basic
