depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
822,2326,1.0104432106018066,46.11,116.2,0.03443,0,1,basic
402,938,0.5282461643218994,56.54,51.72,0.01493,0,1,basic
713,2023,1.1094367504119873,71.25,130.3,0.03126,0,1,basic
663,1987,1.2723581790924072,73.0,161.5,0.04498,0,1,basic
389,881,0.6437790393829346,55.6,128.7,0.07659,0,1,basic
828,2275,1.157599925994873,41.85,62.79,0.03381,0,1,basic
841,2395,1.2338988780975342,39.01,93.11,0.0166,0,1,basic
348,857,0.6779890060424805,105.0,151.3,0.09119,0,1,basic
369,857,0.5381941795349121,73.78,126.7,0.06425,0,1,basic
301,857,0.6130287647247314,77.87,87.73,0.03284,0,1,basic
336,824,0.5966908931732178,89.4,136.6,0.05048,0,1,basic
588,1762,1.1355981826782227,67.8,182.3,0.04272,0,1,basic
749,2095,1.4015851020812988,35.28,56.62,0.07756,0,1,basic
328,806,0.5706071853637695,72.68,105.0,0.03711,0,1,basic
382,998,0.6437349319458008,44.46,82.2,0.05462,0,1,basic
764,2224,1.3073410987854004,26.61,126.3,0.07726,0,1,basic
394,977,0.5805439949035645,88.34,131.2,0.03145,0,1,basic
703,2137,1.1896910667419434,44.77,173.0,0.1539,0,1,basic
753,2149,1.387610912322998,50.04,63.59,0.09051,0,1,basic
333,818,0.5083379745483398,53.48,93.64,0.06875,0,1,basic
815,1825,1.3760757446289062,110.8,178.6,0.07703,0,1,basic
1665,4409,2.3295211791992188,32.1,102.5,0.06818,0,1,basic
1501,4181,2.239274024963379,79.7,80.26,0.1577,0,1,basic
609,1567,1.1227138042449951,115.1,89.3,0.04575,0,1,basic
1343,4073,2.357496976852417,169.4,268.4,0.09216,0,1,basic
772,1909,1.2315301895141602,85.46,158.9,0.02099,0,1,basic
603,1495,1.3106732368469238,184.5,237.7,0.06138,0,1,basic
1499,4031,2.3613271713256836,82.21,236.3,0.02521,0,1,basic
1391,4055,2.4811818599700928,186.1,343.5,0.08229,0,1,basic
1618,4190,2.3805692195892334,72.85,212.8,0.03177,0,1,basic
686,1678,1.1466588973999023,78.68,96.62,0.02752,0,1,basic
583,1555,1.0979037284851074,172.3,363.9,0.03934,0,1,basic
1675,4646,2.6293869018554688,73.39,128.7,0.06014,0,1,basic
1407,4022,2.405622959136963,146.1,361.1,0.02736,0,1,basic
747,1780,1.148442029953003,95.47,120.7,0.03287,0,1,basic
1643,4442,2.45739483833313,59.49,235.9,0.06866,0,1,basic
790,1768,1.2452669143676758,134.9,126.3,0.05509,0,1,basic
792,1813,1.162571907043457,70.0,104.1,0.05562,0,1,basic
1609,4460,2.401322841644287,53.18,103.8,0.1251,0,1,basic
579,1501,1.1312229633331299,177.3,258.7,0.05433,0,1,basic
992,2394,1.6616311073303223,252.6,238.3,0.05329,0,1,basic
2402,6426,3.4795420169830322,60.44,257.0,0.09625,0,1,basic
2436,6627,3.6169850826263428,68.8,202.5,0.04141,0,1,basic
1180,2655,1.7167160511016846,199.7,367.6,0.07364,0,1,basic
2453,6552,3.6678671836853027,60.49,180.3,0.0545,0,1,basic
1031,2604,1.738248348236084,131.8,121.9,0.01386,0,1,basic
1066,2514,1.556920051574707,267.5,305.7,0.06888,0,1,basic
2315,6735,3.51741099357605,117.0,36.4,0.04268,0,1,basic
940,2322,1.7679057121276855,201.8,240.3,0.02185,0,1,basic
2335,6585,3.790764093399048,97.89,152.2,0.04571,0,1,basic
1046,2364,1.7713348865509033,164.4,171.3,0.1118,0,1,basic
896,2349,2.032177209854126,211.8,323.3,0.09875,0,1,basic
2458,7065,3.9159529209136963,137.8,166.0,0.06575,0,1,basic
1057,2628,1.7886230945587158,93.68,242.6,0.05545,0,1,basic
1151,2709,1.6915481090545654,121.4,241.0,0.0612,0,1,basic
2398,6765,3.660167932510376,80.45,159.9,0.06734,0,1,basic
2202,6210,3.6254489421844482,262.0,423.7,0.099,0,1,basic
2448,6702,3.79360294342041,73.83,282.3,0.01688,0,1,basic
2331,6570,3.8509938716888428,120.9,289.8,0.06508,0,1,basic
1142,2766,1.8711531162261963,115.1,126.7,0.1008,0,1,basic
1569,3611,2.2738301753997803,196.6,315.0,0.09816,0,1,basic
3169,9037,4.9827656745910645,173.7,270.4,0.2611,0,1,basic
3216,8608,4.40451192855835,212.9,561.7,0.07196,0,1,basic
1409,3371,2.187782049179077,284.6,438.7,0.09866,0,1,basic
3122,8701,4.609843015670776,165.5,300.0,0.2368,0,1,basic
1321,3377,1.8823001384735107,394.5,429.5,0.06797,0,1,basic
1318,3263,1.8910248279571533,235.3,381.5,0.07478,0,1,basic
3274,8764,4.039018869400024,41.65,196.9,0.07191,0,1,basic
1483,3476,2.0056328773498535,258.7,176.8,0.06866,0,1,basic
3376,8974,4.102882623672485,39.38,177.1,0.06401,0,1,basic
1560,3743,1.9412438869476318,250.3,323.1,0.05617,0,1,basic
1181,2900,1.867276906967163,346.2,572.7,0.06405,0,1,basic
3370,9304,4.175428152084351,95.33,302.8,0.09002,0,1,basic
1554,3440,1.7723121643066406,92.24,227.0,0.05256,0,1,basic
1354,3341,1.8028209209442139,89.88,136.4,0.09852,0,1,basic
2907,8152,3.9318442344665527,174.6,307.1,1.229,0,1,basic
3375,8878,3.969277858734131,72.72,277.1,0.0845,0,1,basic
3251,9025,4.0832839012146,49.04,180.6,0.08071,0,1,basic
3283,9124,4.0068440437316895,68.04,307.4,0.02212,0,1,basic
