depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
845,2305,1.952772855758667,90.86,142.1,0.06708,0,1,basic
417,968,0.7071919441223145,92.35,71.1,0.04854,0,1,basic
957,2452,2.0827507972717285,84.73,75.31,0.1129,0,1,basic
851,2053,2.1599550247192383,93.19,151.6,0.1325,0,1,basic
315,743,0.7819540500640869,96.43,167.9,0.05811,0,1,basic
923,2425,1.9955461025238037,98.31,86.66,0.04984,0,1,basic
924,2323,2.2460920810699463,69.95,141.9,0.05041,0,1,basic
489,1061,0.8238818645477295,56.26,54.35,0.03416,0,1,basic
345,875,0.8393702507019043,69.33,37.37,0.07807,0,1,basic
354,857,0.5818419456481934,123.8,123.5,0.06872,0,1,basic
415,875,0.6644139289855957,89.71,222.6,0.09345,0,1,basic
816,2086,1.8193309307098389,103.6,211.5,0.09099,0,1,basic
784,2080,2.2567760944366455,74.92,157.6,0.2082,0,1,basic
390,884,0.6537349224090576,43.17,103.2,0.06836,0,1,basic
419,905,0.6411809921264648,71.51,157.9,0.06226,0,1,basic
1106,2659,1.8862037658691406,51.94,90.96,0.0497,0,1,basic
410,926,0.8720357418060303,60.83,53.85,0.03502,0,1,basic
958,2323,1.908379316329956,108.0,77.29,0.04781,0,1,basic
867,2110,1.8628721237182617,131.6,253.6,0.0752,0,1,basic
352,881,0.7560744285583496,105.1,99.12,0.04088,0,1,basic
842,1879,2.3469271659851074,144.9,197.4,0.2406,0,1,basic
2117,5057,5.827812910079956,59.91,77.94,0.1085,0,1,basic
2017,4763,5.199199914932251,44.53,156.2,0.1961,0,1,basic
718,1600,1.7295820713043213,211.2,249.9,0.139,0,1,basic
1651,4118,5.682233095169067,269.5,473.1,0.08553,0,1,basic
828,1840,2.0989999771118164,124.3,101.4,0.1307,0,1,basic
809,1789,1.782433032989502,142.8,292.2,0.1207,0,1,basic
1922,4583,5.763350963592529,146.4,186.1,0.1191,0,1,basic
1977,4853,5.214923143386841,100.8,252.7,0.1436,0,1,basic
