depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
719,2065,2.374736785888672,68.65,144.9,0.07541,0,1,basic
365,830,0.7789158821105957,93.59,120.5,0.05088,0,1,basic
735,1996,2.3031506538391113,82.44,206.0,0.08543,0,1,basic
724,2122,2.3568310737609863,59.37,111.0,0.06442,0,1,basic
360,833,0.8227148056030273,75.53,107.5,0.05832,0,1,basic
808,2242,2.3342041969299316,30.16,88.9,0.04215,0,1,basic
815,2245,2.275721788406372,55.47,85.46,0.09833,0,1,basic
319,863,0.6928658485412598,65.34,118.6,0.1053,0,1,basic
350,827,0.6623477935791016,20.12,47.95,0.078,0,1,basic
330,815,0.6643378734588623,101.8,57.76,0.04794,0,1,basic
435,857,0.721005916595459,58.63,117.8,0.07514,0,1,basic
808,2308,2.516104221343994,42.91,96.12,0.1032,0,1,basic
809,2143,2.3192601203918457,71.01,131.4,0.073,0,1,basic
321,830,0.7731521129608154,65.81,56.52,0.02594,0,1,basic
395,839,0.6847357749938965,76.19,197.9,0.08337,0,1,basic
825,2443,2.621005058288574,20.51,103.6,0.09519,0,1,basic
328,839,0.8512101173400879,73.0,145.0,0.05552,0,1,basic
799,2191,2.258985996246338,48.38,90.48,0.04958,0,1,basic
747,2050,2.2361557483673096,52.85,110.2,0.08227,0,1,basic
382,1034,0.7063500881195068,37.48,76.28,0.04081,0,1,basic
693,1687,2.092442750930786,136.4,79.92,0.0667,0,1,basic
1504,4304,7.183212995529175,117.1,179.2,0.1946,0,1,basic
1609,4226,6.713061094284058,78.39,119.6,0.09127,0,1,basic
668,1723,2.052001714706421,88.11,232.4,0.1229,0,1,basic
1627,4343,7.180808067321777,78.83,186.3,0.3525,0,1,basic
741,1738,1.9319310188293457,126.6,193.9,0.1202,0,1,basic
662,1609,1.8926548957824707,192.8,193.4,0.1298,0,1,basic
1517,4328,7.395871877670288,70.77,120.1,0.216,0,1,basic
1537,4256,6.9066150188446045,123.8,339.8,0.1486,0,1,basic
1731,4637,6.838645935058594,75.53,145.6,0.3,0,1,basic
613,1543,2.062761068344116,112.3,173.9,0.1214,0,1,basic
776,1756,2.0609519481658936,104.6,224.2,0.1638,0,1,basic
1585,4538,7.380206108093262,103.5,122.9,0.1434,0,1,basic
1604,4262,7.184206962585449,87.92,218.5,0.1111,0,1,basic
627,1591,1.8261940479278564,149.0,195.4,0.1511,0,1,basic
1703,4781,7.354989051818848,91.41,181.4,0.2436,0,1,basic
669,1627,2.106462001800537,138.2,310.6,0.1894,0,1,basic
813,1957,2.1049890518188477,83.05,103.7,0.1098,0,1,basic
1713,4805,7.682638883590698,64.63,125.6,0.1175,0,1,basic
684,1597,1.9148650169372559,147.6,386.5,0.1889,0,1,basic
1038,2427,3.671656847000122,229.7,454.0,0.2367,0,1,basic
2352,6621,15.401103734970093,107.8,236.3,26.64,0,1,basic
2612,7008,14.984026193618774,63.55,182.1,0.1805,0,1,basic
1115,2727,3.891669988632202,72.81,201.1,0.55,0,1,basic
2570,6534,14.953152894973755,116.9,275.3,0.2921,0,1,basic
1097,2628,3.5230469703674316,197.5,237.9,0.2531,0,1,basic
976,2376,3.5996830463409424,254.3,246.9,0.3084,0,1,basic
2362,6753,15.419071912765503,118.3,254.7,0.3255,0,1,basic
960,2379,3.682321786880493,205.8,299.3,0.1554,0,1,basic
2474,6402,15.23888611793518,71.89,182.8,0.1829,0,1,basic
998,2337,3.7893311977386475,99.53,193.9,0.3283,0,1,basic
944,2316,3.5943491458892822,327.4,439.4,0.3288,0,1,basic
2551,7080,15.11329984664917,121.7,146.9,0.6836,0,1,basic
999,2517,3.8671422004699707,195.4,151.1,0.1791,0,1,basic
926,2313,3.5745010375976562,255.5,420.1,0.3953,0,1,basic
2454,6729,14.954147100448608,85.79,251.2,0.3262,0,1,basic
2191,6414,14.040557146072388,167.0,163.6,0.4189,0,1,basic
2423,6879,15.004112243652344,200.4,411.4,0.1573,0,1,basic
2327,6558,19.840545892715454,73.66,169.5,2.24,0,1,basic
968,2463,3.5520877838134766,249.1,281.6,398.8,0,1,basic
1277,3140,5.378870010375977,336.9,254.0,0.6173,0,1,basic
3223,8818,23.82115077972412,138.2,280.2,1.171,0,1,basic
3202,8773,27.148010969161987,163.6,284.1,363.4,0,1,basic
1246,3098,6.513589143753052,167.6,247.2,0.2679,0,1,basic
3119,8449,23.86217713356018,149.9,424.7,401.3,0,1,basic
1555,3821,6.601012945175171,284.4,180.3,0.4296,0,1,basic
1370,3452,6.1210339069366455,93.81,149.5,0.3775,0,1,basic
3352,8995,24.552371978759766,119.3,228.6,0.4674,0,1,basic
1398,3506,6.366302013397217,262.2,240.5,0.4802,0,1,basic
3312,8851,25.02570414543152,134.6,255.1,0.6256,0,1,basic
1326,3263,5.788339138031006,290.0,310.3,0.54,0,1,basic
1542,3491,5.74170184135437,171.2,159.5,0.5083,0,1,basic
3400,9154,26.661159992218018,94.04,164.7,0.3712,0,1,basic
1253,3131,7.147491931915283,276.0,355.7,0.5676,0,1,basic
1573,3614,6.764123201370239,234.1,371.5,0.3786,0,1,basic
3318,8689,30.67589020729065,137.8,327.1,2.159,0,1,basic
3352,9160,859.1719539165497,109.6,119.0,434.5,0,1,basic
3598,9733,24.553622007369995,76.15,106.9,507.6,0,1,basic
3310,9076,25.69725012779236,122.1,245.8,391.8,0,1,basic
1419,3329,5.686668872833252,280.9,414.6,0.3944,0,1,basic
