depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
640,2116,1.4762041568756104,55.05,149.1,0.06357,0,1,basic
386,950,0.6999289989471436,52.61,61.39,0.02321,0,1,basic
737,2197,1.600787878036499,13.33,84.53,0.08615,0,1,basic
603,2275,1.7614119052886963,74.23,165.2,0.1059,0,1,basic
368,965,0.6599581241607666,37.83,55.58,0.07644,0,1,basic
718,2320,1.6702909469604492,40.06,77.19,0.07622,0,1,basic
739,2536,1.5761349201202393,24.96,171.3,0.0751,0,1,basic
334,944,0.6735219955444336,52.74,118.6,0.03232,0,1,basic
352,914,0.6724669933319092,72.97,92.53,0.02798,0,1,basic
320,863,0.6826572418212891,48.94,109.1,0.04603,0,1,basic
267,728,0.7978460788726807,99.25,203.2,0.02728,0,1,basic
616,2179,1.632544755935669,63.83,115.1,0.02741,0,1,basic
681,2308,1.531264066696167,42.8,106.2,0.1049,0,1,basic
328,869,0.6740319728851318,49.48,166.8,0.1733,0,1,basic
373,929,0.7226338386535645,62.74,125.8,0.05719,0,1,basic
657,2206,1.6809983253479004,73.41,132.4,0.09028,0,1,basic
355,947,0.7591817378997803,56.95,169.7,0.06098,0,1,basic
674,2227,1.6226789951324463,40.77,62.12,0.04001,0,1,basic
655,2017,1.5806090831756592,75.85,168.7,0.107,0,1,basic
410,1064,0.8065388202667236,42.71,134.2,0.08979,0,1,basic
845,2284,1.6923828125,43.26,64.84,0.09386,0,1,basic
1500,4904,3.713513135910034,28.73,41.97,0.08839,0,1,basic
1314,4322,3.409233808517456,63.11,97.01,0.1652,0,1,basic
713,2092,1.6451890468597412,113.8,156.3,0.1278,0,1,basic
1272,4226,3.7959370613098145,109.3,286.0,0.04834,0,1,basic
806,2026,1.6539638042449951,45.34,121.7,0.07076,0,1,basic
776,1822,1.6365070343017578,64.07,149.0,0.03719,0,1,basic
1392,4610,3.83333683013916,56.25,197.8,0.06884,0,1,basic
1390,4625,3.663268804550171,78.16,130.0,0.0493,0,1,basic
1388,4469,3.7319180965423584,40.13,179.2,0.08335,0,1,basic
592,1711,1.4265670776367188,124.3,199.5,0.08074,0,1,basic
757,1957,1.61191987991333,91.18,166.4,0.02442,0,1,basic
1380,4589,3.8671319484710693,99.87,252.9,0.06378,0,1,basic
1405,4772,3.7980029582977295,45.97,147.3,0.04378,0,1,basic
822,2221,1.6650409698486328,50.74,111.6,0.04363,0,1,basic
1448,4751,3.6321280002593994,68.75,190.8,0.09804,0,1,basic
751,1975,1.5884909629821777,140.3,199.2,0.03096,0,1,basic
561,1582,1.4976229667663574,128.6,202.4,0.07463,0,1,basic
1408,4715,3.958465814590454,87.92,115.1,0.0692,0,1,basic
802,1981,1.5834312438964844,113.8,292.4,0.03906,0,1,basic
1207,3027,2.705099105834961,77.3,111.7,0.1041,0,1,basic
2152,7434,6.661646842956543,73.12,59.0,0.1663,0,1,basic
2075,7197,6.533807992935181,74.22,118.1,0.2258,0,1,basic
1147,3240,2.682828903198242,87.55,104.8,0.152,0,1,basic
2178,6978,6.651352882385254,97.04,283.7,0.06687,0,1,basic
1252,3282,2.8150699138641357,65.93,170.2,0.07442,0,1,basic
1121,2901,2.8388547897338867,126.4,288.7,0.09367,0,1,basic
2133,7188,6.640480041503906,132.7,150.9,0.05145,0,1,basic
1292,2895,2.612248182296753,117.7,351.0,0.0874,0,1,basic
1967,6915,6.6245598793029785,83.77,48.02,0.213,0,1,basic
1117,2862,2.3205008506774902,100.1,136.3,0.06187,0,1,basic
1386,3018,2.4123010635375977,42.02,211.2,0.07985,0,1,basic
2172,7173,6.087565183639526,88.43,292.6,0.3046,0,1,basic
1245,3216,2.2697439193725586,123.3,229.6,0.06499,0,1,basic
1365,4089,2.364288091659546,49.46,383.5,0.1329,0,1,basic
2192,7497,5.525325059890747,70.64,58.5,0.051,0,1,basic
2179,6978,5.369096994400024,37.75,261.6,0.0314,0,1,basic
2112,7038,5.514909982681274,52.86,111.3,0.06481,0,1,basic
2079,7227,5.620145082473755,114.3,320.5,0.07185,0,1,basic
1239,3117,2.0638160705566406,89.01,199.3,0.05833,0,1,basic
1558,3983,3.586174964904785,256.2,334.1,1.144,0,1,basic
