depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
3220,7979,7.859932899475098,177.6,130.5,0.2538,0,1,basic
802,2215,1.5348200798034668,65.9,148.7,0.0307,0,1,basic
1442,4204,4.815626859664917,315.7,382.7,0.214,0,1,basic
3225,7558,8.529363870620728,250.5,597.1,0.5144,0,1,basic
350,854,0.8728551864624023,43.05,65.6,0.03773,0,1,basic
2605,6063,5.727762937545776,77.03,326.5,0.4401,0,1,basic
1286,3605,3.3574769496917725,230.0,302.0,0.185,0,1,basic
943,2667,2.5310091972351074,169.1,326.5,0.03345,0,1,basic
4040,9804,9.562898874282837,107.0,216.5,0.6503,0,1,basic
2789,7253,7.323410987854004,283.7,293.4,0.1382,0,1,basic
2905,7876,8.681582927703857,321.4,649.5,0.2132,0,1,basic
3365,8362,9.124339818954468,211.1,188.5,0.2924,0,1,basic
2563,6785,7.532352924346924,387.5,726.4,0.6018,0,1,basic
4061,10113,10.696274995803833,171.7,218.7,0.2647,0,1,basic
1578,3809,3.3735480308532715,142.5,528.3,0.109,0,1,basic
1157,3216,2.506992816925049,138.7,198.7,0.08067,0,1,basic
398,971,0.6818151473999023,60.51,103.0,0.04502,0,1,basic
2148,6108,6.073155164718628,268.6,404.5,0.2553,0,1,basic
3055,7864,8.58781886100769,322.4,606.2,0.3099,0,1,basic
763,1999,1.462061882019043,70.91,165.0,0.1078,0,1,basic
2174,5377,4.652101993560791,89.71,276.1,0.1553,0,1,basic
3114,7724,7.617958068847656,152.8,363.6,0.1082,0,1,basic
3765,9756,10.675225019454956,105.2,220.6,0.2614,0,1,basic
332,899,0.7336838245391846,38.15,120.8,0.06914,0,1,basic
2095,5484,5.698183059692383,222.1,495.5,0.1805,0,1,basic
2844,7666,8.45704197883606,336.5,402.6,0.154,0,1,basic
3189,7916,7.150506019592285,84.86,257.2,0.1099,0,1,basic
3703,9282,10.705820798873901,180.2,473.6,0.2099,0,1,basic
730,1969,1.5017549991607666,115.6,228.2,0.08597,0,1,basic
2271,5527,4.714341878890991,132.0,138.8,385.4,0,1,basic
433,1010,0.7074871063232422,25.42,99.57,0.03483,0,1,basic
2573,6723,609.0019030570984,121.0,126.8,398.6,0,1,basic
1656,4589,3.491157054901123,124.9,165.2,0.1633,0,1,basic
1254,3081,2.4383199214935303,85.54,153.6,0.0549,0,1,basic
1316,3602,3.3051340579986572,244.8,410.9,0.164,0,1,basic
1081,2973,2.5765340328216553,131.6,245.8,0.1471,0,1,basic
301,875,0.7618808746337891,60.42,112.6,0.02701,0,1,basic
2769,6501,6.147608757019043,101.0,401.1,0.1403,0,1,basic
571,1639,1.4733970165252686,132.9,229.7,0.06688,0,1,basic
1757,4717,4.97924017906189,189.6,309.9,0.1047,0,1,basic
3202,8547,10.625564813613892,483.7,826.3,0.2894,0,1,basic
2828,7442,7.826453924179077,173.5,262.0,0.1428,0,1,basic
3121,8422,8.84870195388794,343.0,428.5,0.1944,0,1,basic
430,1136,0.7031388282775879,51.08,26.36,0.04271,0,1,basic
2455,6315,5.988202810287476,119.9,293.5,0.2921,0,1,basic
3864,9078,10.429975032806396,173.5,674.6,0.1359,0,1,basic
1357,3396,2.584660053253174,63.56,176.7,0.0914,0,1,basic
1464,4319,3.826573133468628,196.2,389.1,0.09437,0,1,basic
2867,7123,8.857746839523315,340.3,682.0,0.1086,0,1,basic
