depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
2351,5228,4.023709058761597,206.5,223.9,0.1437,0,1,lookahead
524,1303,1.1509370803833008,128.4,204.5,0.0229,0,1,lookahead
1255,3145,2.5632739067077637,318.3,353.4,0.07242,0,1,lookahead
2076,5161,4.004991292953491,216.9,391.5,0.1317,0,1,lookahead
286,779,0.524324893951416,46.13,39.25,0.07146,0,1,lookahead
1509,3816,2.9511120319366455,329.8,454.1,0.2051,0,1,lookahead
1068,2663,1.9533071517944336,192.1,215.3,0.14,0,1,lookahead
789,1887,1.5032188892364502,92.28,165.6,0.06881,0,1,lookahead
2238,5886,4.501367807388306,44.35,55.82,0.04646,0,1,lookahead
1754,4709,3.582298994064331,214.7,261.0,0.1129,0,1,lookahead
2058,5290,4.162867784500122,294.1,460.9,0.1841,0,1,lookahead
2107,5338,4.272785902023315,628.5,221.3,0.1498,0,1,lookahead
2223,5171,3.7680160999298096,339.3,150.0,0.01103,0,1,lookahead
2429,6012,4.599900960922241,184.9,202.5,0.05455,0,1,lookahead
1133,2768,2.0683021545410156,316.0,160.5,0.133,0,1,lookahead
846,2076,1.5356299877166748,87.58,154.3,0.09272,0,1,lookahead
257,668,0.505720853805542,62.55,81.54,0.06836,0,1,lookahead
1588,4026,2.978563070297241,389.6,529.5,0.2226,0,1,lookahead
2154,5470,4.232989072799683,263.5,296.1,0.0293,0,1,lookahead
679,1546,1.1499879360198975,120.5,76.75,0.03234,0,1,lookahead
1401,3418,2.781157970428467,250.2,369.0,0.1316,0,1,lookahead
2492,5015,3.6558361053466797,109.1,311.9,0.2091,0,1,lookahead
2457,6078,4.6653947830200195,278.0,238.6,0.04729,0,1,lookahead
326,716,0.7178139686584473,40.25,78.89,0.08867,0,1,lookahead
1476,3873,3.100526809692383,479.5,251.6,0.06103,0,1,lookahead
2055,5149,4.034419059753418,153.4,558.2,0.2216,0,1,lookahead
1749,4523,3.5672719478607178,147.3,131.3,0.07135,0,1,lookahead
2473,6039,4.6571269035339355,311.7,366.6,0.1637,0,1,lookahead
558,1597,1.2308850288391113,97.51,50.53,0.02137,0,1,lookahead
1343,3313,2.5327200889587402,210.5,223.5,0.1285,0,1,lookahead
280,755,0.669503927230835,85.0,146.4,0.1148,0,1,lookahead
1492,3894,3.1416640281677246,293.7,313.7,0.1235,0,1,lookahead
968,2696,2.105492353439331,373.1,405.8,0.174,0,1,lookahead
912,2085,1.5476739406585693,120.6,126.7,0.1347,0,1,lookahead
1048,2741,2.2105727195739746,217.1,125.3,0.08657,0,1,lookahead
796,1959,1.5030479431152344,239.6,222.3,0.1233,0,1,lookahead
315,749,0.62819504737854,19.01,36.9,0.06953,0,1,lookahead
2085,5046,3.5133562088012695,226.6,310.0,0.09488,0,1,lookahead
