,depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
0,2,1,0.027088165283203125,0.0,0.0,0.0007668,0,1,basic
1,3,2,0.02298593521118164,3.674,3.674,0.01121,0,1,basic
2,6,6,0.022848844528198242,3.031,2.598,0.0003588,0,1,basic
3,8,7,0.02373194694519043,2.487,2.487,0.000636,0,1,basic
4,12,11,0.022845029830932617,4.5,5.196,0.0003119,0,1,basic
5,13,18,0.023543119430541992,4.146,2.487,0.000473,0,1,basic
6,20,19,0.025362014770507812,3.031,3.354,0.01533,0,1,basic
7,22,29,0.026801109313964844,1.785,0.0,0.0004381,0,1,basic
8,30,36,0.02533102035522461,2.915,3.354,0.001478,0,1,basic
9,34,43,0.0258481502532959,3.536,4.5,0.01339,0,1,basic
10,38,47,0.03132486343383789,3.631,6.874,0.002458,0,1,basic
11,42,51,0.026228904724121094,5.315,11.88,0.0001562,0,1,basic
12,52,91,0.026917219161987305,2.55,4.5,0.0007101,0,1,basic
13,52,71,0.02675795555114746,2.062,4.918,0.01367,0,1,basic
14,53,66,0.026082754135131836,8.437,16.22,0.000347,0,1,basic
15,48,64,0.026507139205932617,8.216,13.97,0.000355,0,1,basic
16,68,101,0.027456998825073242,4.093,5.612,0.0002884,0,1,basic
17,70,102,0.028147220611572266,8.078,12.97,0.01332,0,1,basic
18,68,88,0.028133869171142578,6.61,14.45,0.0002262,0,1,basic
19,86,143,0.028877973556518555,5.612,10.89,0.0002969,0,1,basic
20,81,111,0.02907276153564453,4.493,7.348,0.0001992,0,1,basic
21,89,136,0.061190128326416016,10.92,10.89,0.01371,0,1,basic
22,101,149,0.02982783317565918,12.31,16.48,0.0002918,0,1,basic
23,96,156,0.03040313720703125,7.595,12.9,0.0002225,0,1,basic
24,117,166,0.03066420555114746,4.023,17.62,0.01295,0,1,basic
25,114,152,0.030801773071289062,7.462,16.75,0.00013,0,1,basic
26,117,156,0.03061199188232422,8.276,20.5,0.0003367,0,1,basic
27,127,175,0.03201413154602051,7.45,14.13,0.000183,0,1,basic
28,138,221,0.032610177993774414,9.566,23.56,0.01268,0,1,basic
29,138,198,0.032685041427612305,11.42,18.85,0.0002672,0,1,basic
30,144,199,0.03239107131958008,8.348,27.25,0.000567,0,1,basic
31,144,215,0.03278613090515137,7.395,8.584,0.01305,0,1,basic
32,150,225,0.03379321098327637,11.8,20.89,0.0002732,0,1,basic
33,169,256,0.03434491157531738,9.657,19.72,0.0005155,0,1,basic
34,170,248,0.03562521934509277,9.756,20.93,0.01339,0,1,basic
35,183,252,0.034243106842041016,17.43,45.81,0.0004762,0,1,basic
36,189,295,0.035707950592041016,6.418,12.79,0.0005106,0,1,basic
37,163,251,0.035929203033447266,26.96,31.28,9.297e-05,0,1,basic
38,208,336,0.03681468963623047,14.98,18.54,0.01307,0,1,basic
39,199,337,0.037336111068725586,20.22,15.35,0.0004107,0,1,basic
40,212,311,0.03697991371154785,9.76,21.94,0.0004281,0,1,basic
41,210,342,0.037160396575927734,15.53,9.093,0.0132,0,1,basic
42,208,328,0.038082122802734375,22.32,52.5,0.0003034,0,1,basic
43,204,320,0.0375370979309082,14.43,24.42,0.0005999,0,1,basic
44,236,384,0.03851318359375,17.42,23.37,0.01378,0,1,basic
45,234,355,0.0385439395904541,12.74,35.69,0.0008268,0,1,basic
46,232,335,0.03941082954406738,20.95,49.41,0.0005846,0,1,basic
47,241,402,0.040766239166259766,12.2,14.47,0.000571,0,1,basic
48,259,406,0.04048895835876465,25.78,39.71,0.01295,0,1,basic
49,246,392,0.0410768985748291,18.03,17.92,0.0001437,0,1,basic
50,279,471,0.04117298126220703,22.39,50.71,0.0003574,0,1,basic
51,290,460,0.07137489318847656,28.13,45.32,0.01235,0,1,basic
52,283,485,0.042597055435180664,22.84,39.99,0.0001989,0,1,basic
53,269,381,0.04238009452819824,25.98,64.88,0.0006826,0,1,basic
54,277,451,0.07568120956420898,37.16,51.87,0.01385,0,1,basic
55,287,464,0.04335212707519531,28.36,44.77,0.0004442,0,1,basic
56,316,507,0.043718814849853516,22.46,39.82,0.01298,0,1,basic
57,292,490,0.04419302940368652,25.5,46.6,0.0003187,0,1,basic
58,298,482,0.045143842697143555,26.84,46.74,0.000205,0,1,basic
59,294,432,0.04541587829589844,33.29,61.88,0.01294,0,1,basic
60,353,505,0.04600191116333008,26.36,96.38,0.0006161,0,1,basic
61,349,611,0.04670381546020508,20.94,18.05,0.000411,0,1,basic
62,328,573,0.04614710807800293,40.81,32.48,0.01288,0,1,basic
63,369,586,0.04663491249084473,10.3,25.49,0.0004508,0,1,basic
64,355,557,0.04810380935668945,20.97,66.14,0.01322,0,1,basic
65,380,606,0.048815011978149414,35.32,68.3,0.002929,0,1,basic
66,342,499,0.04829907417297363,47.24,105.6,0.0004736,0,1,basic
67,380,638,0.04913616180419922,32.58,72.96,0.0007155,0,1,basic
68,371,618,0.04965519905090332,51.65,100.3,0.0007349,0,1,basic
69,423,664,0.04926776885986328,8.786,13.81,0.01282,0,1,basic
70,428,725,0.05054426193237305,35.24,50.58,0.0007543,0,1,basic
71,454,759,0.05124092102050781,27.93,31.96,0.0003834,0,1,basic
72,408,685,0.08036303520202637,42.92,68.25,0.01192,0,1,basic
73,432,671,0.05164599418640137,39.91,86.1,0.0004401,0,1,basic
74,453,795,0.05268216133117676,18.87,23.04,0.01272,0,1,basic
75,435,733,0.05180811882019043,26.24,42.11,0.0008151,0,1,basic
76,436,710,0.05289602279663086,54.02,96.43,0.001285,0,1,basic
77,500,816,0.08448314666748047,10.78,51.4,0.01304,0,1,basic
78,494,799,0.054932355880737305,29.04,91.4,0.0006672,0,1,basic
79,446,761,0.08334517478942871,65.05,103.4,0.01222,0,1,basic
80,548,903,0.05519223213195801,55.95,104.4,0.0006698,0,1,basic
81,504,859,0.08321785926818848,26.43,50.04,0.01197,0,1,basic
82,556,968,0.05712318420410156,15.85,23.53,0.0001107,0,1,basic
83,523,870,0.0845489501953125,43.09,90.53,0.01171,0,1,basic
84,559,919,0.05660605430603027,48.1,113.2,0.0007459,0,1,basic
85,519,848,0.05680108070373535,42.27,105.2,0.00106,0,1,basic
86,517,807,0.05779385566711426,27.35,72.87,0.01296,0,1,basic
87,551,1003,0.05794119834899902,11.32,32.03,0.000781,0,1,basic
88,595,917,0.058589935302734375,25.32,77.44,0.01277,0,1,basic
89,564,930,0.0587770938873291,41.39,91.64,0.0008014,0,1,basic
90,605,1075,0.06013631820678711,55.32,131.1,0.01377,0,1,basic
91,590,992,0.06026268005371094,57.63,101.8,0.0006333,0,1,basic
92,588,1029,0.06082510948181152,72.41,105.3,0.001257,0,1,basic
93,615,1063,0.09165596961975098,66.44,122.7,0.01227,0,1,basic
94,548,875,0.060426950454711914,71.04,153.9,0.001234,0,1,basic
95,628,1077,0.06372928619384766,50.0,86.19,0.01307,0,1,basic
96,611,943,0.06192469596862793,33.73,102.8,0.0005718,0,1,basic
97,658,1064,0.06155276298522949,34.62,116.7,0.01362,0,1,basic
98,617,1014,0.06289792060852051,24.56,59.45,0.0004013,0,1,basic
99,646,1141,0.06377291679382324,39.36,39.06,0.0007178,0,1,basic
100,723,1229,0.06599092483520508,24.52,58.11,0.0007896,0,1,basic
101,695,1212,0.06476473808288574,34.12,50.31,0.0009611,0,1,basic
102,742,1336,0.06615400314331055,35.57,95.21,0.0007732,0,1,basic
103,679,1133,0.0656118392944336,41.43,100.9,0.0007873,0,1,basic
104,721,1251,0.06683588027954102,46.24,92.86,0.01293,0,1,basic
105,712,1312,0.06766891479492188,87.37,158.4,0.0009861,0,1,basic
106,715,1184,0.06750106811523438,52.14,128.4,0.01345,0,1,basic
107,772,1356,0.06957483291625977,17.36,37.49,0.0005855,0,1,basic
108,727,1312,0.06904816627502441,60.98,101.5,0.0008099,0,1,basic
109,725,1220,0.09675908088684082,47.05,71.91,0.01192,0,1,basic
110,748,1260,0.06920003890991211,77.38,144.5,0.001185,0,1,basic
111,762,1321,0.07101798057556152,37.01,62.62,0.0118,0,1,basic
112,811,1430,0.07150697708129883,30.43,63.69,3.438e-05,0,1,basic
113,785,1416,0.07137298583984375,70.39,154.5,0.01406,0,1,basic
114,791,1354,0.07174205780029297,35.08,110.7,0.0007888,0,1,basic
115,778,1310,0.07103490829467773,37.96,87.43,0.01313,0,1,basic
116,760,1356,0.07222795486450195,41.61,74.61,0.0005717,0,1,basic
