,depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
0,2,1,0.024267196655273438,0.0,0.0,0.0008221,0,1,basic
1,3,2,0.020904064178466797,0.0,0.0,0.01037,0,1,basic
2,6,6,0.021411657333374023,0.5,1.299,0.0002963,0,1,basic
3,13,16,0.022433042526245117,1.118,2.121,0.0005165,0,1,basic
4,16,17,0.025568008422851562,1.0,2.121,0.0005868,0,1,basic
5,18,24,0.024007797241210938,1.785,4.5,0.001293,0,1,basic
6,23,28,0.06013679504394531,1.5,3.674,0.0145,0,1,basic
7,31,50,0.03317594528198242,2.693,9.808,0.0008055,0,1,basic
8,27,30,0.031028032302856445,6.098,14.91,0.001753,0,1,basic
9,29,28,0.028028249740600586,6.205,12.79,0.002259,0,1,basic
10,35,74,0.03266572952270508,5.629,5.408,0.001547,0,1,basic
11,51,81,0.03479814529418945,4.265,10.69,0.01341,0,1,basic
12,44,70,0.03741598129272461,7.155,6.495,0.0008915,0,1,basic
13,56,68,0.035675764083862305,6.801,16.62,0.002177,0,1,basic
14,54,90,0.03913283348083496,5.408,4.5,0.001852,0,1,basic
15,73,124,0.07284903526306152,4.969,23.47,0.01387,0,1,basic
16,79,110,0.04007291793823242,5.385,13.31,0.002555,0,1,basic
17,88,132,0.0450592041015625,5.612,14.75,0.001323,0,1,basic
18,89,145,0.047020912170410156,4.062,11.88,0.001901,0,1,basic
19,93,137,0.04793977737426758,12.46,24.5,0.00149,0,1,basic
20,86,132,0.050824880599975586,17.81,37.38,0.01286,0,1,basic
21,107,169,0.05108785629272461,7.628,28.01,0.001743,0,1,basic
22,103,122,0.047540903091430664,13.01,37.38,0.004098,0,1,basic
23,106,180,0.05091595649719238,14.9,21.84,0.004474,0,1,basic
24,99,154,0.05649924278259277,14.08,20.4,0.0143,0,1,basic
25,117,203,0.06192898750305176,14.36,18.78,0.001173,0,1,basic
26,117,186,0.06157708168029785,18.58,38.1,0.002432,0,1,basic
27,153,241,0.06918501853942871,13.18,29.32,0.001432,0,1,basic
28,148,266,0.0631709098815918,6.021,18.9,0.01488,0,1,basic
29,156,240,0.06947088241577148,11.05,19.33,0.00335,0,1,basic
30,166,271,0.06801009178161621,5.788,25.68,0.003601,0,1,basic
31,172,248,0.07738494873046875,4.437,27.36,0.01439,0,1,basic
32,162,252,0.07539081573486328,12.98,32.27,0.002346,0,1,basic
33,183,313,0.08188271522521973,11.92,13.65,0.0005795,0,1,basic
34,175,278,0.08289599418640137,19.47,32.55,0.01596,0,1,basic
35,182,300,0.08505487442016602,25.04,56.54,0.003381,0,1,basic
36,193,328,0.08559298515319824,12.91,34.62,0.005341,0,1,basic
37,198,329,0.09433484077453613,20.87,47.17,0.01672,0,1,basic
38,195,342,0.09120512008666992,16.01,16.22,0.006396,0,1,basic
39,193,355,0.08924698829650879,18.35,20.28,0.002629,0,1,basic
40,231,404,0.10885977745056152,11.41,18.06,0.01136,0,1,basic
41,234,348,0.10053300857543945,7.395,23.33,0.001985,0,1,basic
42,218,376,0.1001439094543457,31.46,69.76,0.003308,0,1,basic
43,213,302,0.09041881561279297,29.27,83.8,0.008061,0,1,basic
44,258,420,0.10873222351074219,31.02,52.15,0.003075,0,1,basic
45,261,424,0.1084599494934082,25.15,59.94,0.005998,0,1,basic
46,291,482,0.11927604675292969,13.83,31.68,0.01565,0,1,basic
47,267,465,0.11193299293518066,33.08,74.12,0.004619,0,1,basic
48,275,457,0.12037873268127441,30.74,64.64,0.004726,0,1,basic
49,291,464,0.12630009651184082,18.1,37.61,0.003253,0,1,basic
50,256,450,0.11185908317565918,40.83,61.88,0.008093,0,1,basic
51,295,508,0.1535789966583252,24.64,60.09,0.01069,0,1,basic
52,287,518,0.12631988525390625,12.44,33.9,0.0008927,0,1,basic
53,309,525,0.13058996200561523,9.093,17.62,0.002619,0,1,basic
54,324,580,0.1369791030883789,28.64,62.68,0.006147,0,1,basic
55,303,536,0.11847805976867676,29.45,43.76,0.009023,0,1,basic
56,330,477,0.12664413452148438,23.54,75.46,0.008126,0,1,basic
57,326,520,0.14262604713439941,26.67,59.0,0.01255,0,1,basic
58,312,518,0.14684271812438965,30.08,48.56,0.004715,0,1,basic
59,395,675,0.1622169017791748,16.31,62.51,0.005031,0,1,basic
60,374,601,0.14828896522521973,11.99,52.96,0.01966,0,1,basic
61,335,575,0.14629793167114258,42.35,80.9,0.006412,0,1,basic
62,357,645,0.15872621536254883,20.09,26.71,0.01357,0,1,basic
63,392,655,0.15458416938781738,24.34,49.4,0.00566,0,1,basic
64,385,614,0.16596603393554688,26.06,116.3,0.01086,0,1,basic
65,379,630,0.1874990463256836,37.2,82.9,0.009247,0,1,basic
66,377,643,0.15960907936096191,46.35,99.44,0.00581,0,1,basic
67,419,680,0.16110992431640625,26.35,62.08,0.007077,0,1,basic
68,417,729,0.17176103591918945,46.93,62.59,0.01196,0,1,basic
69,454,820,0.18151092529296875,24.63,22.05,0.002682,0,1,basic
70,444,734,0.1868457794189453,34.58,63.39,0.01507,0,1,basic
71,443,840,0.18952703475952148,38.6,72.64,0.01035,0,1,basic
72,470,778,0.21775579452514648,29.69,82.9,0.00745,0,1,basic
73,398,701,0.19073820114135742,66.09,90.93,0.006497,0,1,basic
74,473,852,0.19142508506774902,39.37,87.94,0.009243,0,1,basic
75,472,778,0.22981595993041992,36.13,103.0,0.01095,0,1,basic
76,513,854,0.19247794151306152,22.09,88.96,0.0136,0,1,basic
77,481,822,0.20205378532409668,37.86,76.56,0.01481,0,1,basic
78,532,928,0.2008228302001953,38.18,100.9,0.008837,0,1,basic
79,467,830,0.20919203758239746,61.76,76.57,0.01434,0,1,basic
80,513,912,0.22361397743225098,40.37,59.19,0.004342,0,1,basic
81,566,946,0.21214795112609863,32.36,84.19,0.008119,0,1,basic
82,551,1016,0.2548699378967285,42.49,40.5,0.0108,0,1,basic
83,547,870,0.22585487365722656,38.15,96.86,0.00613,0,1,basic
84,526,889,0.21400094032287598,56.15,108.1,0.01612,0,1,basic
85,599,1037,0.22617220878601074,36.57,95.02,0.01064,0,1,basic
86,628,1059,0.23175787925720215,5.932,46.11,0.00696,0,1,basic
87,549,1069,0.22620701789855957,37.03,41.49,0.001203,0,1,basic
88,634,1061,0.2286360263824463,8.5,55.36,0.01609,0,1,basic
89,616,1089,0.2422490119934082,45.28,85.86,0.01562,0,1,basic
90,635,1168,0.2757718563079834,54.45,82.2,0.02144,0,1,basic
91,687,1208,0.2547340393066406,18.59,55.17,0.01415,0,1,basic
92,639,1104,0.22718071937561035,36.2,87.54,0.01506,0,1,basic
93,666,1192,0.2711949348449707,38.72,62.44,0.005998,0,1,basic
94,657,1232,0.24369096755981445,40.95,81.67,0.009317,0,1,basic
95,673,1203,0.30521488189697266,42.89,50.66,0.01925,0,1,basic
96,642,1072,0.24795222282409668,38.31,80.85,0.005894,0,1,basic
97,689,1151,0.25286197662353516,50.21,88.86,0.01728,0,1,basic
98,648,1068,0.23979496955871582,42.88,105.8,0.02863,0,1,basic
99,684,1165,0.25017285346984863,21.01,56.5,0.009315,0,1,basic
100,801,1325,0.27932214736938477,58.06,135.3,0.01876,0,1,basic
101,648,1134,0.25821590423583984,73.42,118.2,0.01036,0,1,basic
102,708,1303,0.2967698574066162,49.9,89.84,0.01314,0,1,basic
103,738,1268,0.29051995277404785,16.66,50.29,0.01124,0,1,basic
104,718,1281,0.29151105880737305,38.58,76.44,0.02208,0,1,basic
105,819,1414,0.3052937984466553,21.99,49.91,0.008063,0,1,basic
106,778,1421,0.30089807510375977,46.32,65.91,0.02718,0,1,basic
107,769,1395,0.3125419616699219,34.67,112.6,0.008655,0,1,basic
108,719,1231,0.3302650451660156,73.6,150.4,0.01311,0,1,basic
109,797,1406,0.3090250492095947,30.87,46.83,0.01382,0,1,basic
110,780,1395,0.3039267063140869,57.03,97.13,0.01432,0,1,basic
111,838,1582,0.3125579357147217,32.28,20.39,0.01524,0,1,basic
112,841,1598,0.3101189136505127,71.75,96.76,0.01209,0,1,basic
113,797,1386,0.3190579414367676,45.07,86.97,0.0141,0,1,basic
114,864,1501,0.33103418350219727,66.8,128.2,0.01548,0,1,basic
115,879,1637,0.30293893814086914,35.39,83.23,0.02292,0,1,basic
116,842,1491,0.32489681243896484,50.05,123.1,0.08671,0,1,basic
117,846,1486,0.3375978469848633,85.16,180.9,0.01246,0,1,basic
118,881,1526,0.3495910167694092,35.63,78.15,0.007859,0,1,basic
119,860,1542,0.3226439952850342,72.15,139.7,0.02192,0,1,basic
120,860,1528,0.3444390296936035,82.82,140.6,0.01864,0,1,basic
121,990,1763,0.37236595153808594,21.92,43.96,0.009888,0,1,basic
122,964,1752,0.3666698932647705,80.02,171.7,0.01106,0,1,basic
123,943,1663,0.34789609909057617,89.68,163.6,0.02663,0,1,basic
124,931,1736,0.34975194931030273,61.82,143.4,0.01574,0,1,basic
125,978,1839,0.3654148578643799,24.62,92.16,0.03501,0,1,basic
