depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
2,1,0.025897979736328125,0.0,0.0,0.0009033,0,1,basic
3,2,0.02302408218383789,0.0,0.0,0.0113,0,1,basic
6,6,0.023068904876708984,0.5,1.299,0.0003722,0,1,basic
13,16,0.024466753005981445,1.118,2.121,0.0003909,0,1,basic
16,17,0.028093814849853516,1.0,2.121,0.001074,0,1,basic
18,24,0.02588176727294922,1.785,4.5,0.001622,0,1,basic
23,28,0.028995990753173828,1.5,3.674,0.0132,0,1,basic
31,50,0.03248310089111328,2.693,9.808,0.0006111,0,1,basic
27,30,0.03313422203063965,6.098,14.91,0.001244,0,1,basic
29,28,0.03228497505187988,6.205,12.79,0.002551,0,1,basic
35,74,0.06689620018005371,5.629,5.408,0.01256,0,1,basic
51,81,0.039244651794433594,4.265,10.69,0.001919,0,1,basic
44,70,0.0427241325378418,7.155,6.495,0.001185,0,1,basic
56,68,0.04110407829284668,6.801,16.62,0.001575,0,1,basic
54,90,0.04609489440917969,5.408,4.5,0.003091,0,1,basic
73,124,0.05020904541015625,4.969,23.47,0.01476,0,1,basic
79,110,0.04537200927734375,5.385,13.31,0.00268,0,1,basic
88,132,0.05296206474304199,5.612,14.75,0.001227,0,1,basic
89,145,0.05391383171081543,4.062,11.88,0.002325,0,1,basic
93,137,0.05564618110656738,12.46,24.5,0.0021,0,1,basic
86,132,0.05731201171875,17.81,37.38,0.00333,0,1,basic
107,169,0.06144309043884277,7.628,28.01,0.001633,0,1,basic
103,122,0.05544614791870117,13.01,37.38,0.00506,0,1,basic
106,180,0.09186673164367676,14.9,21.84,0.009129,0,1,basic
99,154,0.06627297401428223,14.08,20.4,0.00195,0,1,basic
117,203,0.08750796318054199,14.36,18.78,0.007532,0,1,basic
117,186,0.07616591453552246,18.58,38.1,0.006382,0,1,basic
153,241,0.08141016960144043,13.18,29.32,0.0178,0,1,basic
148,266,0.07501411437988281,6.021,18.9,0.005544,0,1,basic
156,240,0.08006978034973145,11.05,19.33,0.004443,0,1,basic
166,271,0.08343982696533203,5.788,25.68,0.002188,0,1,basic
172,248,0.09022903442382812,4.437,27.36,0.01427,0,1,basic
162,252,0.08838295936584473,12.98,32.27,0.002481,0,1,basic
183,313,0.0944368839263916,11.92,13.65,0.003268,0,1,basic
175,278,0.09822583198547363,19.47,32.55,0.01847,0,1,basic
182,300,0.10271215438842773,25.04,56.54,0.009956,0,1,basic
193,328,0.10992908477783203,12.91,34.62,0.007471,0,1,basic
198,329,0.11519098281860352,20.87,47.17,0.01734,0,1,basic
195,342,0.10739827156066895,16.01,16.22,0.007115,0,1,basic
193,355,0.10982108116149902,18.35,20.28,0.007214,0,1,basic
231,404,0.15994501113891602,11.41,18.06,0.02046,0,1,basic
234,348,0.12029504776000977,7.395,23.33,0.001676,0,1,basic
218,376,0.1228640079498291,31.46,69.76,0.005921,0,1,basic
213,302,0.1077117919921875,29.27,83.8,0.01753,0,1,basic
258,420,0.12278604507446289,31.02,52.15,0.005762,0,1,basic
261,424,0.12420201301574707,25.15,59.94,0.008879,0,1,basic
291,482,0.1429896354675293,13.83,31.68,0.01443,0,1,basic
267,465,0.12950491905212402,33.08,74.12,0.009434,0,1,basic
275,457,0.13312292098999023,30.74,64.64,0.006473,0,1,basic
291,464,0.15813803672790527,18.1,37.61,0.02364,0,1,basic
256,450,0.141646146774292,40.83,61.88,0.005812,0,1,basic
295,508,0.18703103065490723,24.64,60.09,0.01492,0,1,basic
287,518,0.1483602523803711,12.44,33.9,0.002532,0,1,basic
309,525,0.1646418571472168,9.093,17.62,0.004496,0,1,basic
324,580,0.16705822944641113,28.64,62.68,0.008911,0,1,basic
303,536,0.145491361618042,29.45,43.76,0.01188,0,1,basic
330,477,0.15788578987121582,23.54,75.46,0.01029,0,1,basic
326,520,0.16785979270935059,26.67,59.0,0.01371,0,1,basic
312,518,0.16826987266540527,30.08,48.56,0.00646,0,1,basic
395,675,0.2247159481048584,16.31,62.51,0.01841,0,1,basic
374,601,0.17879319190979004,11.99,52.96,0.008419,0,1,basic
335,575,0.17924714088439941,42.35,80.9,0.009427,0,1,basic
357,645,0.18835711479187012,20.09,26.71,0.01384,0,1,basic
392,655,0.18041491508483887,24.34,49.4,0.007853,0,1,basic
385,614,0.20429635047912598,26.06,116.3,0.006146,0,1,basic
379,630,0.19120407104492188,37.2,82.9,0.00574,0,1,basic
377,643,0.19086790084838867,46.35,99.44,0.01017,0,1,basic
419,680,0.1972818374633789,26.35,62.08,0.02389,0,1,basic
417,729,0.20609712600708008,46.93,62.59,0.009357,0,1,basic
454,820,0.22182512283325195,24.63,22.05,0.006173,0,1,basic
444,734,0.2109980583190918,34.58,63.39,0.01667,0,1,basic
443,840,0.223128080368042,38.6,72.64,0.01718,0,1,basic
470,778,0.23070168495178223,29.69,82.9,0.01887,0,1,basic
398,701,0.2224409580230713,66.09,90.93,0.01069,0,1,basic
473,852,0.22145795822143555,39.37,87.94,0.01322,0,1,basic
472,778,0.2603898048400879,36.13,103.0,0.008901,0,1,basic
513,854,0.23477768898010254,22.09,88.96,0.02226,0,1,basic
481,822,0.2828030586242676,37.86,76.56,0.03675,0,1,basic
532,928,0.2601029872894287,38.18,100.9,0.01151,0,1,basic
467,830,0.2572348117828369,61.76,76.57,0.01536,0,1,basic
513,912,0.2636590003967285,40.37,59.19,0.003642,0,1,basic
566,946,0.2565891742706299,32.36,84.19,0.01223,0,1,basic
551,1016,0.2722928524017334,42.49,40.5,0.005918,0,1,basic
547,870,0.26658105850219727,38.15,96.86,0.009033,0,1,basic
526,889,0.25654006004333496,56.15,108.1,0.01807,0,1,basic
599,1037,0.2778501510620117,36.57,95.02,0.01364,0,1,basic
628,1059,0.2905440330505371,5.932,46.11,0.02323,0,1,basic
549,1069,0.2972581386566162,37.03,41.49,0.006133,0,1,basic
634,1061,0.3262898921966553,8.5,55.36,0.008051,0,1,basic
616,1089,0.32589006423950195,45.28,85.86,0.07069,0,1,basic
635,1168,0.31743502616882324,54.45,82.2,0.01304,0,1,basic
687,1208,0.32636213302612305,18.59,55.17,0.02876,0,1,basic
639,1104,0.2929527759552002,36.2,87.54,0.01679,0,1,basic
666,1192,0.3348419666290283,38.72,62.44,0.01596,0,1,basic
657,1232,0.3102457523345947,40.95,81.67,0.01157,0,1,basic
673,1203,0.3443291187286377,42.89,50.66,0.02114,0,1,basic
642,1072,0.3195528984069824,38.31,80.85,0.00593,0,1,basic
689,1151,0.3694770336151123,50.21,88.86,0.01298,0,1,basic
648,1068,0.3080461025238037,42.88,105.8,0.02671,0,1,basic
684,1165,0.32556986808776855,21.01,56.5,0.01173,0,1,basic
801,1325,0.43596315383911133,58.06,135.3,0.04862,0,1,basic
648,1134,0.3850889205932617,73.42,118.2,0.008107,0,1,basic
708,1303,0.38193368911743164,49.9,89.84,0.01455,0,1,basic
738,1268,0.3558168411254883,16.66,50.29,0.0211,0,1,basic
718,1281,0.36049413681030273,38.58,76.44,0.03431,0,1,basic
819,1414,0.3894078731536865,21.99,49.91,0.01418,0,1,basic
778,1421,0.375352144241333,46.32,65.91,0.01535,0,1,basic
