depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
2,1,0.02292609214782715,0.0,0.0,0.0003468,0,1,1.1,sabre_025_crit,sabre_layout
3,2,0.022510051727294922,0.0,0.0,0.0008636,0,1,1.1,sabre_025_crit,sabre_layout
6,6,0.02259087562561035,0.5,1.299,0.0005754,0,1,1.1,sabre_025_crit,sabre_layout
13,16,0.025461912155151367,1.118,2.121,0.0008526,0,1,1.1,sabre_025_crit,sabre_layout
16,17,0.02508091926574707,1.0,2.121,0.000488,0,1,1.1,sabre_025_crit,sabre_layout
18,24,0.025552034378051758,1.785,4.5,0.001573,0,1,1.1,sabre_025_crit,sabre_layout
23,28,0.03067302703857422,1.5,3.674,0.001245,0,1,1.1,sabre_025_crit,sabre_layout
31,50,0.03271293640136719,2.693,9.808,0.00108,0,1,1.1,sabre_025_crit,sabre_layout
27,30,0.03255009651184082,6.098,14.91,0.001593,0,1,1.1,sabre_025_crit,sabre_layout
29,28,0.030169963836669922,6.205,12.79,0.02054,0,1,1.1,sabre_025_crit,sabre_layout
35,74,0.03498077392578125,5.629,5.408,0.001458,0,1,1.1,sabre_025_crit,sabre_layout
51,81,0.03708529472351074,4.265,10.69,0.001731,0,1,1.1,sabre_025_crit,sabre_layout
44,70,0.04033827781677246,7.155,6.495,0.001524,0,1,1.1,sabre_025_crit,sabre_layout
56,68,0.0406649112701416,6.801,16.62,0.002491,0,1,1.1,sabre_025_crit,sabre_layout
54,90,0.04580402374267578,5.408,4.5,0.001927,0,1,1.1,sabre_025_crit,sabre_layout
73,124,0.04772186279296875,4.969,23.47,0.002465,0,1,1.1,sabre_025_crit,sabre_layout
79,110,0.09247493743896484,5.385,13.31,0.01837,0,1,1.1,sabre_025_crit,sabre_layout
88,132,0.05049490928649902,5.612,14.75,0.002701,0,1,1.1,sabre_025_crit,sabre_layout
89,145,0.054412126541137695,4.062,11.88,0.002452,0,1,1.1,sabre_025_crit,sabre_layout
93,137,0.054593801498413086,12.46,24.5,0.002173,0,1,1.1,sabre_025_crit,sabre_layout
86,132,0.06140780448913574,17.81,37.38,0.001059,0,1,1.1,sabre_025_crit,sabre_layout
107,169,0.056368112564086914,7.628,28.01,0.002736,0,1,1.1,sabre_025_crit,sabre_layout
103,122,0.05522608757019043,13.01,37.38,0.004461,0,1,1.1,sabre_025_crit,sabre_layout
106,180,0.10726070404052734,14.9,21.84,0.01617,0,1,1.1,sabre_025_crit,sabre_layout
99,154,0.06939983367919922,14.08,20.4,0.002151,0,1,1.1,sabre_025_crit,sabre_layout
117,203,0.07148909568786621,14.36,18.78,0.001878,0,1,1.1,sabre_025_crit,sabre_layout
117,186,0.0708458423614502,18.58,38.1,0.003034,0,1,1.1,sabre_025_crit,sabre_layout
153,241,0.07776308059692383,13.18,29.32,0.004085,0,1,1.1,sabre_025_crit,sabre_layout
148,266,0.0742337703704834,6.021,18.9,0.005045,0,1,1.1,sabre_025_crit,sabre_layout
156,240,0.07764720916748047,11.05,19.33,0.004884,0,1,1.1,sabre_025_crit,sabre_layout
166,271,0.07900094985961914,5.788,25.68,0.004776,0,1,1.1,sabre_025_crit,sabre_layout
172,248,0.08481216430664062,4.437,27.36,0.004557,0,1,1.1,sabre_025_crit,sabre_layout
