depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
2,1,0.026683330535888672,0.0,0.0,0.01076,0,1,1,sabre_025_depth,sabre_layout
3,2,0.025307893753051758,0.0,0.0,0.0006117,0,1,1,sabre_025_depth,sabre_layout
6,6,0.027333736419677734,0.0,0.0,0.0007361,0,1,1,sabre_025_depth,sabre_layout
7,10,0.027940988540649414,1.5,0.0,0.01432,0,1,1,sabre_025_depth,sabre_layout
8,11,0.030505895614624023,2.598,3.897,0.001268,0,1,1,sabre_025_depth,sabre_layout
12,21,0.02879476547241211,1.658,3.897,0.001281,0,1,1,sabre_025_depth,sabre_layout
15,25,0.031027793884277344,1.92,3.0,0.01261,0,1,1,sabre_025_depth,sabre_layout
20,38,0.033876895904541016,1.803,1.299,0.0003019,0,1,1,sabre_025_depth,sabre_layout
21,45,0.03317975997924805,0.8292,3.674,0.0007393,0,1,1,sabre_025_depth,sabre_layout
23,49,0.03633999824523926,2.5,4.5,0.01428,0,1,1,sabre_025_depth,sabre_layout
28,62,0.053559064865112305,3.674,10.5,0.0132,0,1,1,sabre_025_depth,sabre_layout
25,72,0.15391898155212402,3.937,8.216,0.04936,0,1,1,sabre_025_depth,sabre_layout
31,88,0.07451486587524414,2.046,3.354,0.01436,0,1,1,sabre_025_depth,sabre_layout
36,98,0.04681587219238281,4.031,3.897,0.001721,0,1,1,sabre_025_depth,sabre_layout
38,108,0.07521295547485352,1.871,3.674,0.01277,0,1,1,sabre_025_depth,sabre_layout
35,112,0.04809904098510742,4.583,15.59,0.001893,0,1,1,sabre_025_depth,sabre_layout
43,131,0.04869890213012695,4.183,14.91,0.01349,0,1,1,sabre_025_depth,sabre_layout
42,129,0.0851602554321289,3.64,10.5,0.01415,0,1,1,sabre_025_depth,sabre_layout
56,172,0.05527806282043457,1.479,11.88,0.001658,0,1,1,sabre_025_depth,sabre_layout
54,167,0.05717206001281738,2.121,15.52,0.0007609,0,1,1,sabre_025_depth,sabre_layout
51,177,0.05692791938781738,5.403,6.874,0.01416,0,1,1,sabre_025_depth,sabre_layout
58,190,0.059426069259643555,3.536,8.842,0.001629,0,1,1,sabre_025_depth,sabre_layout
62,203,0.06191587448120117,1.871,14.75,0.011,0,1,1,sabre_025_depth,sabre_layout
62,213,0.06193423271179199,4.867,12.9,0.002887,0,1,1,sabre_025_depth,sabre_layout
66,220,0.06943297386169434,4.5,9.808,0.001857,0,1,1,sabre_025_depth,sabre_layout
73,224,0.07003974914550781,3.279,14.54,0.002112,0,1,1,sabre_025_depth,sabre_layout
