depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
2,1,0.02862381935119629,0.0,0.0,0.01361,0,1,basic
3,2,0.025827884674072266,0.0,0.0,0.0008076,0,1,basic
6,6,0.025575876235961914,1.5,1.5,0.0003398,0,1,basic
7,7,0.06059527397155762,0.433,1.299,0.0144,0,1,basic
11,14,0.028323888778686523,1.785,3.269,0.001354,0,1,basic
12,18,0.028759002685546875,1.299,3.269,0.001196,0,1,basic
16,28,0.03094196319580078,1.803,6.139,0.01795,0,1,basic
18,32,0.0337679386138916,2.586,3.674,0.0008114,0,1,basic
20,42,0.03622698783874512,1.871,4.743,0.01562,0,1,basic
24,61,0.036847829818725586,3.24,11.1,0.001595,0,1,basic
28,65,0.04484891891479492,0.8292,2.121,0.003708,0,1,basic
27,75,0.03848910331726074,3.937,4.975,0.01481,0,1,basic
32,73,0.04202389717102051,4.023,9.337,0.001038,0,1,basic
34,98,0.043598175048828125,4.637,5.761,0.01449,0,1,basic
28,87,0.044976234436035156,9.287,14.47,0.002619,0,1,basic
42,115,0.049787282943725586,1.92,3.674,0.001412,0,1,basic
43,116,0.05002403259277344,2.5,12.09,0.06817,0,1,basic
49,144,0.053938865661621094,3.897,10.03,0.001367,0,1,basic
48,151,0.05292701721191406,4.763,13.81,0.01434,0,1,basic
59,158,0.05344676971435547,1.639,12.44,0.00176,0,1,basic
56,168,0.05811500549316406,2.739,12.28,0.0003703,0,1,basic
59,196,0.06317996978759766,0.8292,6.874,0.01465,0,1,basic
62,191,0.06007099151611328,3.767,9.247,0.002379,0,1,basic
62,183,0.06270694732666016,5.804,23.37,0.01732,0,1,basic
63,232,0.06705403327941895,7.12,14.23,0.003672,0,1,basic
70,203,0.06974911689758301,2.291,22.75,0.0172,0,1,basic
76,300,0.07641983032226562,3.279,11.02,0.008481,0,1,basic
76,289,0.0820319652557373,4.33,16.84,0.005421,0,1,basic
82,284,0.08089423179626465,3.345,8.746,0.01159,0,1,basic
81,309,0.08541083335876465,2.55,19.83,0.003874,0,1,basic
88,316,0.0821681022644043,2.062,22.5,0.01208,0,1,basic
92,317,0.08984494209289551,2.861,38.42,0.004961,0,1,basic
95,381,0.09257912635803223,4.243,29.27,0.01348,0,1,basic
88,352,0.09310197830200195,6.964,19.72,0.001895,0,1,basic
94,332,0.0887908935546875,3.7,24.77,0.01908,0,1,basic
106,375,0.10053205490112305,4.085,11.69,0.001383,0,1,basic
100,337,0.12438392639160156,6.18,39.48,0.007997,0,1,basic
99,413,0.10348176956176758,8.337,12.55,0.004254,0,1,basic
107,486,0.11322188377380371,5.0,31.78,0.01423,0,1,basic
111,394,0.10778403282165527,3.491,45.61,0.005363,0,1,basic
114,455,0.1438310146331787,4.359,30.47,0.0137,0,1,basic
112,477,0.11659383773803711,5.5,37.73,0.003858,0,1,basic
119,460,0.11345887184143066,3.269,36.21,0.01779,0,1,basic
126,497,0.12348294258117676,4.603,31.82,0.004548,0,1,basic
134,429,0.10802578926086426,4.38,45.91,0.01856,0,1,basic
135,544,0.13017892837524414,7.155,67.78,0.01062,0,1,basic
