depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
2,1,0.023667335510253906,0.0,0.0,0.0005981,0,1,1,sabre_025_extended,sabre_layout
3,2,0.04819989204406738,1.5,1.5,0.01101,0,1,1,sabre_025_extended,sabre_layout
4,3,0.0225980281829834,0.866,1.299,0.0006675,0,1,1,sabre_025_extended,sabre_layout
6,7,0.023907899856567383,1.871,1.299,0.0004389,0,1,1,sabre_025_extended,sabre_layout
15,14,0.02545309066772461,3.0,3.897,0.001196,0,1,1,sabre_025_extended,sabre_layout
16,21,0.04902386665344238,12.62,11.1,0.009232,0,1,1,sabre_025_extended,sabre_layout
17,19,0.02699899673461914,4.603,4.5,0.01435,0,1,1,sabre_025_extended,sabre_layout
23,38,0.030395030975341797,3.905,5.408,0.001146,0,1,1,sabre_025_extended,sabre_layout
29,39,0.03130912780761719,2.385,3.354,0.0007765,0,1,1,sabre_025_extended,sabre_layout
32,31,0.03075718879699707,6.671,9.247,0.001142,0,1,1,sabre_025_extended,sabre_layout
30,32,0.0314180850982666,12.46,12.62,0.002955,0,1,1,sabre_025_extended,sabre_layout
38,57,0.03583168983459473,5.068,6.538,0.01452,0,1,1,sabre_025_extended,sabre_layout
45,58,0.03543233871459961,3.631,2.121,0.001365,0,1,1,sabre_025_extended,sabre_layout
47,59,0.03405499458312988,7.395,4.5,0.002224,0,1,1,sabre_025_extended,sabre_layout
46,60,0.03776717185974121,16.58,14.92,0.001884,0,1,1,sabre_025_extended,sabre_layout
53,55,0.04176783561706543,6.801,10.26,0.001827,0,1,1,sabre_025_extended,sabre_layout
56,77,0.0416409969329834,10.25,7.758,0.001768,0,1,1,sabre_025_extended,sabre_layout
69,75,0.042157888412475586,4.183,27.36,0.01583,0,1,1,sabre_025_extended,sabre_layout
56,82,0.04504990577697754,13.06,16.16,0.002378,0,1,1,sabre_025_extended,sabre_layout
68,116,0.05151796340942383,1.803,16.07,0.002278,0,1,1,sabre_025_extended,sabre_layout
73,84,0.04895210266113281,3.419,29.73,0.004116,0,1,1,sabre_025_extended,sabre_layout
72,106,0.08698105812072754,10.5,15.64,0.01675,0,1,1,sabre_025_extended,sabre_layout
83,101,0.05111575126647949,11.86,15.07,0.003367,0,1,1,sabre_025_extended,sabre_layout
90,177,0.06604790687561035,9.731,32.27,0.00377,0,1,1,sabre_025_extended,sabre_layout
84,109,0.054247140884399414,13.97,46.69,0.006418,0,1,1,sabre_025_extended,sabre_layout
102,128,0.06407785415649414,13.72,17.8,0.001815,0,1,1,sabre_025_extended,sabre_layout
95,114,0.09482979774475098,4.272,12.46,0.01178,0,1,1,sabre_025_extended,sabre_layout
