depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
2,1,0.030355215072631836,0.0,0.0,0.0172,0,1,basic
3,2,0.0270538330078125,0.0,0.0,0.0005896,0,1,basic
6,6,0.02863311767578125,0.433,0.0,0.0003788,0,1,basic
7,10,0.028351783752441406,2.345,1.299,0.01907,0,1,basic
14,17,0.030353069305419922,2.121,3.0,0.002251,0,1,basic
18,21,0.031208038330078125,2.598,6.495,0.002694,0,1,basic
20,25,0.031087875366210938,3.841,10.47,0.01985,0,1,basic
25,47,0.0373530387878418,4.717,5.612,0.002332,0,1,basic
35,48,0.03807687759399414,4.95,34.57,0.02031,0,1,basic
31,73,0.04715323448181152,5.59,5.356,0.002932,0,1,basic
42,74,0.04582476615905762,3.0,7.649,0.002075,0,1,basic
42,78,0.04211902618408203,7.259,19.94,0.0205,0,1,basic
46,82,0.04604911804199219,8.201,24.05,0.001272,0,1,basic
50,86,0.08093404769897461,8.7,45.74,0.01423,0,1,basic
51,57,0.0478367805480957,11.65,55.98,0.006982,0,1,basic
49,97,0.04745006561279297,20.07,37.49,0.005258,0,1,basic
76,92,0.05658292770385742,10.54,69.21,0.00767,0,1,basic
67,138,0.05663275718688965,4.387,12.46,0.001344,0,1,basic
76,118,0.059661149978637695,4.763,15.66,0.01953,0,1,basic
77,92,0.052410125732421875,7.681,54.76,0.007693,0,1,basic
89,192,0.06602668762207031,6.964,55.09,0.02311,0,1,basic
86,187,0.0667119026184082,7.0,36.7,0.003999,0,1,basic
94,182,0.0663459300994873,10.56,107.2,0.01736,0,1,basic
107,186,0.0722041130065918,8.983,33.7,0.005497,0,1,basic
98,148,0.07874774932861328,16.83,36.09,0.000941,0,1,basic
110,254,0.0782480239868164,9.653,106.7,0.01369,0,1,basic
119,240,0.0841519832611084,8.617,73.93,0.008487,0,1,basic
115,238,0.08293032646179199,15.79,139.4,0.01956,0,1,basic
131,200,0.09232902526855469,20.77,58.03,0.007677,0,1,basic
143,228,0.08430099487304688,12.99,196.8,0.02309,0,1,basic
133,166,0.08317017555236816,12.19,67.52,0.004697,0,1,basic
151,209,0.0969076156616211,19.06,232.8,0.01865,0,1,basic
135,243,0.1227257251739502,13.22,213.0,0.01045,0,1,basic
138,247,0.08769083023071289,14.41,87.29,0.02724,0,1,basic
153,164,0.09338092803955078,1.785,70.88,0.006287,0,1,basic
154,426,0.11052107810974121,8.016,63.89,0.01421,0,1,basic
154,346,0.10602116584777832,28.48,186.6,0.02143,0,1,basic
173,398,0.12064790725708008,16.84,272.5,0.02907,0,1,basic
175,405,0.11361002922058105,9.782,150.5,0.01844,0,1,basic
197,382,0.11686468124389648,15.39,47.55,0.02612,0,1,basic
203,359,0.12209296226501465,22.49,175.7,0.02364,0,1,basic
206,501,0.16336488723754883,20.77,86.6,0.02451,0,1,basic
218,406,0.12378787994384766,21.06,16.16,0.006313,0,1,basic
171,503,0.11281824111938477,43.93,41.7,0.01825,0,1,basic
189,591,0.1426541805267334,25.78,101.4,0.004479,0,1,basic
219,442,0.13767194747924805,24.37,111.4,0.02427,0,1,basic
222,509,0.14905810356140137,24.46,309.3,0.04797,0,1,basic
245,1314,0.22116303443908691,6.3,280.3,0.03398,0,1,basic
231,478,0.14880704879760742,28.86,272.9,0.02771,0,1,basic
237,653,0.1514430046081543,11.12,280.1,0.03841,0,1,basic
232,432,0.17082977294921875,25.16,307.3,0.007512,0,1,basic
