depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
62,226,1.383458137512207,0.0,3.0,0.01892,0,0,basic
62,213,2.9123661518096924,0.0,15.0,0.08239,0,10,basic
63,213,4.30338191986084,0.0,0.0,0.02551,0,20,basic
63,213,5.708164215087891,0.0,3.0,0.02583,0,30,basic
61,213,7.11926794052124,0.0,0.0,0.05389,0,40,basic
61,213,8.509126901626587,0.0,0.0,0.03216,0,50,basic
61,206,10.049988269805908,0.433,25.98,0.04031,0,60,basic
61,206,11.348431825637816,0.0,0.0,0.1319,0,70,basic
61,206,12.956630945205688,0.0,0.0,0.05626,0,80,basic
60,203,15.339628219604492,2.598,12.99,0.3364,0,90,basic
60,203,17.159392833709717,3.0,15.0,0.436,0,100,basic
60,202,15.538177013397217,0.0,0.0,0.05423,0,110,basic
59,202,18.691838026046756,3.0,3.0,1.227,0,120,basic
59,202,20.815381050109863,3.0,3.0,1.405,0,130,basic
59,202,19.450502157211304,0.0,0.0,0.1345,0,140,basic
59,202,23.929331064224243,3.0,4.975,1.345,0,150,basic
59,202,22.34837007522583,0.0,0.0,0.1006,0,160,basic
58,202,27.106220960617065,2.598,5.196,1.176,0,170,basic
58,202,25.352899074554443,0.0,0.0,0.2648,0,180,basic
58,202,30.80088305473328,2.598,2.598,1.45,0,190,basic
58,202,28.61674690246582,0.0,0.0,0.3854,0,200,basic
58,202,32.13904690742493,3.0,6.0,1.555,0,210,basic
58,202,33.62672805786133,2.598,5.196,1.37,0,220,basic
58,202,34.846741914749146,2.598,5.196,1.546,0,230,basic
58,200,36.208484172821045,0.0,2.598,0.3073,0,240,basic
58,200,38.29395413398743,3.0,7.794,1.88,0,250,basic
58,200,40.47648906707764,2.0,1.5,2.111,0,260,basic
58,200,41.31195902824402,0.0,2.598,0.3537,0,270,basic
58,200,42.58093595504761,1.732,2.487,1.877,0,280,basic
58,200,43.69389605522156,2.0,1.5,2.346,0,290,basic
58,200,44.47079801559448,2.0,2.121,167.2,0,300,basic
58,200,46.34045600891113,2.0,2.121,2.33,0,310,basic
58,200,47.078528881073,1.732,2.487,2.048,0,320,basic
58,200,49.87297606468201,1.732,2.487,2.198,0,330,basic
58,200,50.51627397537232,2.0,1.5,2.202,0,340,basic
58,200,53.09241509437561,1.732,1.299,2.47,0,350,basic
58,200,53.45284104347229,1.732,2.487,2.269,0,360,basic
58,200,53.74816107749939,0.0,5.196,0.6786,0,370,basic
58,200,55.64842104911804,0.0,3.0,0.3815,0,380,basic
58,200,56.19263887405396,0.0,3.0,224.1,0,390,basic
58,200,60.07995891571045,0.0,2.598,0.5092,0,400,basic
58,200,59.57302284240723,0.5,9.487,1.254,0,410,basic
58,200,63.79823923110962,0.5,9.487,1.499,0,420,basic
58,200,64.56490206718445,0.0,3.0,0.849,0,430,basic
58,200,63.44392228126526,0.5,10.71,1.666,0,440,basic
58,200,966.204691886902,0.5,6.0,438.4,0,450,basic
58,200,519.9246261119843,0.0,3.0,486.1,0,460,basic
58,200,69.415363073349,0.433,4.975,576.4,0,470,basic
