depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
27,23,0.012362003326416016,1.581,1.5,0.001315,0,1,basic
68,56,0.023495912551879883,3.961,3.354,0.001025,0,1,basic
22,18,0.010560989379882812,2.5,2.121,0.0003754,0,1,basic
54,44,0.01743912696838379,1.92,1.299,0.0006498,0,1,basic
43,37,0.027925968170166016,3.897,2.487,0.006756,0,1,basic
71,59,0.023482799530029297,1.92,2.487,0.001114,0,1,basic
42,37,0.017496109008789062,3.674,2.487,0.01431,0,1,basic
72,58,0.026192188262939453,3.491,3.897,0.0007135,0,1,basic
333,306,0.10639405250549316,12.58,13.5,0.002083,0,1,basic
689,603,0.22249603271484375,17.15,20.93,0.009437,0,1,basic
200,181,0.06621384620666504,6.796,7.5,0.0009591,0,1,basic
280,234,0.09307169914245605,10.59,19.14,0.00243,0,1,basic
158,148,0.06009101867675781,5.932,6.538,0.00349,0,1,basic
228,206,0.07821202278137207,5.761,11.69,0.00471,0,1,basic
174,161,0.05468106269836426,6.225,11.52,0.0007574,0,1,basic
204,185,0.07354998588562012,10.52,11.88,0.001098,0,1,basic
462,393,0.1407299041748047,14.27,28.22,0.01914,0,1,basic
148,130,0.04916715621948242,8.515,15.95,0.001438,0,1,basic
246,213,0.08070588111877441,8.318,10.92,0.003447,0,1,basic
228,207,0.0766899585723877,17.24,17.02,0.01509,0,1,basic
122,107,0.04053616523742676,9.247,9.605,0.002937,0,1,basic
95,83,0.03362298011779785,19.41,23.37,0.001605,0,1,basic
102,89,0.03422093391418457,14.64,18.54,0.001913,0,1,basic
26,25,0.011487960815429688,5.214,4.975,0.0005052,0,1,basic
54,44,0.019062042236328125,0.5,3.269,0.0005057,0,1,basic
54,46,0.01827716827392578,5.932,6.874,0.001705,0,1,basic
383,333,0.11805963516235352,15.12,25.37,0.01791,0,1,basic
123,113,0.04318118095397949,11.05,14.15,0.0002466,0,1,basic
84,75,0.026630878448486328,3.7,2.487,0.0009791,0,1,basic
231,211,0.07710599899291992,7.089,10.5,0.001578,0,1,basic
392,335,0.11405181884765625,3.345,12.37,0.002794,0,1,basic
21,18,0.011155843734741211,1.732,1.299,0.0005472,0,1,basic
51,43,0.018952369689941406,3.767,5.356,0.0009543,0,1,basic
29,26,0.013746261596679688,2.165,2.487,0.0005095,0,1,basic
49,44,0.01914191246032715,4.867,3.897,0.0009129,0,1,basic
49,45,0.021164655685424805,5.932,5.612,0.0008007,0,1,basic
101,89,0.0332951545715332,9.708,8.746,0.0009851,0,1,basic
107,88,0.0335080623626709,3.269,3.269,0.001995,0,1,basic
127,111,0.04030895233154297,11.97,12.46,0.002396,0,1,basic
247,237,0.08082795143127441,1.414,2.121,0.01365,0,1,basic
47,45,0.02028799057006836,5.196,3.897,0.0009891,0,1,basic
99,78,0.03328084945678711,5.068,7.036,0.00133,0,1,basic
451,401,0.14744281768798828,24.5,30.37,0.006383,0,1,basic
248,210,0.07855606079101562,14.96,21.57,0.003588,0,1,basic
51,43,0.020543813705444336,1.871,2.121,0.007298,0,1,basic
27,25,0.013125181198120117,2.915,2.598,0.00116,0,1,basic
173,177,0.05743694305419922,6.982,7.155,0.001861,0,1,basic
49,54,0.01742386817932129,2.947,3.897,0.0004823,0,1,basic
120,107,0.04281783103942871,7.826,10.61,0.001171,0,1,basic
46,38,0.0191957950592041,5.523,5.356,0.001284,0,1,basic
237,210,0.11777615547180176,16.32,19.83,0.01442,0,1,basic
32,29,0.013529062271118164,4.387,5.612,0.0007797,0,1,basic
99,87,0.030550003051757812,8.201,8.043,0.002162,0,1,basic
59,54,0.020947933197021484,2.062,1.299,0.001261,0,1,basic
75,67,0.02845001220703125,8.378,10.92,0.001148,0,1,basic
13,17,0.008945941925048828,1.5,1.299,0.0004721,0,1,basic
633,577,0.2089238166809082,14.38,25.31,0.01522,0,1,basic
818,796,0.26735401153564453,19.64,19.72,0.01621,0,1,basic
101,89,0.03783726692199707,4.975,6.708,0.001146,0,1,basic
541,482,0.20537900924682617,8.899,11.88,0.01285,0,1,basic
812,761,0.2819678783416748,48.83,72.63,0.01461,0,1,basic
721,628,0.21509122848510742,26.33,50.62,0.0204,0,1,basic
1222,1098,0.3871440887451172,66.44,90.98,0.03082,0,1,basic
362,331,0.12369418144226074,19.88,25.75,0.003502,0,1,basic
13,17,0.009189844131469727,1.5,1.299,0.0001365,0,1,basic
307,293,0.10332584381103516,5.309,9.124,0.002823,0,1,basic
343,315,0.11794877052307129,21.28,22.69,0.01743,0,1,basic
282,247,0.09208798408508301,14.4,28.7,0.004787,0,1,basic
545,500,0.2021491527557373,8.456,20.89,0.0293,0,1,basic
439,437,0.15354108810424805,24.67,28.97,0.01454,0,1,basic
371,355,0.11909818649291992,20.32,27.85,0.0169,0,1,basic
386,371,0.14088010787963867,21.94,20.72,0.003799,0,1,basic
1198,1044,0.3916647434234619,56.85,69.82,0.02301,0,1,basic
2234,2047,0.7010838985443115,29.98,72.29,0.03254,0,1,basic
364,331,0.11575603485107422,20.39,37.49,0.009271,0,1,basic
633,542,0.19451117515563965,37.13,67.56,0.02911,0,1,basic
5,8,0.008007049560546875,3.491,3.0,0.001042,0,1,basic
354,320,0.12691617012023926,29.43,39.93,0.02669,0,1,basic
1677,1696,0.5378410816192627,81.36,82.03,0.02181,0,1,basic
750,703,0.24463677406311035,27.4,68.59,0.02053,0,1,basic
711,647,0.24221587181091309,49.19,76.97,0.01584,0,1,basic
11077,10395,3.6630420684814453,183.7,453.6,0.04812,0,1,basic
110,94,0.035186052322387695,7.822,12.73,0.000882,0,1,basic
1008,972,0.34131908416748047,10.73,29.77,0.01512,0,1,basic
531,500,0.15706276893615723,29.06,43.85,0.005816,0,1,basic
476,434,0.15004420280456543,21.37,36.8,0.00491,0,1,basic
124,107,0.04658198356628418,5.804,8.043,0.001962,0,1,basic
1053,959,0.31417393684387207,27.21,61.42,0.01548,0,1,basic
6441,6039,2.1461360454559326,161.6,380.3,0.08101,0,1,basic
936,937,0.33837103843688965,32.02,42.69,0.01644,0,1,basic
1018,1123,0.4313938617706299,14.31,45.35,0.03669,0,1,basic
170,162,0.0810699462890625,13.54,28.88,0.002081,0,1,basic
2109,2016,0.7111129760742188,38.6,90.76,0.02837,0,1,basic
1933,1800,0.6658298969268799,61.96,125.1,0.04907,0,1,basic
1554,1669,0.5720641613006592,38.99,75.34,0.01882,0,1,basic
225,329,0.13149476051330566,32.22,30.19,0.004907,0,1,basic
206,281,0.1035149097442627,48.05,14.85,0.006956,0,1,basic
17381,18859,6.008926153182983,159.7,409.0,0.0737,0,1,basic
70,90,0.10298871994018555,44.87,29.88,0.01421,0,1,basic
156,225,0.0953207015991211,24.21,22.95,0.001546,0,1,basic
9251,10038,2.8997418880462646,65.81,116.0,0.07036,0,1,basic
278,338,0.12247586250305176,22.28,10.47,0.003692,0,1,basic
5299,5846,1.763659954071045,48.75,87.22,0.02056,0,1,basic
3140,3077,0.9561610221862793,35.97,142.4,0.03092,0,1,basic
39602,42542,12.9531409740448,285.2,598.1,0.04909,0,1,basic
1580,1573,0.5026590824127197,57.15,121.9,0.01467,0,1,basic
10554,11105,3.511699914932251,141.4,276.1,0.03575,0,1,basic
23402,26063,8.219377994537354,67.17,124.7,0.1108,0,1,basic
2010,1942,0.6457521915435791,26.49,30.96,0.03051,0,1,basic
464,502,0.17307209968566895,16.41,11.32,0.003526,0,1,basic
5173,5727,1.7701382637023926,40.21,89.13,0.02138,0,1,basic
5707,6157,1.899616003036499,43.68,77.32,0.03535,0,1,basic
427,481,0.17185211181640625,14.16,26.61,0.006722,0,1,basic
5774,6265,1.9948937892913818,92.39,206.2,0.03362,0,1,basic
89,174,0.1775498390197754,36.98,23.91,0.007376,0,1,basic
28675,32366,10.007320880889893,136.2,124.3,0.01567,0,1,basic
3344,3608,1.0620810985565186,58.28,87.01,0.04631,0,1,basic
284,410,0.13389182090759277,24.32,24.83,0.01938,0,1,basic
409,498,0.1510317325592041,35.46,12.07,0.002848,0,1,basic
19884,20937,6.409987211227417,193.3,185.7,0.03731,0,1,basic
2859,2820,0.8995490074157715,72.94,208.0,0.02674,0,1,basic
2859,2820,0.9458827972412109,72.94,208.0,0.02196,0,1,basic
11954,12998,4.412395000457764,128.6,184.1,0.01852,0,1,basic
15248,15831,5.041202068328857,39.86,236.1,0.02985,0,1,basic
16447,17325,5.36557674407959,122.3,200.5,0.01031,0,1,basic
8102,8220,2.5652060508728027,157.8,260.0,0.03575,0,1,basic
356,523,0.20728397369384766,46.2,49.49,0.003029,0,1,basic
28692,34843,10.984240293502808,293.2,518.9,0.09505,0,1,basic
18248,19021,6.0968639850616455,182.7,330.1,0.08885,0,1,basic
32918,35034,10.956377029418945,104.0,239.7,0.04671,0,1,basic
71,150,0.183607816696167,18.61,26.62,0.02,0,1,basic
356,702,0.2797200679779053,19.78,54.1,0.03358,0,1,basic
693,809,0.2596402168273926,15.95,61.88,0.02437,0,1,basic
194,286,0.10547089576721191,17.98,46.2,0.005591,0,1,basic
