depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
13,17,0.009605884552001953,1.5,1.299,0.003568,0,1,basic
13,17,0.011209964752197266,1.5,1.299,0.006156,0,1,basic
5,8,0.007841110229492188,3.491,3.0,0.001527,0,1,basic
21,18,0.011744976043701172,1.732,1.299,0.0004529,0,1,basic
22,19,0.012221336364746094,3.897,3.269,0.0007612,0,1,basic
22,18,0.01076507568359375,2.5,2.121,0.0007573,0,1,basic
29,26,0.013947010040283203,2.165,2.487,0.0006014,0,1,basic
27,23,0.010868310928344727,1.581,1.5,0.0007833,0,1,basic
28,25,0.014654159545898438,4.969,4.243,0.001139,0,1,basic
32,29,0.014168739318847656,4.387,5.612,0.0009174,0,1,basic
42,37,0.016576051712036133,3.674,2.487,0.01305,0,1,basic
49,54,0.016619205474853516,2.947,3.897,0.0007694,0,1,basic
43,37,0.017853975296020508,3.897,2.487,0.0005385,0,1,basic
51,44,0.0196530818939209,2.828,2.598,0.0008086,0,1,basic
54,46,0.01906108856201172,5.932,6.874,0.005572,0,1,basic
51,43,0.01906108856201172,3.767,5.356,0.002764,0,1,basic
49,40,0.018947124481201172,3.031,3.897,0.0004776,0,1,basic
54,44,0.015900850296020508,1.92,1.299,0.00133,0,1,basic
54,47,0.020485877990722656,7.462,7.758,0.000229,0,1,basic
49,45,0.019367218017578125,6.652,6.364,0.0004863,0,1,basic
50,45,0.020235061645507812,4.265,3.354,0.0003268,0,1,basic
47,41,0.018938064575195312,4.272,4.5,0.0005014,0,1,basic
57,54,0.019108295440673828,2.586,2.121,0.0001864,0,1,basic
68,56,0.02334904670715332,3.961,3.354,0.0007716,0,1,basic
76,66,0.026147127151489258,8.899,9.721,0.01529,0,1,basic
71,59,0.02299785614013672,1.92,2.487,0.0004777,0,1,basic
72,58,0.0229949951171875,3.491,3.897,0.0004997,0,1,basic
75,67,0.0283968448638916,8.378,10.92,0.0007244,0,1,basic
99,87,0.030343294143676758,6.685,4.437,0.00171,0,1,basic
99,93,0.03381609916687012,8.227,5.408,0.001389,0,1,basic
101,89,0.03792715072631836,4.975,6.708,0.00108,0,1,basic
95,83,0.034391164779663086,18.66,23.67,0.001759,0,1,basic
110,95,0.03539299964904785,1.732,5.356,0.002024,0,1,basic
107,88,0.033380985260009766,3.269,3.269,0.001696,0,1,basic
110,94,0.034307003021240234,7.822,12.73,0.001545,0,1,basic
101,89,0.03384089469909668,9.708,8.746,0.0009353,0,1,basic
127,111,0.03976130485534668,11.97,12.46,0.002139,0,1,basic
123,104,0.041812896728515625,10.5,16.62,0.001406,0,1,basic
130,113,0.04528999328613281,11.84,15.07,0.001018,0,1,basic
131,113,0.04274415969848633,6.457,6.833,0.001843,0,1,basic
123,113,0.04122805595397949,8.559,7.649,0.001792,0,1,basic
156,145,0.05095791816711426,5.025,10.03,0.00246,0,1,basic
158,177,0.07713818550109863,25.97,20.05,0.01236,0,1,basic
158,148,0.053869009017944336,5.974,6.0,0.00125,0,1,basic
191,295,0.12712693214416504,26.69,34.53,0.003884,0,1,basic
154,249,0.10773611068725586,40.73,28.66,0.01173,0,1,basic
174,161,0.052397966384887695,10.95,14.45,0.002011,0,1,basic
171,168,0.06305193901062012,8.047,10.89,0.001166,0,1,basic
222,251,0.1047978401184082,32.25,31.28,0.003462,0,1,basic
93,117,0.11346578598022461,16.28,14.13,0.01739,0,1,basic
94,147,0.2028648853302002,26.36,24.95,0.01773,0,1,basic
71,150,0.2714879512786865,40.97,58.53,0.09288,0,1,basic
186,175,0.07074618339538574,11.26,12.79,0.0002961,0,1,basic
268,359,0.1417391300201416,21.67,27.69,0.002091,0,1,basic
211,203,0.07317805290222168,11.38,6.185,0.01536,0,1,basic
214,191,0.0765218734741211,19.17,21.98,0.001203,0,1,basic
226,193,0.08110809326171875,7.176,9.487,0.002416,0,1,basic
234,198,0.08069133758544922,4.899,10.69,0.001724,0,1,basic
228,207,0.0824289321899414,1.639,3.354,0.01346,0,1,basic
239,216,0.0865180492401123,17.09,19.27,0.0009288,0,1,basic
251,225,0.09373903274536133,18.57,28.81,0.002398,0,1,basic
279,353,0.14440011978149414,47.72,19.72,0.004306,0,1,basic
257,231,0.0895988941192627,3.937,3.354,0.0009756,0,1,basic
276,255,0.09746098518371582,11.5,17.92,0.02199,0,1,basic
274,241,0.11712074279785156,13.24,22.79,0.01559,0,1,basic
348,431,0.16188693046569824,10.11,27.85,0.005755,0,1,basic
426,768,0.5253551006317139,48.1,72.68,0.03909,0,1,basic
277,254,0.10500097274780273,21.41,28.8,0.004329,0,1,basic
384,613,0.26349496841430664,40.48,24.14,0.03921,0,1,basic
402,487,0.1855330467224121,15.24,9.808,0.02162,0,1,basic
333,306,0.11622500419616699,4.437,11.02,0.002315,0,1,basic
422,532,0.2209789752960205,26.61,28.65,0.01601,0,1,basic
346,301,0.12267804145812988,25.5,34.07,0.004423,0,1,basic
375,352,0.13220787048339844,21.48,25.72,0.004317,0,1,basic
355,345,0.1314411163330078,14.43,18.12,0.01082,0,1,basic
372,320,0.12108993530273438,11.12,18.78,0.004472,0,1,basic
415,504,0.23471808433532715,34.73,19.09,0.02109,0,1,basic
378,359,0.14341092109680176,28.37,29.16,0.008567,0,1,basic
377,355,0.13533997535705566,13.47,17.36,0.01981,0,1,basic
365,374,0.14757800102233887,22.56,11.3,0.004034,0,1,basic
379,330,0.12918496131896973,16.83,20.18,0.01546,0,1,basic
454,407,0.14865899085998535,11.9,17.36,0.006485,0,1,basic
490,494,0.18498682975769043,17.25,21.88,0.01353,0,1,basic
466,429,0.1654648780822754,22.05,23.04,0.006626,0,1,basic
451,401,0.15826201438903809,8.642,22.5,0.02174,0,1,basic
516,485,0.1874990463256836,18.2,25.59,0.01546,0,1,basic
536,482,0.19143986701965332,12.99,14.29,0.007225,0,1,basic
560,503,0.20505595207214355,12.51,24.37,0.01581,0,1,basic
659,767,0.36106419563293457,52.94,32.69,0.006486,0,1,basic
611,562,0.24132704734802246,23.12,36.02,0.01536,0,1,basic
643,578,0.23083066940307617,18.02,41.48,0.01538,0,1,basic
695,619,0.2522549629211426,20.95,44.11,0.008972,0,1,basic
745,745,0.32093095779418945,29.75,26.58,0.01458,0,1,basic
714,648,0.3022289276123047,14.31,3.897,0.01911,0,1,basic
755,710,0.30947279930114746,11.12,18.54,0.003888,0,1,basic
807,775,0.32331299781799316,33.39,55.92,0.007581,0,1,basic
881,773,0.3411078453063965,38.84,63.46,0.02599,0,1,basic
950,835,0.39438891410827637,30.91,85.2,0.01091,0,1,basic
1020,1006,0.4806668758392334,36.25,74.83,0.01389,0,1,basic
1006,945,0.49272584915161133,13.32,39.83,0.03346,0,1,basic
997,872,0.4220719337463379,29.58,89.66,0.02381,0,1,basic
1272,1137,0.5427451133728027,16.63,52.69,0.024,0,1,basic
1277,1149,0.514423131942749,29.5,53.05,0.02439,0,1,basic
1604,1600,0.8084080219268799,31.95,127.4,0.02286,0,1,basic
1595,1633,0.8732640743255615,27.5,45.81,0.02224,0,1,basic
1749,1804,0.9616589546203613,41.48,55.21,0.1055,0,1,basic
1962,1863,1.0258841514587402,42.76,99.14,0.02189,0,1,basic
2025,1978,1.1321337223052979,45.65,98.8,0.03601,0,1,basic
2065,2049,1.310880184173584,86.59,172.9,0.05635,0,1,basic
2167,1969,1.1369478702545166,57.99,101.0,0.04897,0,1,basic
2899,2946,1.99009108543396,59.27,71.95,0.02116,0,1,basic
2899,2946,1.9888551235198975,59.27,71.95,0.03732,0,1,basic
3168,3146,2.1842339038848877,34.61,109.1,0.03889,0,1,basic
3259,3578,2.556239128112793,72.77,100.5,0.02433,0,1,basic
5196,5639,5.445940971374512,88.66,177.9,0.125,0,1,basic
5269,5826,5.315048933029175,67.52,97.75,0.09716,0,1,basic
5687,6136,5.712507009506226,19.65,46.67,0.1093,0,1,basic
5850,6352,7.4309070110321045,84.45,255.6,0.3878,0,1,basic
6662,6600,6.680983066558838,34.97,62.94,0.2152,0,1,basic
8161,8316,9.833744049072266,145.5,309.1,0.02505,0,1,basic
9242,10071,13.88896894454956,88.73,140.3,0.09509,0,1,basic
10568,10841,15.826503276824951,71.56,177.7,0.2044,0,1,basic
11228,10602,15.786895990371704,258.1,532.6,1.192,0,1,basic
12304,13103,35.87090086936951,82.83,175.2,0.5353,0,1,basic
15083,15789,33.34325623512268,214.1,381.6,0.5178,0,1,basic
16505,17379,36.96186184883118,107.3,287.4,0.2111,0,1,basic
17603,19231,43.37774896621704,131.6,160.5,0.5312,0,1,basic
23508,25925,83.74436688423157,196.5,320.8,16.28,0,1,basic
29678,33736,183.00880312919617,564.5,649.4,133.7,0,1,basic
29224,32984,133.19422221183777,195.1,195.9,1.068,0,1,basic
32983,35163,146.6818380355835,200.1,369.4,3.355,0,1,basic
39626,42575,204.71364617347717,147.0,162.8,0.8162,0,1,basic
