depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
13,17,0.008714914321899414,1.5,1.299,0.0005228,0,1,basic
13,17,0.009247064590454102,1.5,1.299,0.0002371,0,1,basic
5,8,0.007914066314697266,3.491,3.0,0.0002813,0,1,basic
21,18,0.011137008666992188,1.732,1.299,0.000405,0,1,basic
22,19,0.012268781661987305,3.937,3.354,0.0003837,0,1,basic
22,18,0.010920047760009766,2.5,2.121,0.0002148,0,1,basic
29,26,0.013653993606567383,2.165,2.487,0.0003747,0,1,basic
27,23,0.011275053024291992,1.581,1.5,0.0003004,0,1,basic
34,31,0.014454126358032227,1.732,2.598,0.0003749,0,1,basic
32,29,0.013757944107055664,4.387,5.612,0.0006599,0,1,basic
42,37,0.016596078872680664,3.674,2.487,0.01253,0,1,basic
49,54,0.016834020614624023,2.947,3.897,0.0009657,0,1,basic
43,37,0.01648998260498047,3.897,2.487,0.0006491,0,1,basic
55,50,0.01887798309326172,6.344,7.794,0.0004694,0,1,basic
54,46,0.018875837326049805,5.932,6.874,0.0003909,0,1,basic
51,43,0.01822519302368164,3.767,5.356,0.0006211,0,1,basic
49,40,0.01813030242919922,2.179,2.598,0.0006974,0,1,basic
54,44,0.016515731811523438,1.92,1.299,0.000827,0,1,basic
49,44,0.02037501335144043,4.717,5.356,0.0007191,0,1,basic
58,51,0.019760847091674805,9.206,11.02,0.001167,0,1,basic
47,45,0.01881098747253418,9.937,9.337,0.0005456,0,1,basic
47,41,0.020124197006225586,3.808,4.5,0.0008102,0,1,basic
59,51,0.020626068115234375,5.356,7.348,0.0003668,0,1,basic
68,56,0.02229785919189453,3.961,3.354,0.0008481,0,1,basic
76,66,0.026201963424682617,6.457,5.612,0.01508,0,1,basic
71,59,0.025589942932128906,1.92,2.487,0.001124,0,1,basic
72,58,0.02375197410583496,3.491,3.897,0.000927,0,1,basic
75,67,0.027336835861206055,8.378,10.92,0.0009862,0,1,basic
99,87,0.031710147857666016,6.042,6.874,0.001534,0,1,basic
93,78,0.040122270584106445,5.673,8.078,0.001803,0,1,basic
101,89,0.03833413124084473,4.975,6.708,0.0007516,0,1,basic
103,92,0.03482699394226074,15.97,19.94,0.001453,0,1,basic
107,95,0.037153005599975586,3.031,5.356,0.001711,0,1,basic
107,88,0.03433084487915039,3.269,3.269,0.0006929,0,1,basic
110,94,0.03784894943237305,7.822,12.73,0.0004232,0,1,basic
101,89,0.036010026931762695,6.745,5.356,0.001311,0,1,basic
127,111,0.04124188423156738,11.97,12.46,0.001977,0,1,basic
120,107,0.042723655700683594,6.833,8.617,0.001927,0,1,basic
129,125,0.05005002021789551,8.258,9.093,0.0008814,0,1,basic
130,113,0.04457902908325195,6.595,7.348,0.001249,0,1,basic
123,113,0.04557204246520996,8.786,4.918,0.001352,0,1,basic
156,145,0.0517888069152832,6.869,9.605,0.0003142,0,1,basic
