depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
7,11,0.008212089538574219,1.299,2.487,0.0006539,0,1,basic
7,11,0.008701324462890625,1.299,2.487,0.0003733,0,1,basic
11,17,0.008357763290405273,1.09,1.5,0.0003562,0,1,basic
28,24,0.012949943542480469,1.299,1.299,0.0005861,0,1,basic
30,28,0.023405790328979492,1.5,1.299,0.002535,0,1,basic
40,33,0.02988290786743164,0.0,0.0,0.01114,0,1,basic
36,35,0.0444788932800293,3.031,3.269,0.01333,0,1,basic
37,32,0.013484001159667969,1.299,1.299,0.0002036,0,1,basic
40,37,0.014961004257202148,0.0,0.0,0.01247,0,1,basic
42,41,0.015436887741088867,1.225,1.299,0.0003373,0,1,basic
64,55,0.01743793487548828,0.866,0.0,0.0003454,0,1,basic
51,63,0.01702284812927246,3.571,2.487,0.0002581,0,1,basic
65,55,0.018832921981811523,0.8292,0.0,0.0003834,0,1,basic
63,53,0.019605636596679688,4.265,4.743,0.0008799,0,1,basic
63,52,0.01858210563659668,2.915,3.897,0.0004683,0,1,basic
64,55,0.018294095993041992,2.5,1.5,0.0002225,0,1,basic
64,55,0.019866228103637695,2.121,1.5,0.0005419,0,1,basic
69,56,0.01912975311279297,4.0,3.0,0.0007914,0,1,basic
63,56,0.020161867141723633,3.269,2.121,0.0005655,0,1,basic
72,63,0.020835161209106445,0.433,1.299,0.01404,0,1,basic
69,63,0.02230691909790039,3.5,3.0,0.0009446,0,1,basic
57,47,0.021190166473388672,7.259,6.364,0.002669,0,1,basic
69,63,0.021930932998657227,3.082,1.5,0.003922,0,1,basic
109,89,0.024495840072631836,0.0,0.0,0.0007298,0,1,basic
97,87,0.024515151977539062,5.196,2.487,0.001231,0,1,basic
98,83,0.025270938873291016,0.0,1.5,0.0009631,0,1,basic
96,82,0.02465987205505371,2.5,3.0,0.00115,0,1,basic
108,94,0.02516770362854004,3.031,4.918,0.01522,0,1,basic
122,117,0.0317378044128418,2.121,2.598,0.001072,0,1,basic
126,117,0.031362056732177734,3.742,3.897,0.0001221,0,1,basic
137,125,0.03359270095825195,1.118,3.269,0.0009043,0,1,basic
126,116,0.030829906463623047,3.464,3.897,0.000945,0,1,basic
125,110,0.03275299072265625,5.196,7.794,0.0003641,0,1,basic
131,109,0.031271934509277344,1.803,4.975,0.0002174,0,1,basic
130,121,0.033180952072143555,2.179,3.897,0.0005376,0,1,basic
135,110,0.03130292892456055,1.732,3.354,0.0008935,0,1,basic
156,138,0.03688621520996094,3.345,3.269,0.001205,0,1,basic
147,134,0.036966800689697266,4.323,2.121,0.001026,0,1,basic
161,170,0.0404210090637207,3.0,8.746,0.0005737,0,1,basic
155,149,0.03931593894958496,2.915,4.437,0.0006768,0,1,basic
161,152,0.03871321678161621,3.767,2.487,0.01646,0,1,basic
176,178,0.045042991638183594,1.299,2.598,0.0008103,0,1,basic
213,225,0.06143784523010254,9.909,9.836,0.00246,0,1,basic
189,184,0.04653787612915039,2.861,6.0,0.0007291,0,1,basic
200,352,0.10649585723876953,24.06,16.35,0.02183,0,1,basic
123,219,0.09256505966186523,23.18,12.46,0.002648,0,1,basic
200,200,0.048250675201416016,4.472,7.649,0.0006128,0,1,basic
217,189,0.05025219917297363,2.739,5.761,0.01595,0,1,basic
253,299,0.08900189399719238,33.8,23.72,0.002024,0,1,basic
70,90,0.14850997924804688,28.22,23.53,0.01351,0,1,basic
71,120,0.20516705513000488,25.02,52.37,0.02062,0,1,basic
122,222,0.21149015426635742,16.98,22.05,0.01627,0,1,basic
234,205,0.0571441650390625,2.5,11.32,0.001004,0,1,basic
314,389,0.11245608329772949,22.66,12.09,0.001481,0,1,basic
258,236,0.1014401912689209,3.354,8.584,0.01752,0,1,basic
269,254,0.06754112243652344,4.918,12.37,0.03756,0,1,basic
268,262,0.09190511703491211,2.046,11.69,0.01203,0,1,basic
272,258,0.06665205955505371,2.861,7.036,0.001303,0,1,basic
290,255,0.0652461051940918,5.431,4.5,0.001251,0,1,basic
301,273,0.06839513778686523,3.491,7.155,0.001025,0,1,basic
300,282,0.0762338638305664,3.905,5.761,0.001981,0,1,basic
328,389,0.11411809921264648,40.57,17.54,0.01594,0,1,basic
306,279,0.06975889205932617,0.866,6.495,0.009128,0,1,basic
324,279,0.07432222366333008,4.085,12.55,0.01519,0,1,basic
329,337,0.0828859806060791,6.633,12.55,0.003028,0,1,basic
314,473,0.12346911430358887,15.91,9.0,0.004751,0,1,basic
