depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
37,32,0.013682842254638672,1.299,1.299,0.004225,0,1,basic
109,89,0.023617029190063477,0.0,0.0,0.00104,0,1,basic
40,33,0.012378931045532227,0.0,0.0,0.0004369,0,1,basic
69,56,0.018615007400512695,4.0,3.0,0.0001545,0,1,basic
65,55,0.018399953842163086,0.8292,0.0,0.0001811,0,1,basic
98,83,0.0240018367767334,0.0,1.5,0.000995,0,1,basic
64,55,0.01837921142578125,0.866,0.0,0.0007707,0,1,basic
96,82,0.024225711822509766,2.5,3.0,0.000972,0,1,basic
420,387,0.09224510192871094,4.265,9.337,0.002158,0,1,basic
829,798,0.18666315078735352,6.946,27.0,0.09728,0,1,basic
234,205,0.05362200736999512,2.5,11.32,0.0006835,0,1,basic
324,279,0.07212996482849121,4.085,12.55,0.04321,0,1,basic
189,184,0.04580974578857422,2.861,6.0,0.0009451,0,1,basic
269,254,0.061395883560180664,4.918,12.37,0.0008065,0,1,basic
200,200,0.048091888427734375,4.472,7.649,0.00143,0,1,basic
258,236,0.05990099906921387,3.354,8.584,0.001458,0,1,basic
533,462,0.11580085754394531,8.955,24.5,0.002017,0,1,basic
176,178,0.04227495193481445,1.299,2.598,0.0004697,0,1,basic
301,273,0.06765198707580566,3.491,7.155,0.0009168,0,1,basic
290,255,0.06512093544006348,5.431,4.5,0.002149,0,1,basic
155,149,0.03905177116394043,2.915,4.437,0.0007942,0,1,basic
126,116,0.03051304817199707,3.464,3.897,0.04196,0,1,basic
125,110,0.03216099739074707,5.196,7.794,0.0005552,0,1,basic
30,28,0.012972116470336914,1.5,1.299,6.764e-05,0,1,basic
63,53,0.018366098403930664,4.265,4.743,0.001037,0,1,basic
63,52,0.018912076950073242,2.915,3.897,0.0003879,0,1,basic
457,429,0.0990760326385498,5.196,7.794,0.00166,0,1,basic
161,152,0.040325164794921875,3.767,2.487,0.001134,0,1,basic
97,87,0.024419069290161133,5.196,2.487,0.001228,0,1,basic
268,262,0.06197500228881836,2.046,11.69,0.0009049,0,1,basic
443,380,0.0939488410949707,6.164,21.04,0.0008755,0,1,basic
28,24,0.011469125747680664,1.299,1.299,0.000351,0,1,basic
64,55,0.01869797706604004,2.5,1.5,0.0003644,0,1,basic
36,35,0.013707160949707031,3.031,3.269,0.0004234,0,1,basic
63,56,0.01930689811706543,3.269,2.121,0.0006542,0,1,basic
72,63,0.020753860473632812,0.433,1.299,0.0006351,0,1,basic
135,110,0.03228592872619629,1.732,3.354,0.0007291,0,1,basic
131,109,0.030994176864624023,1.803,4.975,0.04144,0,1,basic
156,138,0.03615212440490723,3.345,3.269,0.0003106,0,1,basic
272,258,0.06292414665222168,2.861,7.036,0.0005923,0,1,basic
69,63,0.022402048110961914,3.5,3.0,0.0006983,0,1,basic
126,117,0.030711889266967773,3.742,3.897,0.0008624,0,1,basic
544,500,0.11958694458007812,4.085,12.55,0.001566,0,1,basic
306,279,0.16297197341918945,0.866,6.495,0.04135,0,1,basic
64,55,0.019129037857055664,2.121,1.5,0.0006362,0,1,basic
40,37,0.014168977737426758,0.0,0.0,0.0004925,0,1,basic
217,189,0.0508580207824707,2.739,5.761,0.0007671,0,1,basic
51,63,0.016996145248413086,3.571,2.487,0.0004054,0,1,basic
147,134,0.0377500057220459,4.323,2.121,0.0005968,0,1,basic
57,47,0.02029585838317871,7.259,6.364,0.007622,0,1,basic
300,282,0.06996822357177734,3.905,5.761,0.0006218,0,1,basic
42,41,0.01452779769897461,1.225,1.299,0.04235,0,1,basic
122,117,0.03093886375427246,2.121,2.598,0.000282,0,1,basic
69,63,0.021050214767456055,3.082,1.5,0.0004101,0,1,basic
108,94,0.025648117065429688,3.031,4.918,0.0006022,0,1,basic
7,11,0.008272886276245117,1.299,2.487,8.705e-05,0,1,basic
746,685,0.16128778457641602,13.1,29.27,0.04448,0,1,basic
961,934,0.2121729850769043,6.205,19.83,0.004262,0,1,basic
137,125,0.03270077705383301,1.118,3.269,0.0002153,0,1,basic
644,575,0.1361401081085205,10.42,23.67,0.002007,0,1,basic
1019,914,0.3267199993133545,15.5,57.0,0.04178,0,1,basic
834,781,0.2772819995880127,10.74,36.83,0.04023,0,1,basic
1436,1320,0.3263089656829834,13.55,22.15,0.03784,0,1,basic
422,397,0.09575915336608887,8.842,6.364,0.001057,0,1,basic
7,11,0.008595943450927734,1.299,2.487,0.0004947,0,1,basic
359,341,0.0830528736114502,5.068,8.584,0.002124,0,1,basic
409,381,0.09108614921569824,13.48,13.31,0.002591,0,1,basic
329,337,0.07858490943908691,6.633,12.55,0.00314,0,1,basic
638,605,0.14415574073791504,4.555,9.0,0.002401,0,1,basic
510,503,0.11419796943664551,3.269,16.21,0.001243,0,1,basic
443,406,0.10071420669555664,9.708,17.68,0.00305,0,1,basic
455,422,0.10768508911132812,10.11,34.03,0.003289,0,1,basic
1423,1302,0.43639183044433594,15.05,16.07,0.05303,0,1,basic
2560,2491,0.7262518405914307,12.74,71.01,0.04786,0,1,basic
441,412,0.09538507461547852,10.23,24.68,0.04809,0,1,basic
741,671,0.15902471542358398,5.068,29.35,0.004414,0,1,basic
11,17,0.008198976516723633,1.09,1.5,0.0006042,0,1,basic
456,464,0.10878396034240723,13.67,20.17,0.0422,0,1,basic
1898,1837,0.46701884269714355,10.18,87.28,0.05872,0,1,basic
850,907,0.21543407440185547,13.57,27.74,0.03886,0,1,basic
849,851,0.20136117935180664,10.0,30.04,0.005227,0,1,basic
12534,11967,5.362339735031128,30.83,470.5,0.2842,0,1,basic
130,121,0.033425092697143555,2.179,3.897,0.0005665,0,1,basic
1140,1089,0.2578399181365967,5.356,54.44,0.04289,0,1,basic
596,572,0.13174915313720703,3.897,12.09,0.001496,0,1,basic
522,527,0.12799692153930664,17.8,19.72,0.002408,0,1,basic
161,170,0.03933119773864746,3.0,8.746,0.0006671,0,1,basic
1165,1139,0.27882885932922363,10.3,37.43,0.00596,0,1,basic
