depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
40,35,0.014652729034423828,0.0,0.0,0.0008928,0,1,basic
109,89,0.0265958309173584,0.0,0.0,0.009528,0,1,basic
40,33,0.012775897979736328,0.0,0.0,0.0004133,0,1,basic
69,56,0.019518375396728516,0.0,0.0,0.0006749,0,1,basic
65,55,0.018822908401489258,0.5,0.0,0.0005073,0,1,basic
98,83,0.024033069610595703,1.299,2.598,0.0008847,0,1,basic
64,55,0.05239295959472656,0.0,0.0,0.01487,0,1,basic
96,79,0.024299144744873047,2.165,3.897,0.001455,0,1,basic
425,390,0.09320902824401855,0.433,1.5,0.0009178,0,1,basic
829,798,0.18750524520874023,4.093,43.8,0.01189,0,1,basic
233,217,0.057137250900268555,2.773,2.487,0.01469,0,1,basic
332,315,0.07549405097961426,6.833,6.833,0.0005213,0,1,basic
188,181,0.04618382453918457,4.062,2.121,0.0005342,0,1,basic
265,233,0.060862064361572266,3.631,9.605,0.001531,0,1,basic
204,203,0.04827594757080078,1.5,1.299,0.0006937,0,1,basic
263,242,0.05758309364318848,1.732,1.299,0.000877,0,1,basic
527,456,0.12236523628234863,11.36,12.37,0.002496,0,1,basic
173,175,0.043263912200927734,2.598,7.036,0.001219,0,1,basic
297,285,0.13602304458618164,3.269,8.617,0.02977,0,1,basic
290,258,0.06541204452514648,2.121,3.269,0.06607,0,1,basic
155,146,0.03833794593811035,3.832,3.269,0.0008104,0,1,basic
134,125,0.03293490409851074,0.0,2.598,0.0003741,0,1,basic
133,125,0.03330707550048828,2.0,1.5,0.0005752,0,1,basic
30,25,0.012391805648803711,0.0,1.299,0.0007064,0,1,basic
63,53,0.019548892974853516,4.062,4.975,0.0003335,0,1,basic
65,58,0.01925182342529297,2.487,3.897,0.0003206,0,1,basic
469,447,0.13507723808288574,1.299,20.78,0.01466,0,1,basic
161,152,0.04044914245605469,6.124,3.674,0.001044,0,1,basic
97,87,0.026524782180786133,4.437,2.487,0.0005129,0,1,basic
274,253,0.06212186813354492,1.639,7.794,0.0009267,0,1,basic
447,407,0.09635281562805176,5.545,13.08,0.001456,0,1,basic
28,24,0.012713909149169922,1.299,1.299,0.0005161,0,1,basic
64,55,0.018470287322998047,2.872,1.299,0.0004812,0,1,basic
36,32,0.01343393325805664,0.0,0.0,0.000605,0,1,basic
57,50,0.019659042358398438,6.26,6.833,0.005015,0,1,basic
64,54,0.019624948501586914,3.897,5.196,0.0008523,0,1,basic
135,110,0.030978918075561523,2.121,4.243,0.001015,0,1,basic
131,109,0.03063797950744629,1.92,2.121,0.0007778,0,1,basic
161,138,0.037896156311035156,1.225,3.897,0.0006442,0,1,basic
264,252,0.06330609321594238,7.89,5.356,9.052e-05,0,1,basic
67,57,0.019154787063598633,4.062,4.975,0.0009922,0,1,basic
126,117,0.032485246658325195,1.0,0.0,0.01377,0,1,basic
550,500,0.11902880668640137,1.5,15.07,0.01359,0,1,basic
303,279,0.06982183456420898,2.487,3.897,0.001319,0,1,basic
64,55,0.01935577392578125,2.121,1.5,0.0006476,0,1,basic
40,37,0.014787912368774414,3.464,2.598,0.0002936,0,1,basic
218,186,0.050444841384887695,3.0,7.036,0.0009154,0,1,basic
51,63,0.017427921295166016,1.732,1.299,0.0006196,0,1,basic
150,143,0.05655694007873535,3.674,2.487,0.02064,0,1,basic
57,47,0.1057579517364502,4.33,6.495,0.03568,0,1,basic
301,294,0.07129287719726562,3.775,10.26,0.01323,0,1,basic
42,44,0.0157010555267334,0.433,0.0,0.0004203,0,1,basic
125,117,0.03293800354003906,3.897,2.598,0.001428,0,1,basic
