depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
26,23,0.012056112289428711,1.299,1.299,0.004767,0,1,lookahead
72,59,0.023939132690429688,0.0,0.0,0.0003797,0,1,lookahead
26,21,0.011277914047241211,1.732,1.299,0.000231,0,1,lookahead
45,38,0.016524791717529297,1.479,0.0,0.0003939,0,1,lookahead
47,37,0.016667842864990234,2.598,3.354,0.0005143,0,1,lookahead
64,53,0.02298712730407715,0.0,0.0,0.0003199,0,1,lookahead
46,37,0.015694856643676758,2.947,3.354,0.000695,0,1,lookahead
69,55,0.022822141647338867,2.165,2.121,0.001088,0,1,lookahead
318,270,0.10223674774169922,3.112,2.598,0.0004913,0,1,lookahead
655,540,0.21900677680969238,4.867,9.808,0.0927,0,1,lookahead
178,154,0.06075692176818848,3.961,1.5,0.001435,0,1,lookahead
252,213,0.08700919151306152,1.658,2.121,0.002689,0,1,lookahead
144,115,0.04491090774536133,1.5,7.5,0.0009769,0,1,lookahead
209,173,0.06941413879394531,2.55,3.897,0.001456,0,1,lookahead
152,125,0.048729896545410156,5.932,3.269,0.001921,0,1,lookahead
197,164,0.06520915031433105,3.269,2.598,0.0006304,0,1,lookahead
411,342,0.23022222518920898,3.937,5.356,0.04192,0,1,lookahead
140,118,0.04436182975769043,3.031,0.0,0.000193,0,1,lookahead
225,183,0.07405996322631836,4.61,3.354,0.001078,0,1,lookahead
207,180,0.06923127174377441,3.536,3.897,0.001672,0,1,lookahead
114,104,0.03945517539978027,3.031,1.5,0.001331,0,1,lookahead
88,77,0.032827138900756836,1.225,1.299,0.04127,0,1,lookahead
90,77,0.03205084800720215,1.785,1.5,0.0008705,0,1,lookahead
23,19,0.01152491569519043,1.225,2.121,0.0004925,0,1,lookahead
45,41,0.018093109130859375,3.7,2.487,0.0003897,0,1,lookahead
48,37,0.017022132873535156,5.068,4.743,0.0006917,0,1,lookahead
331,294,0.11850094795227051,5.932,4.743,0.002273,0,1,lookahead
121,98,0.03881978988647461,2.236,1.5,0.0006604,0,1,lookahead
68,60,0.025424957275390625,4.637,3.0,0.0004003,0,1,lookahead
203,172,0.06854796409606934,0.5,2.487,0.001745,0,1,lookahead
331,272,0.1996769905090332,8.258,3.897,0.04065,0,1,lookahead
21,18,0.01056981086730957,1.299,1.299,0.0003245,0,1,lookahead
54,43,0.017270803451538086,3.279,2.487,0.0003249,0,1,lookahead
25,23,0.013025045394897461,1.785,1.5,0.0005642,0,1,lookahead
46,41,0.017756223678588867,4.5,6.185,0.001117,0,1,lookahead
53,45,0.019385099411010742,0.5,6.185,0.0007219,0,1,lookahead
103,89,0.033650875091552734,2.739,2.121,0.0006451,0,1,lookahead
95,76,0.032782793045043945,5.196,7.155,0.001043,0,1,lookahead
111,93,0.03946805000305176,3.202,3.0,0.0005161,0,1,lookahead
207,171,0.06849908828735352,4.437,3.269,0.001654,0,1,lookahead
47,42,0.017508983612060547,2.693,2.487,0.0006872,0,1,lookahead
86,75,0.030717849731445312,2.385,1.299,0.001046,0,1,lookahead
414,356,0.13892889022827148,11.3,4.975,0.001001,0,1,lookahead
231,195,0.0793001651763916,0.433,0.0,0.0007743,0,1,lookahead
48,43,0.019327163696289062,3.112,2.121,0.0006946,0,1,lookahead
31,31,0.013019084930419922,1.225,0.0,0.000221,0,1,lookahead
154,126,0.055242061614990234,6.61,4.975,0.001408,0,1,lookahead
40,39,0.014906167984008789,1.118,1.5,0.0002735,0,1,lookahead
116,98,0.037489891052246094,2.291,0.0,0.001598,0,1,lookahead
46,38,0.01708388328552246,3.317,3.354,0.04241,0,1,lookahead
227,195,0.07516813278198242,8.814,0.0,0.001305,0,1,lookahead
33,32,0.013306140899658203,7.661,7.794,0.0009734,0,1,lookahead
85,75,0.030174970626831055,5.629,1.299,0.0002082,0,1,lookahead
47,42,0.018616914749145508,7.382,4.918,0.0006799,0,1,lookahead
82,67,0.026714086532592773,5.309,7.462,0.000542,0,1,lookahead
13,17,0.008785247802734375,3.269,2.487,0.0002163,0,1,lookahead
570,490,0.1905381679534912,1.785,2.487,0.005147,0,1,lookahead
745,616,0.22937798500061035,18.74,26.78,0.01004,0,1,lookahead
86,77,0.033032894134521484,3.202,2.598,0.00587,0,1,lookahead
487,410,0.16019892692565918,6.869,3.269,0.0426,0,1,lookahead
789,671,0.25832390785217285,7.141,19.37,0.04423,0,1,lookahead
645,556,0.20181918144226074,9.76,10.89,0.005161,0,1,lookahead
1097,915,0.43618083000183105,42.27,32.34,0.0463,0,1,lookahead
327,280,0.10395693778991699,9.028,9.808,0.006428,0,1,lookahead
13,17,0.0084228515625,3.269,2.487,0.0001041,0,1,lookahead
264,242,0.08961296081542969,4.95,4.5,0.001522,0,1,lookahead
320,288,0.20793914794921875,4.815,7.794,0.04467,0,1,lookahead
253,217,0.08107686042785645,5.701,4.437,0.002844,0,1,lookahead
490,446,0.16975688934326172,2.121,5.196,0.004027,0,1,lookahead
409,341,0.13432979583740234,4.387,2.598,0.04459,0,1,lookahead
348,313,0.11545085906982422,2.681,1.299,0.001797,0,1,lookahead
363,329,0.11860084533691406,1.225,1.5,0.002006,0,1,lookahead
1096,918,0.3450591564178467,42.63,36.77,0.05618,0,1,lookahead
1984,1729,0.7403500080108643,11.76,29.88,0.04819,0,1,lookahead
328,292,0.11077308654785156,6.837,5.356,0.001459,0,1,lookahead
574,482,0.17514801025390625,10.73,6.833,0.0454,0,1,lookahead
5,5,0.007072925567626953,2.487,3.354,0.0002033,0,1,lookahead
352,314,0.11974596977233887,5.449,4.5,0.0008732,0,1,lookahead
1510,1342,0.5069789886474609,5.068,23.67,0.05206,0,1,lookahead
655,577,0.2225170135498047,11.11,13.81,0.002859,0,1,lookahead
707,605,0.2266838550567627,2.385,8.318,0.04915,0,1,lookahead
9940,8862,3.653040885925293,54.91,126.2,0.09254,0,1,lookahead
96,91,0.03594708442687988,4.969,3.269,0.00103,0,1,lookahead
859,732,0.28432488441467285,32.48,34.27,0.04128,0,1,lookahead
447,407,0.15135693550109863,3.082,2.487,0.002225,0,1,lookahead
413,383,0.1457362174987793,10.26,15.73,0.002162,0,1,lookahead
116,101,0.041787147521972656,2.586,4.5,0.0006051,0,1,lookahead
920,830,0.3063211441040039,7.462,23.18,0.037,0,1,lookahead
5616,4812,2.0346601009368896,12.36,24.05,0.04492,0,1,lookahead
819,724,0.2644691467285156,9.364,10.61,0.006427,0,1,lookahead
876,808,0.2967228889465332,46.02,46.64,0.06268,0,1,lookahead
149,174,0.07043313980102539,5.932,9.247,0.003385,0,1,lookahead
36126,33571,12.96347689628601,76.02,373.4,0.1023,0,1,lookahead
116430,111173,42.983798027038574,120.0,66.98,0.4733,0,1,lookahead
1814,1590,0.6432070732116699,56.02,75.43,0.006973,0,1,lookahead
33751,37474,12.933118343353271,156.6,807.8,0.2016,0,1,lookahead
