depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
10,30,0.00225830078125,0,0,0,0,1,1,sabre_025,set_layout
26,78,0.0038290023803710938,0,0,0,0,1,1,sabre_025,set_layout
42,126,0.005403041839599609,0,0,0,0,1,1,sabre_025,set_layout
55,174,0.007505178451538086,0,0,0,0,1,1,sabre_025,set_layout
68,222,0.009804010391235352,0,0,0,0,1,1,sabre_025,set_layout
81,270,0.01192021369934082,0,0,0,0,1,1,sabre_025,set_layout
94,318,0.013810873031616211,0,0,0,0,1,1,sabre_025,set_layout
110,366,0.016458988189697266,0,0,0,0,1,1,sabre_025,set_layout
126,414,0.01821589469909668,0,0,0,0,1,1,sabre_025,set_layout
145,462,0.020190954208374023,0,0,0,0,1,1,sabre_025,set_layout
161,510,0.022716045379638672,0,0,0,0,1,1,sabre_025,set_layout
180,558,0.02470993995666504,0,0,0,0,1,1,sabre_025,set_layout
199,606,0.02625107765197754,0,0,0,0,1,1,sabre_025,set_layout
215,654,0.02807307243347168,0,0,0,0,1,1,sabre_025,set_layout
240,702,0.030063152313232422,0,0,0,0,1,1,sabre_025,set_layout
252,729,0.03217887878417969,0,0,0,0,1,1,sabre_025,set_layout
265,753,0.03332400321960449,0,0,0,0,1,1,sabre_025,set_layout
286,783,0.036086082458496094,0,0,0,0,1,1,sabre_025,set_layout
305,813,0.036942243576049805,0,0,0,0,1,1,sabre_025,set_layout
315,834,0.04234790802001953,0,0,0,0,1,1,sabre_025,set_layout
328,861,0.03936624526977539,0,0,0,0,1,1,sabre_025,set_layout
341,885,0.04085421562194824,0,0,0,0,1,1,sabre_025,set_layout
351,906,0.043009042739868164,0,0,0,0,1,1,sabre_025,set_layout
373,936,0.1048879623413086,0,0,0,0,1,1,sabre_025,set_layout
386,963,0.04424285888671875,0,0,0,0,1,1,sabre_025,set_layout
402,987,0.04788684844970703,0,0,0,0,1,1,sabre_025,set_layout
418,1017,0.04746603965759277,0,0,0,0,1,1,sabre_025,set_layout
428,1041,0.048338890075683594,0,0,0,0,1,1,sabre_025,set_layout
438,1065,0.05312013626098633,0,0,0,0,1,1,sabre_025,set_layout
448,1089,0.06086993217468262,0,0,0,0,1,1,sabre_025,set_layout
458,1113,0.054495811462402344,0,0,0,0,1,1,sabre_025,set_layout
468,1137,0.05675387382507324,0,0,0,0,1,1,sabre_025,set_layout
478,1161,0.054843902587890625,0,0,0,0,1,1,sabre_025,set_layout
488,1185,0.05838513374328613,0,0,0,0,1,1,sabre_025,set_layout
498,1209,0.05918526649475098,0,0,0,0,1,1,sabre_025,set_layout
508,1233,0.06316494941711426,0,0,0,0,1,1,sabre_025,set_layout
518,1257,0.06054186820983887,0,0,0,0,1,1,sabre_025,set_layout
528,1281,0.06368160247802734,0,0,0,0,1,1,sabre_025,set_layout
538,1305,0.06442499160766602,0,0,0,0,1,1,sabre_025,set_layout
548,1329,0.06820487976074219,0,0,0,0,1,1,sabre_025,set_layout
558,1353,0.0660858154296875,0,0,0,0,1,1,sabre_025,set_layout
568,1377,0.06989574432373047,0,0,0,0,1,1,sabre_025,set_layout
578,1401,0.06993889808654785,0,0,0,0,1,1,sabre_025,set_layout
588,1425,0.07244491577148438,0,0,0,0,1,1,sabre_025,set_layout
598,1449,0.07541990280151367,0,0,0,0,1,1,sabre_025,set_layout
608,1473,0.0749659538269043,0,0,0,0,1,1,sabre_025,set_layout
618,1497,0.0736849308013916,0,0,0,0,1,1,sabre_025,set_layout
628,1521,0.23292303085327148,0,0,0,0,1,1,sabre_025,set_layout
638,1545,0.07903909683227539,0,0,0,0,1,1,sabre_025,set_layout
648,1569,0.08097195625305176,0,0,0,0,1,1,sabre_025,set_layout
658,1593,0.08208417892456055,0,0,0,0,1,1,sabre_025,set_layout
668,1617,0.08249378204345703,0,0,0,0,1,1,sabre_025,set_layout
678,1641,0.08424592018127441,0,0,0,0,1,1,sabre_025,set_layout
688,1665,0.08529400825500488,0,0,0,0,1,1,sabre_025,set_layout
698,1689,0.08680009841918945,0,0,0,0,1,1,sabre_025,set_layout
708,1713,0.0888819694519043,0,0,0,0,1,1,sabre_025,set_layout
718,1737,0.09188103675842285,0,0,0,0,1,1,sabre_025,set_layout
728,1761,0.09183406829833984,0,0,0,0,1,1,sabre_025,set_layout
738,1785,0.12517285346984863,0,0,0,0,1,1,sabre_025,set_layout
748,1809,0.09293079376220703,0,0,0,0,1,1,sabre_025,set_layout
758,1833,0.09395718574523926,0,0,0,0,1,1,sabre_025,set_layout
768,1857,0.11736488342285156,0,0,0,0,1,1,sabre_025,set_layout
778,1881,0.09888672828674316,0,0,0,0,1,1,sabre_025,set_layout
788,1905,0.10043501853942871,0,0,0,0,1,1,sabre_025,set_layout
798,1929,0.10166501998901367,0,0,0,0,1,1,sabre_025,set_layout
808,1953,0.10362911224365234,0,0,0,0,1,1,sabre_025,set_layout
818,1977,0.10300111770629883,0,0,0,0,1,1,sabre_025,set_layout
