depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
13,30,0.013443231582641602,2.598,1.299,0.0009258,0,1,basic
23,42,0.023481130599975586,5.196,15.59,0.002441,0,1,basic
36,66,0.03119373321533203,7.794,25.98,0.004699,0,1,basic
49,90,0.03963279724121094,8.842,42.0,0.03153,0,1,basic
62,114,0.051162004470825195,18.49,44.77,0.01133,0,1,basic
75,138,0.06661677360534668,0.0,0.0,0.009636,0,1,basic
88,162,0.07488679885864258,16.89,67.55,0.01741,0,1,basic
101,186,0.08853769302368164,6.495,2.598,0.01796,0,1,basic
114,210,0.12262582778930664,0.0,0.0,0.01499,0,1,basic
127,234,0.1206052303314209,25.98,98.73,0.03209,0,1,basic
140,258,0.1366269588470459,0.0,0.0,0.02296,0,1,basic
153,282,0.1493666172027588,36.37,119.5,0.04362,0,1,basic
166,306,0.16250300407409668,0.0,0.0,0.00631,0,1,basic
179,330,0.18070602416992188,0.0,0.0,0.007668,0,1,basic
192,354,0.19710087776184082,0.0,0.0,0.006664,0,1,basic
205,378,0.20955801010131836,0.0,0.0,0.01623,0,1,basic
218,402,0.2264997959136963,0.0,0.0,0.01691,0,1,basic
231,426,0.24246001243591309,0.0,0.0,0.01152,0,1,basic
244,450,0.26030993461608887,0.0,0.0,0.01797,0,1,basic
257,474,0.27942991256713867,0.0,0.0,0.02909,0,1,basic
270,498,0.3057882785797119,0.0,0.0,0.03391,0,1,basic
283,522,0.3222489356994629,0.0,0.0,0.02481,0,1,basic
296,546,0.34263086318969727,0.0,0.0,0.04338,0,1,basic
309,570,0.3490447998046875,0.0,0.0,0.04784,0,1,basic
322,594,0.366213321685791,0.0,0.0,0.01779,0,1,basic
335,618,0.3835928440093994,0.0,0.0,0.02923,0,1,basic
348,642,0.4052298069000244,0.0,0.0,0.0136,0,1,basic
361,666,0.5146629810333252,0.0,0.0,0.04192,0,1,basic
374,690,0.4484596252441406,0.0,0.0,0.05357,0,1,basic
387,714,0.48065614700317383,0.0,0.0,0.02122,0,1,basic
400,738,0.4943368434906006,0.0,0.0,0.01761,0,1,basic
413,762,0.5083460807800293,0.0,0.0,0.03395,0,1,basic
426,786,0.5317251682281494,0.0,0.0,0.05518,0,1,basic
439,810,0.5573129653930664,0.0,0.0,0.03663,0,1,basic
452,834,0.5761289596557617,0.0,0.0,0.01749,0,1,basic
465,858,0.672339916229248,0.0,0.0,0.039,0,1,basic
478,882,0.6200251579284668,0.0,0.0,0.02275,0,1,basic
491,906,0.6375207901000977,0.0,0.0,0.02592,0,1,basic
504,930,0.6610162258148193,0.0,0.0,0.02328,0,1,basic
517,954,0.6908836364746094,0.0,0.0,0.02385,0,1,basic
530,978,0.7079019546508789,0.0,0.0,0.02509,0,1,basic
543,1002,0.736914873123169,0.0,0.0,0.02954,0,1,basic
556,1026,0.7617487907409668,0.0,0.0,0.01648,0,1,basic
569,1050,0.8543691635131836,0.0,0.0,0.04083,0,1,basic
582,1074,0.8831732273101807,0.0,0.0,0.04057,0,1,basic
595,1098,0.8282308578491211,0.0,0.0,0.02197,0,1,basic
608,1122,0.8518390655517578,0.0,0.0,0.05732,0,1,basic
621,1146,0.8954720497131348,0.0,0.0,0.02687,0,1,basic
634,1170,0.9778518676757812,0.0,0.0,0.03987,0,1,basic
647,1194,0.9197282791137695,0.0,0.0,0.05556,0,1,basic
660,1218,0.9670848846435547,0.0,0.0,0.01973,0,1,basic
673,1242,1.1124680042266846,0.0,0.0,0.05618,0,1,basic
686,1266,1.0097570419311523,0.0,0.0,0.03167,0,1,basic
699,1290,1.1867539882659912,0.0,0.0,0.067,0,1,basic
712,1314,1.0867230892181396,0.0,0.0,0.03541,0,1,basic
725,1338,1.0870039463043213,0.0,0.0,0.0523,0,1,basic
738,1362,1.1490771770477295,0.0,0.0,0.02664,0,1,basic
