depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
10,30,0.0024330615997314453,0,0,0,0,1,1.1,sabre_025_crit,set_layout
26,78,0.0036039352416992188,0,0,0,0,1,1.1,sabre_025_crit,set_layout
45,126,0.005676984786987305,0,0,0,0,1,1.1,sabre_025_crit,set_layout
67,174,0.007840871810913086,0,0,0,0,1,1.1,sabre_025_crit,set_layout
83,222,0.026414871215820312,0,0,0,0,1,1.1,sabre_025_crit,set_layout
96,270,0.013784170150756836,0,0,0,0,1,1.1,sabre_025_crit,set_layout
112,318,0.014557123184204102,0,0,0,0,1,1.1,sabre_025_crit,set_layout
128,366,0.017162084579467773,0,0,0,0,1,1.1,sabre_025_crit,set_layout
141,414,0.018815994262695312,0,0,0,0,1,1.1,sabre_025_crit,set_layout
157,462,0.020521163940429688,0,0,0,0,1,1.1,sabre_025_crit,set_layout
173,510,0.023927927017211914,0,0,0,0,1,1.1,sabre_025_crit,set_layout
186,558,0.02553868293762207,0,0,0,0,1,1.1,sabre_025_crit,set_layout
202,606,0.0270998477935791,0,0,0,0,1,1.1,sabre_025_crit,set_layout
215,654,0.030643224716186523,0,0,0,0,1,1.1,sabre_025_crit,set_layout
231,702,0.03247499465942383,0,0,0,0,1,1.1,sabre_025_crit,set_layout
247,750,0.03422689437866211,0,0,0,0,1,1.1,sabre_025_crit,set_layout
269,798,0.03825497627258301,0,0,0,0,1,1.1,sabre_025_crit,set_layout
285,846,0.04123067855834961,0,0,0,0,1,1.1,sabre_025_crit,set_layout
301,894,0.04278302192687988,0,0,0,0,1,1.1,sabre_025_crit,set_layout
317,942,0.04444599151611328,0,0,0,0,1,1.1,sabre_025_crit,set_layout
339,990,0.04749488830566406,0,0,0,0,1,1.1,sabre_025_crit,set_layout
352,1038,0.05099225044250488,0,0,0,0,1,1.1,sabre_025_crit,set_layout
368,1086,0.05304098129272461,0,0,0,0,1,1.1,sabre_025_crit,set_layout
387,1134,0.056668758392333984,0,0,0,0,1,1.1,sabre_025_crit,set_layout
403,1182,0.05793428421020508,0,0,0,0,1,1.1,sabre_025_crit,set_layout
419,1230,0.06115293502807617,0,0,0,0,1,1.1,sabre_025_crit,set_layout
438,1278,0.06400728225708008,0,0,0,0,1,1.1,sabre_025_crit,set_layout
451,1326,0.16537189483642578,0,0,0,0,1,1.1,sabre_025_crit,set_layout
467,1374,0.06774306297302246,0,0,0,0,1,1.1,sabre_025_crit,set_layout
489,1422,0.07304596900939941,0,0,0,0,1,1.1,sabre_025_crit,set_layout
511,1470,0.07382988929748535,0,0,0,0,1,1.1,sabre_025_crit,set_layout
524,1518,0.07719874382019043,0,0,0,0,1,1.1,sabre_025_crit,set_layout
540,1566,0.07677483558654785,0,0,0,0,1,1.1,sabre_025_crit,set_layout
559,1614,0.08009600639343262,0,0,0,0,1,1.1,sabre_025_crit,set_layout
587,1662,0.08472919464111328,0,0,0,0,1,1.1,sabre_025_crit,set_layout
603,1710,0.08478093147277832,0,0,0,0,1,1.1,sabre_025_crit,set_layout
619,1758,0.08655714988708496,0,0,0,0,1,1.1,sabre_025_crit,set_layout
638,1806,0.09065413475036621,0,0,0,0,1,1.1,sabre_025_crit,set_layout
657,1854,0.09615111351013184,0,0,0,0,1,1.1,sabre_025_crit,set_layout
670,1902,0.09775114059448242,0,0,0,0,1,1.1,sabre_025_crit,set_layout
697,1950,0.10528111457824707,0,0,0,0,1,1.1,sabre_025_crit,set_layout
717,1986,0.10142183303833008,0,0,0,0,1,1.1,sabre_025_crit,set_layout
730,2016,0.10422611236572266,0,0,0,0,1,1.1,sabre_025_crit,set_layout
740,2040,0.17362213134765625,0,0,0,0,1,1.1,sabre_025_crit,set_layout
750,2064,0.10942220687866211,0,0,0,0,1,1.1,sabre_025_crit,set_layout
760,2088,0.1398470401763916,0,0,0,0,1,1.1,sabre_025_crit,set_layout
770,2112,0.11291122436523438,0,0,0,0,1,1.1,sabre_025_crit,set_layout
780,2136,0.11208868026733398,0,0,0,0,1,1.1,sabre_025_crit,set_layout
790,2160,0.11598634719848633,0,0,0,0,1,1.1,sabre_025_crit,set_layout
800,2184,0.11506795883178711,0,0,0,0,1,1.1,sabre_025_crit,set_layout
