depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
7,30,0.002591848373413086,0,0,0,0,1,1,sabre_025_depth,set_layout
17,78,0.004090309143066406,0,0,0,0,1,1,sabre_025_depth,set_layout
27,126,0.006309986114501953,0,0,0,0,1,1,sabre_025_depth,set_layout
37,174,0.008630037307739258,0,0,0,0,1,1,sabre_025_depth,set_layout
47,222,0.01096796989440918,0,0,0,0,1,1,sabre_025_depth,set_layout
57,270,0.012997150421142578,0,0,0,0,1,1,sabre_025_depth,set_layout
67,318,0.04802107810974121,0,0,0,0,1,1,sabre_025_depth,set_layout
77,366,0.018328189849853516,0,0,0,0,1,1,sabre_025_depth,set_layout
87,414,0.020151138305664062,0,0,0,0,1,1,sabre_025_depth,set_layout
97,462,0.0233461856842041,0,0,0,0,1,1,sabre_025_depth,set_layout
107,510,0.025300025939941406,0,0,0,0,1,1,sabre_025_depth,set_layout
117,558,0.027912139892578125,0,0,0,0,1,1,sabre_025_depth,set_layout
127,606,0.031343936920166016,0,0,0,0,1,1,sabre_025_depth,set_layout
137,654,0.03245210647583008,0,0,0,0,1,1,sabre_025_depth,set_layout
147,702,0.03492307662963867,0,0,0,0,1,1,sabre_025_depth,set_layout
157,750,0.03796577453613281,0,0,0,0,1,1,sabre_025_depth,set_layout
167,798,0.04339098930358887,0,0,0,0,1,1,sabre_025_depth,set_layout
177,846,0.04448509216308594,0,0,0,0,1,1,sabre_025_depth,set_layout
187,894,0.04623699188232422,0,0,0,0,1,1,sabre_025_depth,set_layout
197,942,0.0493159294128418,0,0,0,0,1,1,sabre_025_depth,set_layout
207,990,0.08959794044494629,0,0,0,0,1,1,sabre_025_depth,set_layout
217,1038,0.05357623100280762,0,0,0,0,1,1,sabre_025_depth,set_layout
227,1086,0.05823993682861328,0,0,0,0,1,1,sabre_025_depth,set_layout
237,1134,0.06380486488342285,0,0,0,0,1,1,sabre_025_depth,set_layout
247,1182,0.08458971977233887,0,0,0,0,1,1,sabre_025_depth,set_layout
257,1230,0.06653428077697754,0,0,0,0,1,1,sabre_025_depth,set_layout
267,1278,0.06832695007324219,0,0,0,0,1,1,sabre_025_depth,set_layout
277,1326,0.07252120971679688,0,0,0,0,1,1,sabre_025_depth,set_layout
287,1374,0.07523107528686523,0,0,0,0,1,1,sabre_025_depth,set_layout
297,1422,0.0767819881439209,0,0,0,0,1,1,sabre_025_depth,set_layout
307,1470,0.08208489418029785,0,0,0,0,1,1,sabre_025_depth,set_layout
317,1518,0.08248400688171387,0,0,0,0,1,1,sabre_025_depth,set_layout
327,1566,0.08527493476867676,0,0,0,0,1,1,sabre_025_depth,set_layout
337,1614,0.08839607238769531,0,0,0,0,1,1,sabre_025_depth,set_layout
347,1662,0.09113407135009766,0,0,0,0,1,1,sabre_025_depth,set_layout
357,1710,0.14569497108459473,0,0,0,0,1,1,sabre_025_depth,set_layout
367,1758,0.09726309776306152,0,0,0,0,1,1,sabre_025_depth,set_layout
377,1806,0.18776893615722656,0,0,0,0,1,1,sabre_025_depth,set_layout
387,1854,0.10473084449768066,0,0,0,0,1,1,sabre_025_depth,set_layout
397,1902,0.1058962345123291,0,0,0,0,1,1,sabre_025_depth,set_layout
407,1950,0.1096961498260498,0,0,0,0,1,1,sabre_025_depth,set_layout
417,1998,0.11344194412231445,0,0,0,0,1,1,sabre_025_depth,set_layout
427,2046,0.1231081485748291,0,0,0,0,1,1,sabre_025_depth,set_layout
437,2094,0.12633299827575684,0,0,0,0,1,1,sabre_025_depth,set_layout
447,2142,0.12430286407470703,0,0,0,0,1,1,sabre_025_depth,set_layout
457,2190,0.12771201133728027,0,0,0,0,1,1,sabre_025_depth,set_layout
467,2238,0.13099288940429688,0,0,0,0,1,1,sabre_025_depth,set_layout
477,2286,0.13294720649719238,0,0,0,0,1,1,sabre_025_depth,set_layout
487,2334,0.18291711807250977,0,0,0,0,1,1,sabre_025_depth,set_layout
497,2382,0.13803410530090332,0,0,0,0,1,1,sabre_025_depth,set_layout
507,2430,0.1403641700744629,0,0,0,0,1,1,sabre_025_depth,set_layout
517,2478,0.1485118865966797,0,0,0,0,1,1,sabre_025_depth,set_layout
527,2526,0.23321914672851562,0,0,0,0,1,1,sabre_025_depth,set_layout
537,2574,0.1575760841369629,0,0,0,0,1,1,sabre_025_depth,set_layout
547,2622,0.16105866432189941,0,0,0,0,1,1,sabre_025_depth,set_layout
557,2670,0.2122488021850586,0,0,0,0,1,1,sabre_025_depth,set_layout
