depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
16,24,0.0016109943389892578,2.598,0.0,0.0001233,0,1,lookahead
29,48,0.0025191307067871094,5.196,1.299,0.0001239,0,1,lookahead
48,72,0.0036830902099609375,1.5,0.0,5.718e-05,0,1,lookahead
64,96,0.005588054656982422,0.0,0.0,0.0001228,0,1,lookahead
77,117,0.0064618587493896484,3.674,2.487,0.0001288,0,1,lookahead
93,144,0.00734710693359375,1.5,0.0,0.0002325,0,1,lookahead
109,168,0.00904393196105957,0.0,0.0,0.000142,0,1,lookahead
122,189,0.010019779205322266,3.269,2.121,0.0002595,0,1,lookahead
138,216,0.011802911758422852,1.299,0.0,0.0002003,0,1,lookahead
154,240,0.01267385482788086,1.299,0.0,0.000149,0,1,lookahead
167,261,0.013836860656738281,2.487,2.487,0.0002133,0,1,lookahead
183,288,0.015413999557495117,1.299,0.0,0.0002346,0,1,lookahead
199,312,0.016275882720947266,1.5,0.0,0.0005288,0,1,lookahead
212,333,0.01888298988342285,4.5,3.0,0.0004846,0,1,lookahead
231,360,0.019080162048339844,0.0,0.0,0.000467,0,1,lookahead
244,384,0.020749807357788086,2.487,1.299,9.099e-05,0,1,lookahead
260,408,0.022081851959228516,2.487,1.5,0.0003638,0,1,lookahead
273,432,0.02279806137084961,1.299,0.0,0.0003712,0,1,lookahead
289,456,0.0247499942779541,2.121,1.5,0.0208,0,1,lookahead
302,477,0.025355100631713867,2.598,2.598,0.0005476,0,1,lookahead
318,504,0.027453899383544922,1.5,0.0,0.0005028,0,1,lookahead
334,528,0.028543949127197266,1.5,1.299,0.001683,0,1,lookahead
347,549,0.029446840286254883,3.897,2.598,0.0006132,0,1,lookahead
363,576,0.03262686729431152,1.5,0.0,0.001464,0,1,lookahead
379,600,0.03403115272521973,1.299,1.299,0.0004827,0,1,lookahead
392,621,0.033650875091552734,2.487,2.487,0.001358,0,1,lookahead
408,648,0.035598039627075195,1.5,0.0,0.0004314,0,1,lookahead
424,672,0.03713202476501465,1.299,0.0,0.005202,0,1,lookahead
437,693,0.03788113594055176,4.5,3.0,0.000628,0,1,lookahead
453,720,0.03797125816345215,1.299,0.0,0.001704,0,1,lookahead
469,744,0.04144287109375,1.5,0.0,0.0006246,0,1,lookahead
482,765,0.04229903221130371,1.5,1.5,0.0007272,0,1,lookahead
501,792,0.042414188385009766,0.0,0.0,0.0003969,0,1,lookahead
514,816,0.04471778869628906,2.487,1.299,0.0002611,0,1,lookahead
527,837,0.09540319442749023,2.487,2.487,0.02125,0,1,lookahead
543,864,0.045400142669677734,1.5,0.0,0.0007431,0,1,lookahead
559,888,0.04834413528442383,1.5,0.0,0.0005732,0,1,lookahead
572,909,0.05081796646118164,3.897,2.598,0.0006935,0,1,lookahead
588,936,0.05178213119506836,1.5,0.0,0.000914,0,1,lookahead
604,960,0.05256080627441406,0.0,0.0,0.0007812,0,1,lookahead
617,981,0.05315804481506348,0.0,0.0,0.0004663,0,1,lookahead
633,1008,0.054300785064697266,1.299,0.0,0.0004614,0,1,lookahead
