depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
10,30,0.0023088455200195312,0,0,0,0,1,1,sabre_025_extended,set_layout
23,78,0.003803730010986328,0,0,0,0,1,1,sabre_025_extended,set_layout
42,126,0.006106853485107422,0,0,0,0,1,1,sabre_025_extended,set_layout
61,174,0.008069038391113281,0,0,0,0,1,1,sabre_025_extended,set_layout
74,222,0.010133028030395508,0,0,0,0,1,1,sabre_025_extended,set_layout
93,270,0.012453794479370117,0,0,0,0,1,1,sabre_025_extended,set_layout
117,291,0.014152765274047852,0,0,0,0,1,1,sabre_025_extended,set_layout
119,312,0.015484094619750977,0,0,0,0,1,1,sabre_025_extended,set_layout
138,336,0.016623258590698242,0,0,0,0,1,1,sabre_025_extended,set_layout
151,363,0.017589092254638672,0,0,0,0,1,1,sabre_025_extended,set_layout
158,381,0.01996016502380371,0,0,0,0,1,1,sabre_025_extended,set_layout
171,408,0.020596981048583984,0,0,0,0,1,1,sabre_025_extended,set_layout
184,432,0.021908044815063477,0,0,0,0,1,1,sabre_025_extended,set_layout
200,459,0.023260116577148438,0,0,0,0,1,1,sabre_025_extended,set_layout
207,480,0.023609161376953125,0,0,0,0,1,1,sabre_025_extended,set_layout
223,504,0.0258328914642334,0,0,0,0,1,1,sabre_025_extended,set_layout
236,531,0.026695966720581055,0,0,0,0,1,1,sabre_025_extended,set_layout
246,552,0.028064966201782227,0,0,0,0,1,1,sabre_025_extended,set_layout
259,576,0.029292583465576172,0,0,0,0,1,1,sabre_025_extended,set_layout
266,597,0.03140401840209961,0,0,0,0,1,1,sabre_025_extended,set_layout
282,624,0.03292202949523926,0,0,0,0,1,1,sabre_025_extended,set_layout
292,648,0.07772183418273926,0,0,0,0,1,1,sabre_025_extended,set_layout
302,669,0.03536200523376465,0,0,0,0,1,1,sabre_025_extended,set_layout
315,696,0.03525280952453613,0,0,0,0,1,1,sabre_025_extended,set_layout
328,720,0.03873801231384277,0,0,0,0,1,1,sabre_025_extended,set_layout
347,747,0.040656089782714844,0,0,0,0,1,1,sabre_025_extended,set_layout
351,768,0.04184389114379883,0,0,0,0,1,1,sabre_025_extended,set_layout
367,795,0.04159998893737793,0,0,0,0,1,1,sabre_025_extended,set_layout
376,816,0.09632396697998047,0,0,0,0,1,1,sabre_025_extended,set_layout
387,840,0.18511581420898438,0,0,0,0,1,1,sabre_025_extended,set_layout
400,864,0.04539680480957031,0,0,0,0,1,1,sabre_025_extended,set_layout
410,885,0.048316240310668945,0,0,0,0,1,1,sabre_025_extended,set_layout
426,912,0.04745602607727051,0,0,0,0,1,1,sabre_025_extended,set_layout
442,939,0.05220985412597656,0,0,0,0,1,1,sabre_025_extended,set_layout
446,957,0.05079793930053711,0,0,0,0,1,1,sabre_025_extended,set_layout
462,984,0.0531919002532959,0,0,0,0,1,1,sabre_025_extended,set_layout
472,1008,0.05258822441101074,0,0,0,0,1,1,sabre_025_extended,set_layout
484,1032,0.11454176902770996,0,0,0,0,1,1,sabre_025_extended,set_layout
495,1056,0.056849002838134766,0,0,0,0,1,1,sabre_025_extended,set_layout
508,1080,0.057946205139160156,0,0,0,0,1,1,sabre_025_extended,set_layout
520,1104,0.060276031494140625,0,0,0,0,1,1,sabre_025_extended,set_layout
531,1128,0.06116890907287598,0,0,0,0,1,1,sabre_025_extended,set_layout
547,1152,0.06214189529418945,0,0,0,0,1,1,sabre_025_extended,set_layout
554,1173,0.06242084503173828,0,0,0,0,1,1,sabre_025_extended,set_layout
570,1200,0.06494498252868652,0,0,0,0,1,1,sabre_025_extended,set_layout
580,1224,0.06581783294677734,0,0,0,0,1,1,sabre_025_extended,set_layout
592,1248,0.06670713424682617,0,0,0,0,1,1,sabre_025_extended,set_layout
603,1272,0.0664670467376709,0,0,0,0,1,1,sabre_025_extended,set_layout
616,1296,0.0727238655090332,0,0,0,0,1,1,sabre_025_extended,set_layout
626,1317,0.1310257911682129,0,0,0,0,1,1,sabre_025_extended,set_layout
639,1344,0.07707095146179199,0,0,0,0,1,1,sabre_025_extended,set_layout
654,1368,0.11440801620483398,0,0,0,0,1,1,sabre_025_extended,set_layout
662,1389,0.07428097724914551,0,0,0,0,1,1,sabre_025_extended,set_layout
678,1416,0.10537123680114746,0,0,0,0,1,1,sabre_025_extended,set_layout
691,1443,0.10342979431152344,0,0,0,0,1,1,sabre_025_extended,set_layout
700,1464,0.15326499938964844,0,0,0,0,1,1,sabre_025_extended,set_layout
711,1488,0.08147931098937988,0,0,0,0,1,1,sabre_025_extended,set_layout
724,1512,0.08056998252868652,0,0,0,0,1,1,sabre_025_extended,set_layout
734,1533,0.08254599571228027,0,0,0,0,1,1,sabre_025_extended,set_layout
747,1560,0.08320999145507812,0,0,0,0,1,1,sabre_025_extended,set_layout
763,1587,0.09083104133605957,0,0,0,0,1,1,sabre_025_extended,set_layout
770,1605,0.08543515205383301,0,0,0,0,1,1,sabre_025_extended,set_layout
783,1632,0.18543124198913574,0,0,0,0,1,1,sabre_025_extended,set_layout
802,1659,0.0894017219543457,0,0,0,0,1,1,sabre_025_extended,set_layout
806,1677,0.09406113624572754,0,0,0,0,1,1,sabre_025_extended,set_layout
822,1704,0.11477494239807129,0,0,0,0,1,1,sabre_025_extended,set_layout
832,1728,0.10112786293029785,0,0,0,0,1,1,sabre_025_extended,set_layout
848,1755,0.0987701416015625,0,0,0,0,1,1,sabre_025_extended,set_layout
858,1776,0.09570908546447754,0,0,0,0,1,1,sabre_025_extended,set_layout
868,1800,0.09830975532531738,0,0,0,0,1,1,sabre_025_extended,set_layout
880,1824,0.09904694557189941,0,0,0,0,1,1,sabre_025_extended,set_layout
891,1848,0.1280219554901123,0,0,0,0,1,1,sabre_025_extended,set_layout
904,1872,0.10098719596862793,0,0,0,0,1,1,sabre_025_extended,set_layout
916,1896,0.16626787185668945,0,0,0,0,1,1,sabre_025_extended,set_layout
927,1920,0.17136001586914062,0,0,0,0,1,1,sabre_025_extended,set_layout
942,1944,0.10729598999023438,0,0,0,0,1,1,sabre_025_extended,set_layout
952,1968,0.16532087326049805,0,0,0,0,1,1,sabre_025_extended,set_layout
966,1992,0.1116480827331543,0,0,0,0,1,1,sabre_025_extended,set_layout
979,2019,0.1839618682861328,0,0,0,0,1,1,sabre_025_extended,set_layout
988,2040,0.11252379417419434,0,0,0,0,1,1,sabre_025_extended,set_layout
999,2064,0.1714160442352295,0,0,0,0,1,1,sabre_025_extended,set_layout
1012,2088,0.11031508445739746,0,0,0,0,1,1,sabre_025_extended,set_layout
1024,2112,0.1732938289642334,0,0,0,0,1,1,sabre_025_extended,set_layout
1035,2136,0.1173849105834961,0,0,0,0,1,1,sabre_025_extended,set_layout
1051,2160,0.17906427383422852,0,0,0,0,1,1,sabre_025_extended,set_layout
1058,2181,0.1222383975982666,0,0,0,0,1,1,sabre_025_extended,set_layout
1074,2208,0.18100976943969727,0,0,0,0,1,1,sabre_025_extended,set_layout
