depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
154,388,0.01993584632873535,0,0,0,0,1,1,sabre_025,trivial_layout
70,240,0.012483835220336914,0,0,0,0,1,1,sabre_025,trivial_layout
133,240,0.012636184692382812,0,0,0,0,1,1,sabre_025,trivial_layout
118,314,0.017612934112548828,0,0,0,0,1,1,sabre_025,trivial_layout
157,345,0.017889976501464844,0,0,0,0,1,1,sabre_025,trivial_layout
172,205,0.010587930679321289,0,0,0,0,1,1,sabre_025,trivial_layout
121,274,0.014252901077270508,0,0,0,0,1,1,sabre_025,trivial_layout
184,314,0.015896081924438477,0,0,0,0,1,1,sabre_025,trivial_layout
320,788,0.0405731201171875,0,0,0,0,1,1,sabre_025,trivial_layout
245,634,0.03238391876220703,0,0,0,0,1,1,sabre_025,trivial_layout
263,480,0.025717973709106445,0,0,0,0,1,1,sabre_025,trivial_layout
140,480,0.024766206741333008,0,0,0,0,1,1,sabre_025,trivial_layout
248,557,0.02869391441345215,0,0,0,0,1,1,sabre_025,trivial_layout
344,416,0.0216677188873291,0,0,0,0,1,1,sabre_025,trivial_layout
308,705,0.03747415542602539,0,0,0,0,1,1,sabre_025,trivial_layout
365,625,0.03489089012145996,0,0,0,0,1,1,sabre_025,trivial_layout
369,954,0.050282955169677734,0,0,0,0,1,1,sabre_025,trivial_layout
483,1188,0.06067681312561035,0,0,0,0,1,1,sabre_025,trivial_layout
210,720,0.04048299789428711,0,0,0,0,1,1,sabre_025,trivial_layout
393,720,0.0423588752746582,0,0,0,0,1,1,sabre_025,trivial_layout
505,1274,0.06694412231445312,0,0,0,0,1,1,sabre_025,trivial_layout
523,960,0.05258989334106445,0,0,0,0,1,1,sabre_025,trivial_layout
450,1065,0.05540609359741211,0,0,0,0,1,1,sabre_025,trivial_layout
360,837,0.04407811164855957,0,0,0,0,1,1,sabre_025,trivial_layout
528,639,0.03309893608093262,0,0,0,0,1,1,sabre_025,trivial_layout
528,924,0.04808974266052246,0,0,0,0,1,1,sabre_025,trivial_layout
280,960,0.04857993125915527,0,0,0,0,1,1,sabre_025,trivial_layout
649,1588,0.07856917381286621,0,0,0,0,1,1,sabre_025,trivial_layout
653,1200,0.06673789024353027,0,0,0,0,1,1,sabre_025,trivial_layout
647,1594,0.0834200382232666,0,0,0,0,1,1,sabre_025,trivial_layout
350,1200,0.061669111251831055,0,0,0,0,1,1,sabre_025,trivial_layout
815,1988,0.09755492210388184,0,0,0,0,1,1,sabre_025,trivial_layout
730,1262,0.06479001045227051,0,0,0,0,1,1,sabre_025,trivial_layout
481,1114,0.0562586784362793,0,0,0,0,1,1,sabre_025,trivial_layout
715,856,0.04691791534423828,0,0,0,0,1,1,sabre_025,trivial_layout
613,1428,0.0740211009979248,0,0,0,0,1,1,sabre_025,trivial_layout
783,1440,0.0779571533203125,0,0,0,0,1,1,sabre_025,trivial_layout
420,1440,0.07310819625854492,0,0,0,0,1,1,sabre_025,trivial_layout
978,2388,0.11639714241027832,0,0,0,0,1,1,sabre_025,trivial_layout
780,1914,0.14205074310302734,0,0,0,0,1,1,sabre_025,trivial_layout
599,1397,0.07277917861938477,0,0,0,0,1,1,sabre_025,trivial_layout
911,1573,0.12274575233459473,0,0,0,0,1,1,sabre_025,trivial_layout
746,1782,0.09461617469787598,0,0,0,0,1,1,sabre_025,trivial_layout
893,1073,0.05878615379333496,0,0,0,0,1,1,sabre_025,trivial_layout
913,1680,0.09752392768859863,0,0,0,0,1,1,sabre_025,trivial_layout
490,1680,0.13705992698669434,0,0,0,0,1,1,sabre_025,trivial_layout
