depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
125,388,0.02064800262451172,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
40,240,0.012743949890136719,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
102,240,0.013844013214111328,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
93,314,0.018687009811401367,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
124,345,0.018759965896606445,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
137,205,0.010771989822387695,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
91,274,0.015277862548828125,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
131,308,0.01698613166809082,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
253,788,0.041558027267456055,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
191,634,0.04054617881774902,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
202,480,0.030271053314208984,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
80,480,0.03154301643371582,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
190,557,0.033479928970336914,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
276,416,0.02367997169494629,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
242,711,0.04371786117553711,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
288,634,0.08173227310180664,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
303,954,0.05427694320678711,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
377,1188,0.07230591773986816,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
120,720,0.038336992263793945,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
302,720,0.04814004898071289,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
418,1274,0.18611717224121094,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
402,960,0.06604504585266113,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
361,1071,0.06513500213623047,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
278,837,0.04793500900268555,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
425,639,0.04123282432556152,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
434,954,0.05769801139831543,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
160,960,0.09814190864562988,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
492,1588,0.08984899520874023,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
502,1200,0.08030390739440918,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
531,1594,0.09733200073242188,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
200,1200,0.06617403030395508,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
622,1988,0.12406325340270996,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
581,1271,0.07588911056518555,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
369,1114,0.05951428413391113,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
576,856,0.05173611640930176,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
474,1428,0.09328389167785645,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
602,1440,0.09476304054260254,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
240,1440,0.08322834968566895,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
749,2388,0.15055274963378906,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
634,1914,0.16832494735717773,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
461,1397,0.07596111297607422,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
735,1588,0.09729504585266113,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
599,1785,0.11021828651428223,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
721,1073,0.06507277488708496,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
702,1680,0.11106109619140625,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
280,1680,0.09720611572265625,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
732,2234,0.1390361785888672,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
873,2788,0.17865896224975586,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
1006,3188,0.2591397762298584,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
878,1905,0.13090109825134277,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
826,2554,0.15400910377502441,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
555,1677,0.09623908996582031,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
862,1293,0.07609391212463379,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
717,2148,0.1349790096282959,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
320,1920,0.105010986328125,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
802,1920,0.1292870044708252,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
1147,3588,0.2890918254852295,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
933,2874,0.16837310791015625,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
360,2160,0.11743736267089844,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
902,2160,0.14729976654052734,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
1024,2222,0.14380598068237305,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
855,2502,0.15871906280517578,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
650,1960,0.10934615135192871,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
1003,1507,0.0890040397644043,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
1148,1721,0.10311579704284668,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
971,2862,0.18645095825195312,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
747,2240,0.12505722045898438,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
1177,2545,0.16884779930114746,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
1104,3225,0.27222514152526855,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
1287,1935,0.11716389656066895,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
839,2517,0.13918423652648926,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
1339,2868,0.19263696670532227,0,0,0,0,1,1.1,sabre_025_crit,trivial_layout
