depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
103,388,0.0227508544921875,0,0,0,0,1,1,sabre_025_depth,trivial_layout
40,240,0.01272892951965332,0,0,0,0,1,1,sabre_025_depth,trivial_layout
102,240,0.011605978012084961,0,0,0,0,1,1,sabre_025_depth,trivial_layout
87,314,0.017277956008911133,0,0,0,0,1,1,sabre_025_depth,trivial_layout
98,354,0.019848346710205078,0,0,0,0,1,1,sabre_025_depth,trivial_layout
120,217,0.00972127914428711,0,0,0,0,1,1,sabre_025_depth,trivial_layout
82,280,0.016081809997558594,0,0,0,0,1,1,sabre_025_depth,trivial_layout
129,434,0.02188396453857422,0,0,0,0,1,1,sabre_025_depth,trivial_layout
203,788,0.04712510108947754,0,0,0,0,1,1,sabre_025_depth,trivial_layout
175,634,0.038327932357788086,0,0,0,0,1,1,sabre_025_depth,trivial_layout
202,480,0.02638697624206543,0,0,0,0,1,1,sabre_025_depth,trivial_layout
80,480,0.02759408950805664,0,0,0,0,1,1,sabre_025_depth,trivial_layout
168,566,0.03367495536804199,0,0,0,0,1,1,sabre_025_depth,trivial_layout
240,437,0.019450902938842773,0,0,0,0,1,1,sabre_025_depth,trivial_layout
196,723,0.09262394905090332,0,0,0,0,1,1,sabre_025_depth,trivial_layout
258,886,0.09071207046508789,0,0,0,0,1,1,sabre_025_depth,trivial_layout
267,954,0.05713510513305664,0,0,0,0,1,1,sabre_025_depth,trivial_layout
303,1188,0.07340788841247559,0,0,0,0,1,1,sabre_025_depth,trivial_layout
120,720,0.04391884803771973,0,0,0,0,1,1,sabre_025_depth,trivial_layout
302,720,0.036348819732666016,0,0,0,0,1,1,sabre_025_depth,trivial_layout
355,1274,0.08019280433654785,0,0,0,0,1,1,sabre_025_depth,trivial_layout
402,960,0.04987502098083496,0,0,0,0,1,1,sabre_025_depth,trivial_layout
294,1092,0.06534194946289062,0,0,0,0,1,1,sabre_025_depth,trivial_layout
254,852,0.04941964149475098,0,0,0,0,1,1,sabre_025_depth,trivial_layout
360,657,0.030413150787353516,0,0,0,0,1,1,sabre_025_depth,trivial_layout
384,1344,0.07971525192260742,0,0,0,0,1,1,sabre_025_depth,trivial_layout
160,960,0.056500911712646484,0,0,0,0,1,1,sabre_025_depth,trivial_layout
403,1588,0.10571908950805664,0,0,0,0,1,1,sabre_025_depth,trivial_layout
502,1200,0.11564803123474121,0,0,0,0,1,1,sabre_025_depth,trivial_layout
447,1594,0.0938420295715332,0,0,0,0,1,1,sabre_025_depth,trivial_layout
200,1200,0.10877490043640137,0,0,0,0,1,1,sabre_025_depth,trivial_layout
503,1988,0.12951874732971191,0,0,0,0,1,1,sabre_025_depth,trivial_layout
513,1796,0.1509850025177002,0,0,0,0,1,1,sabre_025_depth,trivial_layout
340,1138,0.0658421516418457,0,0,0,0,1,1,sabre_025_depth,trivial_layout
480,877,0.04280209541320801,0,0,0,0,1,1,sabre_025_depth,trivial_layout
390,1458,0.09389710426330566,0,0,0,0,1,1,sabre_025_depth,trivial_layout
602,1440,0.07383608818054199,0,0,0,0,1,1,sabre_025_depth,trivial_layout
240,1440,0.07679104804992676,0,0,0,0,1,1,sabre_025_depth,trivial_layout
603,2388,0.16122102737426758,0,0,0,0,1,1,sabre_025_depth,trivial_layout
535,1914,0.11691498756408691,0,0,0,0,1,1,sabre_025_depth,trivial_layout
426,1424,0.13841724395751953,0,0,0,0,1,1,sabre_025_depth,trivial_layout
639,2254,0.14632916450500488,0,0,0,0,1,1,sabre_025_depth,trivial_layout
489,1827,0.11503005027770996,0,0,0,0,1,1,sabre_025_depth,trivial_layout
600,1097,0.051152706146240234,0,0,0,0,1,1,sabre_025_depth,trivial_layout
702,1680,0.08861804008483887,0,0,0,0,1,1,sabre_025_depth,trivial_layout
280,1680,0.08789873123168945,0,0,0,0,1,1,sabre_025_depth,trivial_layout
627,2234,0.1395559310913086,0,0,0,0,1,1,sabre_025_depth,trivial_layout
703,2788,0.1907939910888672,0,0,0,0,1,1,sabre_025_depth,trivial_layout
803,3188,0.21960902214050293,0,0,0,0,1,1,sabre_025_depth,trivial_layout
768,2706,0.22935009002685547,0,0,0,0,1,1,sabre_025_depth,trivial_layout
