depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
160,388,0.02147078514099121,0,0,0,0,1,1,sabre_025_extended,trivial_layout
70,240,0.012669086456298828,0,0,0,0,1,1,sabre_025_extended,trivial_layout
154,240,0.012908697128295898,0,0,0,0,1,1,sabre_025_extended,trivial_layout
121,314,0.019762039184570312,0,0,0,0,1,1,sabre_025_extended,trivial_layout
175,342,0.017998933792114258,0,0,0,0,1,1,sabre_025_extended,trivial_layout
172,205,0.011134862899780273,0,0,0,0,1,1,sabre_025_extended,trivial_layout
130,274,0.015553712844848633,0,0,0,0,1,1,sabre_025_extended,trivial_layout
178,302,0.01621103286743164,0,0,0,0,1,1,sabre_025_extended,trivial_layout
314,788,0.044632673263549805,0,0,0,0,1,1,sabre_025_extended,trivial_layout
245,634,0.03670072555541992,0,0,0,0,1,1,sabre_025_extended,trivial_layout
302,477,0.026240825653076172,0,0,0,0,1,1,sabre_025_extended,trivial_layout
140,480,0.02585601806640625,0,0,0,0,1,1,sabre_025_extended,trivial_layout
257,557,0.030002117156982422,0,0,0,0,1,1,sabre_025_extended,trivial_layout
338,419,0.024791955947875977,0,0,0,0,1,1,sabre_025_extended,trivial_layout
320,702,0.04094696044921875,0,0,0,0,1,1,sabre_025_extended,trivial_layout
329,595,0.03448796272277832,0,0,0,0,1,1,sabre_025_extended,trivial_layout
369,954,0.057894229888916016,0,0,0,0,1,1,sabre_025_extended,trivial_layout
465,1188,0.06614899635314941,0,0,0,0,1,1,sabre_025_extended,trivial_layout
210,720,0.03797507286071777,0,0,0,0,1,1,sabre_025_extended,trivial_layout
456,720,0.040270090103149414,0,0,0,0,1,1,sabre_025_extended,trivial_layout
499,1274,0.07319021224975586,0,0,0,0,1,1,sabre_025_extended,trivial_layout
604,960,0.052964210510253906,0,0,0,0,1,1,sabre_025_extended,trivial_layout
474,1056,0.061441659927368164,0,0,0,0,1,1,sabre_025_extended,trivial_layout
381,837,0.04658985137939453,0,0,0,0,1,1,sabre_025_extended,trivial_layout
516,636,0.03707408905029297,0,0,0,0,1,1,sabre_025_extended,trivial_layout
492,894,0.05155324935913086,0,0,0,0,1,1,sabre_025_extended,trivial_layout
280,960,0.05048680305480957,0,0,0,0,1,1,sabre_025_extended,trivial_layout
