depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp,num_iter
111,342,0.24525690078735352,33.07,15.37,0.02774,0,5,1,sabre_025,sabre_layout,1
87,279,0.2234508991241455,31.57,22.1,0.1155,0,5,1,sabre_025,sabre_layout,1
114,384,0.25963592529296875,26.32,17.04,0.07127,0,5,1,sabre_025,sabre_layout,1
108,339,0.2547910213470459,30.37,52.18,0.004912,0,5,1,sabre_025,sabre_layout,1
102,333,0.2579970359802246,37.29,30.07,0.01099,0,5,1,sabre_025,sabre_layout,1
105,342,0.25638914108276367,22.59,28.85,0.00973,0,5,1,sabre_025,sabre_layout,1
102,363,0.2582111358642578,11.69,17.02,0.01268,0,5,1,sabre_025,sabre_layout,1
114,336,0.24269485473632812,14.75,36.21,0.01138,0,5,1,sabre_025,sabre_layout,1
123,375,0.2695140838623047,9.605,32.96,0.008965,0,5,1,sabre_025,sabre_layout,1
114,360,0.2693939208984375,23.27,11.69,0.0846,0,5,1,sabre_025,sabre_layout,1
228,756,0.5037617683410645,66.28,7.155,0.01848,0,5,1,sabre_025,sabre_layout,1
225,750,0.6937429904937744,31.78,54.62,0.09815,0,5,1,sabre_025,sabre_layout,1
216,696,0.4704272747039795,45.57,43.13,0.08066,0,5,1,sabre_025,sabre_layout,1
225,735,0.45641493797302246,47.2,26.5,0.0086,0,5,1,sabre_025,sabre_layout,1
234,726,0.677659273147583,48.4,51.28,0.08632,0,5,1,sabre_025,sabre_layout,1
225,717,0.4803624153137207,9.337,20.28,0.07874,0,5,1,sabre_025,sabre_layout,1
201,696,0.47545790672302246,73.5,22.75,0.0145,0,5,1,sabre_025,sabre_layout,1
201,711,0.47518420219421387,39.57,36.19,0.07898,0,5,1,sabre_025,sabre_layout,1
201,702,0.48223209381103516,57.12,36.4,0.008737,0,5,1,sabre_025,sabre_layout,1
234,708,0.45221900939941406,40.49,12.73,0.09807,0,5,1,sabre_025,sabre_layout,1
357,1164,1.0504810810089111,27.0,36.7,0.1231,0,5,1,sabre_025,sabre_layout,1
