depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
159,336,0.16862106323242188,30.69,11.52,0.004874,0,1,basic
152,312,0.16008210182189941,26.0,23.85,0.00327,0,1,basic
173,381,0.17406702041625977,23.8,15.5,0.08414,0,1,basic
171,348,0.16863012313842773,42.64,17.92,0.06139,0,1,basic
166,348,0.17071080207824707,7.12,4.5,0.002424,0,1,basic
190,354,0.1684730052947998,25.26,40.36,0.00532,0,1,basic
159,375,0.1884450912475586,19.02,14.15,0.008835,0,1,basic
141,345,0.17765474319458008,45.96,19.25,0.006404,0,1,basic
156,369,0.17083215713500977,39.4,13.14,0.07927,0,1,basic
154,342,0.18155384063720703,46.76,11.81,0.00452,0,1,basic
352,774,0.3760509490966797,26.59,25.31,0.007498,0,1,basic
318,699,0.3494751453399658,86.84,27.17,0.08032,0,1,basic
333,699,0.3522663116455078,16.15,14.47,0.04571,0,1,basic
320,663,0.34210705757141113,12.01,23.47,0.006789,0,1,basic
370,663,0.5394048690795898,15.41,55.82,0.07565,0,1,basic
326,693,0.37842702865600586,101.0,31.36,0.04452,0,1,basic
344,726,0.38677310943603516,15.62,21.11,0.07173,0,1,basic
340,729,0.5266740322113037,21.6,8.043,0.06878,0,1,basic
322,705,0.35568690299987793,31.12,15.35,0.08556,0,1,basic
356,714,0.34955525398254395,16.77,18.55,0.01042,0,1,basic
504,1152,0.5662539005279541,11.58,20.17,0.08558,0,1,basic
531,1122,0.5553548336029053,7.794,18.78,0.07868,0,1,basic
525,1062,0.5490622520446777,27.29,43.7,0.07792,0,1,basic
549,1134,0.5432062149047852,23.46,35.15,0.08633,0,1,basic
514,1074,0.5307519435882568,145.4,74.77,0.09068,0,1,basic
531,1107,0.5361588001251221,28.49,20.83,0.08225,0,1,basic
504,1116,0.7330281734466553,132.9,62.19,0.08045,0,1,basic
545,1128,0.5202720165252686,15.63,32.75,0.07547,0,1,basic
557,1128,0.5469310283660889,116.0,14.45,0.09191,0,1,basic
525,1128,0.514847993850708,102.7,78.5,0.01347,0,1,basic
706,1593,0.9262430667877197,21.65,29.42,0.08558,0,1,basic
669,1464,0.7289950847625732,24.86,16.09,0.09111,0,1,basic
713,1602,0.7463443279266357,48.18,21.53,0.08736,0,1,basic
750,1557,0.7429108619689941,17.54,12.07,0.09963,0,1,basic
701,1494,0.7054789066314697,155.6,50.62,0.1093,0,1,basic
734,1482,0.9325871467590332,16.99,30.92,0.1071,0,1,basic
736,1536,0.7296609878540039,10.5,10.06,0.09169,0,1,basic
700,1470,0.7033028602600098,24.75,14.45,0.09407,0,1,basic
720,1578,0.9363157749176025,15.88,51.7,0.1036,0,1,basic
719,1533,0.9637961387634277,19.02,29.09,0.1049,0,1,basic
906,1926,0.9123508930206299,50.0,33.57,0.1183,0,1,basic
864,1845,0.9094462394714355,44.03,36.27,0.005917,0,1,basic
933,1923,1.1549971103668213,41.22,34.43,0.1299,0,1,basic
911,1869,0.9003739356994629,31.89,38.96,0.1109,0,1,basic
895,1854,1.1338448524475098,21.71,43.73,0.1065,0,1,basic
939,1995,0.899320125579834,13.98,28.8,0.107,0,1,basic
911,1917,1.1791090965270996,20.19,39.76,0.1182,0,1,basic
902,1836,0.8703680038452148,26.62,39.97,0.1321,0,1,basic
869,1884,0.9109513759613037,42.65,14.54,0.1137,0,1,basic
842,1917,0.9192569255828857,40.07,36.09,0.1163,0,1,basic
1043,2244,1.0898480415344238,14.75,43.65,0.1213,0,1,basic
1050,2331,1.3576791286468506,47.5,66.59,0.1417,0,1,basic
1079,2271,1.0745911598205566,25.79,63.39,0.1327,0,1,basic
1058,2232,1.0655348300933838,20.29,38.91,0.125,0,1,basic
1048,2220,1.064789056777954,273.1,73.12,0.111,0,1,basic
1087,2283,1.1011199951171875,209.6,105.7,0.118,0,1,basic
1108,2367,1.105578899383545,201.9,33.83,0.1508,0,1,basic
1079,2226,1.395953893661499,24.06,63.01,0.1211,0,1,basic
1071,2226,1.3863577842712402,25.67,42.66,0.1644,0,1,basic
1106,2328,1.1147618293762207,26.69,34.16,0.1318,0,1,basic
1251,2628,1.557253122329712,61.37,86.75,0.1506,0,1,basic
1255,2592,1.5696592330932617,33.11,43.7,0.1482,0,1,basic
1264,2631,1.2832057476043701,35.15,90.37,0.1415,0,1,basic
1298,2607,1.2594659328460693,18.34,36.53,0.1325,0,1,basic
1225,2541,1.2568411827087402,42.98,55.28,0.1497,0,1,basic
1258,2607,1.2686131000518799,34.87,41.38,0.1637,0,1,basic
1272,2754,1.2864577770233154,60.25,32.79,0.1514,0,1,basic
1277,2748,1.6328468322753906,341.0,115.6,0.1691,0,1,basic
1254,2640,1.2511579990386963,43.48,33.97,0.1596,0,1,basic
1286,2697,1.303213119506836,30.45,25.75,0.1556,0,1,basic
1408,2868,1.4163908958435059,30.7,82.41,0.1827,0,1,basic
1480,3108,1.8817200660705566,36.02,17.81,0.1972,0,1,basic
1457,3027,1.4533350467681885,27.48,66.22,0.1879,0,1,basic
1449,3039,1.8249139785766602,38.59,47.72,0.1912,0,1,basic
1458,3108,1.472743034362793,21.56,38.71,0.1548,0,1,basic
1464,3156,1.4658269882202148,299.6,88.22,0.1264,0,1,basic
1366,2928,1.4135589599609375,45.21,42.76,0.201,0,1,basic
1473,2997,1.4483880996704102,19.74,49.95,0.198,0,1,basic
1425,3009,1.4473509788513184,420.0,69.33,0.1318,0,1,basic
1376,3042,1.4687869548797607,46.21,26.27,0.1679,0,1,basic
1596,3423,2.0572779178619385,58.84,52.33,0.2169,0,1,basic
1631,3522,2.069352865219116,40.47,17.62,0.1777,0,1,basic
1632,3462,2.058105707168579,473.4,107.8,0.2168,0,1,basic
1619,3423,2.0434978008270264,26.3,43.75,0.2041,0,1,basic
1616,3576,1.669877052307129,31.74,55.54,0.2253,0,1,basic
1666,3483,1.6629869937896729,20.41,21.57,0.008033,0,1,basic
1626,3483,1.6170592308044434,43.25,43.34,0.1936,0,1,basic
1653,3390,2.1110939979553223,39.13,19.73,0.2266,0,1,basic
1656,3429,1.6294519901275635,23.96,59.74,0.2373,0,1,basic
1605,3438,1.6557090282440186,63.39,65.94,0.2309,0,1,basic
1824,3756,2.246965169906616,41.8,52.06,0.199,0,1,basic
1837,3909,2.3143150806427,389.4,173.4,0.2379,0,1,basic
1820,3810,1.826017141342163,32.75,43.29,0.01344,0,1,basic
1815,3747,2.305413007736206,50.52,63.69,0.2116,0,1,basic
1847,3849,2.3472511768341064,38.76,29.01,0.257,0,1,basic
1789,3786,1.78464674949646,382.7,26.01,0.2431,0,1,basic
1779,3771,2.3069889545440674,40.71,63.25,0.2701,0,1,basic
1824,3750,2.338346004486084,30.07,38.15,0.2717,0,1,basic
1782,3813,1.8112249374389648,14.84,56.58,0.2369,0,1,basic
1811,3738,1.824096918106079,27.8,106.1,0.232,0,1,basic
