depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp,num_iter
84,309,0.26053905487060547,25.23,32.86,0.01624,0,5,1,sabre_025_depth,sabre_layout,1
90,303,0.24980497360229492,25.01,27.69,0.01204,0,5,1,sabre_025_depth,sabre_layout,1
99,372,0.24463915824890137,21.11,12.19,0.07061,0,5,1,sabre_025_depth,sabre_layout,1
93,345,0.27491092681884766,27.7,16.62,0.01684,0,5,1,sabre_025_depth,sabre_layout,1
108,354,0.27373790740966797,20.5,22.75,0.01534,0,5,1,sabre_025_depth,sabre_layout,1
93,318,0.42173004150390625,20.61,33.87,0.07026,0,5,1,sabre_025_depth,sabre_layout,1
105,405,0.2598593235015869,31.86,17.62,0.01301,0,5,1,sabre_025_depth,sabre_layout,1
87,339,0.2530558109283447,16.5,8.874,0.006954,0,5,1,sabre_025_depth,sabre_layout,1
111,381,0.2601888179779053,25.14,23.08,0.08274,0,5,1,sabre_025_depth,sabre_layout,1
93,363,0.26767396926879883,22.19,9.337,0.008233,0,5,1,sabre_025_depth,sabre_layout,1
210,738,0.49457216262817383,43.23,34.11,0.08974,0,5,1,sabre_025_depth,sabre_layout,1
219,795,0.5036890506744385,5.408,16.84,0.06481,0,5,1,sabre_025_depth,sabre_layout,1
204,699,0.49353909492492676,45.81,38.91,0.02504,0,5,1,sabre_025_depth,sabre_layout,1
216,708,0.6589529514312744,10.03,23.27,0.07103,0,5,1,sabre_025_depth,sabre_layout,1
231,762,0.5031189918518066,38.62,48.26,0.06322,0,5,1,sabre_025_depth,sabre_layout,1
201,687,0.5091850757598877,51.76,30.62,0.01511,0,5,1,sabre_025_depth,sabre_layout,1
204,741,0.5005409717559814,6.538,13.81,0.09251,0,5,1,sabre_025_depth,sabre_layout,1
198,678,0.49143505096435547,49.57,29.65,0.1012,0,5,1,sabre_025_depth,sabre_layout,1
192,747,0.7398800849914551,7.649,26.2,0.113,0,5,1,sabre_025_depth,sabre_layout,1
207,723,0.5063910484313965,40.64,42.87,0.02834,0,5,1,sabre_025_depth,sabre_layout,1
318,1143,0.8159010410308838,9.093,40.27,0.1001,0,5,1,sabre_025_depth,sabre_layout,1
285,1083,0.8624942302703857,18.42,31.07,0.1451,0,5,1,sabre_025_depth,sabre_layout,1
294,1083,0.799807071685791,30.77,27.61,0.1305,0,5,1,sabre_025_depth,sabre_layout,1
309,1122,0.957409143447876,41.24,25.37,0.09036,0,5,1,sabre_025_depth,sabre_layout,1
309,1086,0.738624095916748,55.41,45.22,0.1974,0,5,1,sabre_025_depth,sabre_layout,1
291,1068,1.0038063526153564,28.81,37.67,0.1002,0,5,1,sabre_025_depth,sabre_layout,1
285,1071,0.7570538520812988,43.53,68.09,0.109,0,5,1,sabre_025_depth,sabre_layout,1
297,1056,0.9033358097076416,12.44,18.66,0.07021,0,5,1,sabre_025_depth,sabre_layout,1
327,1140,0.7327759265899658,63.3,88.8,0.09337,0,5,1,sabre_025_depth,sabre_layout,1
312,1080,0.9697988033294678,46.64,18.66,0.1266,0,5,1,sabre_025_depth,sabre_layout,1
423,1479,1.0289349555969238,108.8,47.67,0.09859,0,5,1,sabre_025_depth,sabre_layout,1
396,1491,1.0180599689483643,10.5,36.64,0.1081,0,5,1,sabre_025_depth,sabre_layout,1
396,1497,1.080960988998413,16.48,19.14,0.06689,0,5,1,sabre_025_depth,sabre_layout,1
429,1533,1.0386509895324707,19.79,74.53,0.1096,0,5,1,sabre_025_depth,sabre_layout,1
408,1461,1.2941880226135254,14.91,26.53,0.08637,0,5,1,sabre_025_depth,sabre_layout,1
417,1479,1.1354570388793945,13.81,38.21,0.1673,0,5,1,sabre_025_depth,sabre_layout,1
402,1488,1.204340934753418,97.03,24.83,0.1965,0,5,1,sabre_025_depth,sabre_layout,1
396,1452,1.018570899963379,103.7,59.15,0.0603,0,5,1,sabre_025_depth,sabre_layout,1
420,1485,1.0357680320739746,59.21,22.39,0.1571,0,5,1,sabre_025_depth,sabre_layout,1
408,1482,1.0405092239379883,28.73,18.9,0.1209,0,5,1,sabre_025_depth,sabre_layout,1
516,1818,1.4498131275177002,90.93,80.08,0.1315,0,5,1,sabre_025_depth,sabre_layout,1
501,1806,1.495737075805664,8.216,19.14,0.216,0,5,1,sabre_025_depth,sabre_layout,1
534,1911,1.4240360260009766,8.584,32.97,0.105,0,5,1,sabre_025_depth,sabre_layout,1
522,1821,1.3332951068878174,123.9,52.09,0.1631,0,5,1,sabre_025_depth,sabre_layout,1
525,1827,1.348444938659668,89.36,83.98,0.09335,0,5,1,sabre_025_depth,sabre_layout,1
522,1869,1.3178222179412842,21.98,24.13,0.2468,0,5,1,sabre_025_depth,sabre_layout,1
531,1941,1.4068291187286377,12.46,32.1,0.2153,0,5,1,sabre_025_depth,sabre_layout,1
495,1755,1.3619191646575928,16.16,62.82,0.2907,0,5,1,sabre_025_depth,sabre_layout,1
519,1833,1.5145721435546875,126.6,56.34,0.2368,0,5,1,sabre_025_depth,sabre_layout,1
513,1842,1.3302741050720215,33.34,47.58,0.0978,0,5,1,sabre_025_depth,sabre_layout,1
630,2292,1.7403509616851807,96.41,91.14,0.144,0,5,1,sabre_025_depth,sabre_layout,1
630,2202,2.4369430541992188,136.9,83.09,0.3929,0,5,1,sabre_025_depth,sabre_layout,1
630,2250,1.7270758152008057,127.9,60.71,0.209,0,5,1,sabre_025_depth,sabre_layout,1
600,2226,1.9186549186706543,31.42,93.15,0.1251,0,5,1,sabre_025_depth,sabre_layout,1
615,2241,1.6961979866027832,10.89,25.01,0.1525,0,5,1,sabre_025_depth,sabre_layout,1
630,2322,2.2690093517303467,142.3,47.88,0.3822,0,5,1,sabre_025_depth,sabre_layout,1
624,2289,1.9856011867523193,15.3,58.76,0.2415,0,5,1,sabre_025_depth,sabre_layout,1
654,2247,1.7100889682769775,118.9,56.78,0.2342,0,5,1,sabre_025_depth,sabre_layout,1
648,2232,2.3595662117004395,7.462,31.86,0.3041,0,5,1,sabre_025_depth,sabre_layout,1
657,2292,1.7213947772979736,120.4,176.8,0.1868,0,5,1,sabre_025_depth,sabre_layout,1
735,2601,2.40541410446167,18.42,22.49,0.3225,0,5,1,sabre_025_depth,sabre_layout,1
753,2682,2.185861110687256,4.437,15.44,0.3329,0,5,1,sabre_025_depth,sabre_layout,1
744,2631,2.5738532543182373,26.07,58.58,0.09575,0,5,1,sabre_025_depth,sabre_layout,1
720,2622,2.309966802597046,125.2,139.8,0.2697,0,5,1,sabre_025_depth,sabre_layout,1
711,2595,2.336616039276123,6.874,25.46,0.2006,0,5,1,sabre_025_depth,sabre_layout,1
723,2607,2.219312906265259,38.62,47.77,0.3876,0,5,1,sabre_025_depth,sabre_layout,1
744,2685,2.1409101486206055,24.09,22.49,0.2338,0,5,1,sabre_025_depth,sabre_layout,1
741,2655,2.669624090194702,155.7,56.62,0.2364,0,5,1,sabre_025_depth,sabre_layout,1
729,2688,2.147495985031128,9.808,35.33,0.2988,0,5,1,sabre_025_depth,sabre_layout,1
729,2691,2.701240062713623,19.49,26.41,0.2666,0,5,1,sabre_025_depth,sabre_layout,1
846,2964,2.6240458488464355,26.78,31.63,0.2962,0,5,1,sabre_025_depth,sabre_layout,1
840,3036,2.892261266708374,161.8,198.3,0.2267,0,5,1,sabre_025_depth,sabre_layout,1
816,3051,2.9252259731292725,172.6,68.72,0.2956,0,5,1,sabre_025_depth,sabre_layout,1
828,2961,2.6150341033935547,190.5,40.49,0.1568,0,5,1,sabre_025_depth,sabre_layout,1
849,3009,2.8546669483184814,24.77,66.22,0.244,0,5,1,sabre_025_depth,sabre_layout,1
849,3048,2.4928629398345947,16.35,54.51,0.3605,0,5,1,sabre_025_depth,sabre_layout,1
816,3057,2.7619221210479736,20.83,39.17,0.5913,0,5,1,sabre_025_depth,sabre_layout,1
858,3036,2.405596971511841,185.8,115.9,0.1513,0,5,1,sabre_025_depth,sabre_layout,1
855,3078,2.876797914505005,168.7,20.28,0.3345,0,5,1,sabre_025_depth,sabre_layout,1
867,3006,2.5358872413635254,195.4,87.19,0.3859,0,5,1,sabre_025_depth,sabre_layout,1
924,3219,3.716986894607544,242.7,155.5,0.4471,0,5,1,sabre_025_depth,sabre_layout,1
921,3408,2.988368034362793,203.3,234.1,0.4205,0,5,1,sabre_025_depth,sabre_layout,1
963,3426,3.7463290691375732,14.45,44.31,0.3106,0,5,1,sabre_025_depth,sabre_layout,1
945,3411,3.225964069366455,29.42,65.98,0.2614,0,5,1,sabre_025_depth,sabre_layout,1
945,3360,3.5140881538391113,20.89,64.91,0.3163,0,5,1,sabre_025_depth,sabre_layout,1
942,3453,3.178703784942627,30.84,81.69,0.1673,0,5,1,sabre_025_depth,sabre_layout,1
933,3261,2.747781276702881,20.5,92.62,0.3622,0,5,1,sabre_025_depth,sabre_layout,1
930,3435,3.030913829803467,27.44,70.9,0.3914,0,5,1,sabre_025_depth,sabre_layout,1
990,3516,3.754668951034546,184.4,105.9,0.4039,0,5,1,sabre_025_depth,sabre_layout,1
960,3351,3.764096975326538,35.65,102.7,0.3832,0,5,1,sabre_025_depth,sabre_layout,1
1041,3699,3.4909818172454834,175.4,179.0,0.3061,0,5,1,sabre_025_depth,sabre_layout,1
1059,3750,4.027490854263306,240.9,101.4,0.3876,0,5,1,sabre_025_depth,sabre_layout,1
1041,3837,3.863685131072998,35.33,40.39,0.3121,0,5,1,sabre_025_depth,sabre_layout,1
1032,3810,3.6037559509277344,25.04,28.01,0.268,0,5,1,sabre_025_depth,sabre_layout,1
