depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp,num_iter
96,288,0.24489283561706543,17.41,17.04,0.009885,0,5,1,sabre_025_extended,sabre_layout,1
117,333,0.25600099563598633,7.649,15.93,0.0116,0,5,1,sabre_025_extended,sabre_layout,1
117,324,0.24472975730895996,15.93,8.874,0.07108,0,5,1,sabre_025_extended,sabre_layout,1
99,300,0.2372121810913086,14.13,9.247,0.009521,0,5,1,sabre_025_extended,sabre_layout,1
159,324,0.2498171329498291,5.356,3.897,0.004625,0,5,1,sabre_025_extended,sabre_layout,1
102,306,0.23406696319580078,15.66,21.79,0.009598,0,5,1,sabre_025_extended,sabre_layout,1
111,324,0.4209170341491699,25.75,15.3,0.07377,0,5,1,sabre_025_extended,sabre_layout,1
102,324,0.25215625762939453,14.91,3.269,0.013,0,5,1,sabre_025_extended,sabre_layout,1
105,309,0.24902129173278809,12.79,14.15,0.003815,0,5,1,sabre_025_extended,sabre_layout,1
141,351,0.24414587020874023,15.79,12.97,0.08053,0,5,1,sabre_025_extended,sabre_layout,1
204,663,0.48370790481567383,52.16,29.04,0.01351,0,5,1,sabre_025_extended,sabre_layout,1
213,672,0.4804191589355469,55.66,19.83,0.08256,0,5,1,sabre_025_extended,sabre_layout,1
270,696,0.45983195304870605,23.43,42.66,0.08998,0,5,1,sabre_025_extended,sabre_layout,1
267,609,0.43478918075561523,20.89,29.74,0.01409,0,5,1,sabre_025_extended,sabre_layout,1
228,666,0.4891238212585449,38.03,20.46,0.009211,0,5,1,sabre_025_extended,sabre_layout,1
210,633,0.4571049213409424,41.05,19.72,0.01006,0,5,1,sabre_025_extended,sabre_layout,1
264,702,0.6724281311035156,33.84,48.47,0.08993,0,5,1,sabre_025_extended,sabre_layout,1
267,648,0.4924473762512207,20.28,39.99,0.09377,0,5,1,sabre_025_extended,sabre_layout,1
264,672,0.45784664154052734,23.04,27.37,0.01105,0,5,1,sabre_025_extended,sabre_layout,1
222,678,0.4933490753173828,49.04,48.2,0.0996,0,5,1,sabre_025_extended,sabre_layout,1
372,1092,0.7779159545898438,46.6,58.61,0.1731,0,5,1,sabre_025_extended,sabre_layout,1
312,1005,0.7526798248291016,66.9,21.04,0.1592,0,5,1,sabre_025_extended,sabre_layout,1
306,963,0.6516377925872803,61.79,12.37,0.1124,0,5,1,sabre_025_extended,sabre_layout,1
423,1041,0.8968608379364014,17.02,53.09,0.09948,0,5,1,sabre_025_extended,sabre_layout,1
333,1017,1.2632029056549072,57.8,37.38,0.2477,0,5,1,sabre_025_extended,sabre_layout,1
339,987,0.7320950031280518,63.67,75.19,0.2097,0,5,1,sabre_025_extended,sabre_layout,1
330,1005,0.7171280384063721,69.56,74.83,0.1199,0,5,1,sabre_025_extended,sabre_layout,1
306,996,0.885688066482544,55.05,38.07,0.1006,0,5,1,sabre_025_extended,sabre_layout,1
306,978,0.6604640483856201,91.52,9.247,0.1097,0,5,1,sabre_025_extended,sabre_layout,1
381,1002,0.6548290252685547,32.55,37.49,0.1844,0,5,1,sabre_025_extended,sabre_layout,1
600,1323,1.3448290824890137,34.43,82.2,0.1606,0,5,1,sabre_025_extended,sabre_layout,1
432,1362,0.8922731876373291,81.84,36.43,0.08329,0,5,1,sabre_025_extended,sabre_layout,1
