depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
2,0,0.025229215621948242,0.0,0.0,0.01374,0,1,1,sabre_025,sabre_layout
37,34,0.043228864669799805,0.0,0.0,0.001085,0,1,1,sabre_025,sabre_layout
3,0,0.02436232566833496,0.0,0.0,0.0005042,0,1,1,sabre_025,sabre_layout
22,14,0.030247926712036133,1.803,3.354,0.01428,0,1,1,sabre_025,sabre_layout
5,3,0.024159908294677734,2.598,3.0,0.0006429,0,1,1,sabre_025,sabre_layout
5,1,0.022438764572143555,0.0,0.0,0.0004938,0,1,1,sabre_025,sabre_layout
5,2,0.02438187599182129,0.0,0.0,0.0006411,0,1,1,sabre_025,sabre_layout
29,15,0.030046939849853516,3.571,2.487,0.0006341,0,1,1,sabre_025,sabre_layout
12,6,0.06884002685546875,0.0,0.0,0.01586,0,1,1,sabre_025,sabre_layout
10,4,0.026018142700195312,3.0,3.897,0.0008183,0,1,1,sabre_025,sabre_layout
7,0,0.03169393539428711,0.0,0.0,0.0008058,0,1,1,sabre_025,sabre_layout
7,2,0.023717164993286133,0.0,0.0,0.01415,0,1,1,sabre_025,sabre_layout
8,2,0.023395061492919922,0.0,0.0,0.0004257,0,1,1,sabre_025,sabre_layout
178,84,0.04673910140991211,0.0,0.0,0.0004416,0,1,1,sabre_025,sabre_layout
108,163,0.0852651596069336,5.701,9.808,0.01561,0,1,1,sabre_025,sabre_layout
8,3,0.023901939392089844,0.0,0.0,0.0007487,0,1,1,sabre_025,sabre_layout
34,24,0.03459000587463379,1.225,2.487,0.000309,0,1,1,sabre_025,sabre_layout
15,10,0.03289914131164551,1.299,1.299,0.0007725,0,1,1,sabre_025,sabre_layout
45,35,0.04034304618835449,3.571,2.121,0.01491,0,1,1,sabre_025,sabre_layout
10,2,0.02585124969482422,0.0,0.0,0.0007039,0,1,1,sabre_025,sabre_layout
10,4,0.029675960540771484,0.0,0.0,0.0004504,0,1,1,sabre_025,sabre_layout
132,107,0.04452776908874512,10.87,16.62,0.002774,0,1,1,sabre_025,sabre_layout
