depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
2,0,0.026961088180541992,0.0,0.0,0.01215,0,1,basic
37,34,0.04652690887451172,0.0,0.0,0.0009275,0,1,basic
3,0,0.025204896926879883,0.0,0.0,0.0003861,0,1,basic
22,14,0.03147387504577637,1.803,3.354,0.01478,0,1,basic
5,3,0.02489614486694336,2.598,3.0,0.0005836,0,1,basic
5,1,0.024636268615722656,0.0,0.0,0.001168,0,1,basic
5,2,0.02615189552307129,0.0,0.0,0.0003807,0,1,basic
29,15,0.030677080154418945,3.571,2.487,0.01647,0,1,basic
12,6,0.03478574752807617,0.0,0.0,0.001246,0,1,basic
10,4,0.027589082717895508,3.0,3.897,0.0004693,0,1,basic
7,0,0.03168487548828125,0.0,0.0,0.01497,0,1,basic
7,2,0.024472951889038086,0.0,0.0,0.0005161,0,1,basic
8,2,0.02420210838317871,0.0,0.0,0.0005165,0,1,basic
178,84,0.04959607124328613,0.0,0.0,0.01686,0,1,basic
103,139,0.09612894058227539,20.36,33.09,0.004136,0,1,basic
8,3,0.02516913414001465,0.0,0.0,0.0008,0,1,basic
33,21,0.03554701805114746,2.693,4.5,0.0007942,0,1,basic
15,10,0.0345301628112793,1.299,1.299,0.01999,0,1,basic
45,35,0.04267430305480957,3.571,2.121,0.0007271,0,1,basic
10,2,0.026272058486938477,0.0,0.0,0.0006581,0,1,basic
10,4,0.0297238826751709,0.0,0.0,0.01439,0,1,basic
130,101,0.05878400802612305,12.6,24.77,0.004916,0,1,basic
41,27,0.03628993034362793,4.062,3.674,0.0006744,0,1,basic
16,16,0.029420852661132812,2.5,1.5,0.001352,0,1,basic
12,2,0.05967283248901367,0.0,0.0,0.01504,0,1,basic
12,0,0.02547287940979004,0.0,0.0,9.364e-05,0,1,basic
15,9,0.028033018112182617,2.165,1.299,0.0006126,0,1,basic
24,17,0.0297698974609375,2.165,1.299,0.01493,0,1,basic
12,4,0.02710413932800293,0.0,0.0,0.0005091,0,1,basic
19,9,0.02756023406982422,0.433,2.598,0.0005449,0,1,basic
14,7,0.0310518741607666,0.8292,1.299,0.01493,0,1,basic
103,105,0.10941696166992188,0.0,3.897,0.01322,0,1,basic
103,105,0.11288595199584961,0.0,3.897,0.01375,0,1,basic
57,430,2.9042959213256836,4.206,31.5,0.07156,0,1,basic
32,113,0.3490021228790283,7.141,12.46,0.02413,0,1,basic
65,176,0.12754201889038086,13.81,18.55,0.006474,0,1,basic
68,587,6.952897787094116,9.337,51.37,0.3831,0,1,basic
40,187,1.1251718997955322,7.562,27.21,0.1111,0,1,basic
39,162,0.5819289684295654,6.671,15.79,0.03469,0,1,basic
56,67,0.053282976150512695,4.093,14.91,0.003312,0,1,basic
127,123,0.15295696258544922,0.0,2.121,0.01488,0,1,basic
29,22,0.06959795951843262,3.031,3.674,0.01596,0,1,basic
186,192,0.11765193939208984,3.7,4.437,0.003557,0,1,basic
140,118,0.11976814270019531,13.65,26.96,0.01345,0,1,basic
74,102,0.0879969596862793,12.05,15.95,0.002334,0,1,basic
85,123,0.0778663158416748,3.391,8.078,0.01557,0,1,basic
38,10,0.034499168395996094,0.0,0.0,0.0005209,0,1,basic
167,169,0.32516908645629883,4.0,1.299,0.01729,0,1,basic
61,102,0.07152605056762695,13.14,19.94,0.01719,0,1,basic
167,169,0.32513904571533203,4.0,1.299,0.01685,0,1,basic
63,76,0.07289910316467285,8.043,14.6,0.002149,0,1,basic
65,56,0.068511962890625,14.29,23.38,0.0179,0,1,basic
374,544,0.5217301845550537,45.64,38.21,0.02537,0,1,basic
74,60,0.03765606880187988,3.269,2.487,0.0005946,0,1,basic
102,69,0.0578310489654541,2.487,5.356,0.00142,0,1,basic
44,9,0.09433102607727051,0.0,0.0,0.01632,0,1,basic
28,4,0.03299093246459961,0.0,0.0,0.0003131,0,1,basic
43,8,0.03616690635681152,0.0,0.0,0.01532,0,1,basic
34,16,0.03658103942871094,3.897,4.975,0.001431,0,1,basic
271,276,1.1832377910614014,3.464,6.538,0.1583,0,1,basic
155,244,0.11631941795349121,13.09,27.61,0.01688,0,1,basic
175,219,0.1608588695526123,15.52,20.83,0.003577,0,1,basic
75,75,0.06916618347167969,7.12,5.408,0.01672,0,1,basic
432,725,0.666236162185669,26.94,30.7,0.0214,0,1,basic
174,267,0.19310784339904785,20.9,37.53,0.01543,0,1,basic
223,437,0.568964958190918,37.62,25.66,0.05884,0,1,basic
173,339,0.1350090503692627,15.06,11.3,0.005322,0,1,basic
82,30,0.0813148021697998,0.0,0.0,0.01618,0,1,basic
346,582,1.3330659866333008,20.55,24.09,0.1224,0,1,basic
335,334,2.245062828063965,1.732,5.356,0.3691,0,1,basic
134,112,0.10475420951843262,16.97,15.59,0.02548,0,1,basic
652,867,0.9204418659210205,19.98,39.93,0.04311,0,1,basic
839,783,0.5745768547058105,35.16,74.31,0.02582,0,1,basic
403,406,0.23796510696411133,19.41,25.75,0.009752,0,1,basic
149,217,0.17519116401672363,36.83,45.17,0.02234,0,1,basic
65,46,0.0498812198638916,7.794,7.794,0.002221,0,1,basic
433,890,1.2580616474151611,20.04,64.74,0.367,0,1,basic
463,486,5.95881986618042,1.785,7.758,0.2336,0,1,basic
333,577,0.2225041389465332,30.24,28.02,0.02664,0,1,basic
71,90,0.21220111846923828,38.21,19.09,0.03313,0,1,basic
874,1725,4.224678993225098,56.38,139.1,0.6344,0,1,basic
266,409,0.2850480079650879,17.71,31.25,0.01256,0,1,basic
101,70,0.05867910385131836,10.59,13.81,0.01818,0,1,basic
758,1514,15.115576982498169,64.21,150.2,0.8659,0,1,basic
441,674,0.2615940570831299,26.82,87.71,0.02446,0,1,basic
225,251,0.33685994148254395,16.15,37.13,0.01561,0,1,basic
171,114,0.11959695816040039,5.166,14.23,0.01385,0,1,basic
913,1569,0.5909020900726318,16.81,65.97,0.01873,0,1,basic
1420,3152,118.7612669467926,128.1,369.2,279.2,0,1,basic
479,1074,1.1378350257873535,34.79,49.04,0.05788,0,1,basic
145,88,0.06661295890808105,0.0,0.0,0.01466,0,1,basic
708,924,0.8047339916229248,69.41,148.7,0.07737,0,1,basic
155,42,0.06593894958496094,0.0,0.0,0.0005261,0,1,basic
193,252,0.3383927345275879,77.65,8.318,0.01933,0,1,basic
530,703,0.9523849487304688,14.01,22.2,0.008159,0,1,basic
3191,4150,12.502926111221313,82.03,129.3,101.7,0,1,basic
1323,2100,2.012734889984131,78.53,176.3,0.01235,0,1,basic
7384,11118,140.01433086395264,67.36,503.1,9.908,0,1,basic
664,343,0.34329700469970703,9.407,7.462,0.02102,0,1,basic
