depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
2,0,0.02636885643005371,0.0,0.0,0.01277,0,1,1.1,sabre_025_crit,sabre_layout
37,34,0.04447317123413086,0.0,0.0,0.001041,0,1,1.1,sabre_025_crit,sabre_layout
3,0,0.026012897491455078,0.0,0.0,0.0005105,0,1,1.1,sabre_025_crit,sabre_layout
22,14,0.03206896781921387,1.803,3.354,0.01607,0,1,1.1,sabre_025_crit,sabre_layout
5,3,0.027042150497436523,2.598,3.0,0.0004468,0,1,1.1,sabre_025_crit,sabre_layout
5,1,0.024143695831298828,0.0,0.0,0.00073,0,1,1.1,sabre_025_crit,sabre_layout
5,2,0.026154279708862305,0.0,0.0,6.17e-05,0,1,1.1,sabre_025_crit,sabre_layout
29,15,0.03205609321594238,3.571,2.487,0.0007848,0,1,1.1,sabre_025_crit,sabre_layout
12,6,0.07564997673034668,0.0,0.0,0.01806,0,1,1.1,sabre_025_crit,sabre_layout
10,4,0.027531147003173828,3.0,3.897,0.001069,0,1,1.1,sabre_025_crit,sabre_layout
7,0,0.03275918960571289,0.0,0.0,0.0003678,0,1,1.1,sabre_025_crit,sabre_layout
7,2,0.02523207664489746,0.0,0.0,0.01515,0,1,1.1,sabre_025_crit,sabre_layout
8,2,0.0238950252532959,0.0,0.0,0.0008166,0,1,1.1,sabre_025_crit,sabre_layout
178,84,0.052252769470214844,0.0,0.0,0.0005965,0,1,1.1,sabre_025_crit,sabre_layout
103,139,0.09951591491699219,20.36,33.09,0.02132,0,1,1.1,sabre_025_crit,sabre_layout
8,3,0.025488853454589844,0.0,0.0,0.0008565,0,1,1.1,sabre_025_crit,sabre_layout
33,21,0.035331010818481445,2.693,4.5,0.001169,0,1,1.1,sabre_025_crit,sabre_layout
15,10,0.0361180305480957,1.299,1.299,0.00127,0,1,1.1,sabre_025_crit,sabre_layout
45,35,0.04456520080566406,3.571,2.121,0.01603,0,1,1.1,sabre_025_crit,sabre_layout
10,2,0.027685165405273438,0.0,0.0,0.001119,0,1,1.1,sabre_025_crit,sabre_layout
10,4,0.03074789047241211,0.0,0.0,0.000358,0,1,1.1,sabre_025_crit,sabre_layout
130,101,0.05993318557739258,12.6,24.77,0.003789,0,1,1.1,sabre_025_crit,sabre_layout
41,27,0.07311487197875977,4.062,3.674,0.01541,0,1,1.1,sabre_025_crit,sabre_layout
